Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f
aboard	1358	709	1335	706	26.63	3.1332	8.45	2.8513	Adverb	1006.0	0.75	Adverb.Preposition	1006.342	4.425053599	2
above	2493	1778	2350	1703	48.88	3.3969	21.2	3.2502	Preposition	1770.0	0.71	Preposition.Adverb.Adjective	1770.608.110	4.688730591	2
accent	621	447	595	438	12.18	2.7938	5.33	2.6513	Noun	609.0	0.98	Noun.Verb	609.12	4.085624527	2
accept	2692	1861	2598	1820	52.78	3.4302	22.19	3.27	Verb	2692.0	1.0	Verb.Noun	2692.1	4.722070496	2
access	1615	923	1483	879	31.67	3.2084	11.0	2.9657	Noun	1318.0	0.82	Noun.Verb	1318.283	4.500275499	2
account	2280	1386	2253	1375	44.71	3.3581	16.52	3.1421	Noun	1587.0	0.7	Noun.Preposition.Verb	1587.355.335	4.649959427	2
account	534	391	521	385	10.47	2.7284	4.66	2.5933	Noun	478.0	0.9	Noun.Verb	478.55	4.020187924	2
accused	666	459	655	453	13.06	2.8241	5.47	2.6628	Verb	525.0	0.79	Verb.Adjective	525.141	4.115959976	2
ace	751	321	357	220	14.73	2.8762	3.83	2.5079	Noun	579.0	0.77	Noun.Adjective.Name	579.118.54	4.168051983	1
across	4801	2892	4577	2814	94.14	3.6814	34.48	3.4613	Preposition	4141.0	0.86	Preposition.Adverb	4141.652	4.973256298	2
acted	548	476	541	470	10.75	2.7396	5.67	2.6785	Verb	547.0	1.0	Verb.Adjective	547.1	4.031406487	2
acting	2675	1813	2533	1746	52.45	3.4275	21.61	3.2586	Verb	2324.0	0.87	Verb.Adjective.Noun	2324.190.160	4.719320251	2
