numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	
16701	16700	staff	61953	1632	987	1457	923	32	3.213	11.7668	2.9948	Noun	1603	0.98163	4.5048	1	30	5	2	1	high	
9329	9328	joy	35067	1456	923	1095	815	28.549	3.1635	11.0038	2.9657	Noun	1118	0.77317	4.4553	1	4.5	3	8	1	high	
7653	7652	greed	28316	245	192	212	173	4.8039	2.3909	2.289	2.2856	Noun	244	0.99592	3.6828	1	79.5	5	5	1	high	
5561	5560	east	20534	2527	1461	1027	721	49.549	3.4028	17.4177	3.1649	Noun	2359	0.93574	4.6946	1	26.67	4	10	1	high	
15062	15061	rug	55846	531	354	495	346	10.4118	2.7259	4.2203	2.5502	Noun	531	1	4.0177	1	8	3	16	1	high	
1402	1401	beep	5405	332	209	252	178	6.5098	2.5224	2.4917	2.3222	Noun	198	0.60366	3.8143	1	27.33	4	11	1	high	
5311	5310	draft	19781	371	300	351	287	7.2745	2.5705	3.5765	2.4786	Noun	303	0.81892	3.8624	1	33.75	5	3	1	high	
1991	1990	box	7514	4577	2353	4355	2296	89.7451	3.6607	28.052	3.3718	Noun	4388	0.95913	4.9525	1	6.5	3	11	1	high	
6797	6796	fool	25247	4556	2370	4311	2308	89.3333	3.6587	28.2546	3.3749	Noun	2789	0.61432	4.9505	1	27	4	10	1	high	
19286	19285	wig	72962	426	246	412	241	8.3529	2.6304	2.9328	2.3927	Noun	413	0.96948	3.9223	1	5.5	3	11	1	high	
16619	16618	sport	61611	1015	665	939	643	19.902	3.0069	7.928	2.8235	Noun	1015	0.99607	4.2987	1	29.25	5	5	1	high	
3308	3307	clay	11826	612	215	197	139	12	2.7875	2.5632	2.3345	Noun	432	0.70588	4.0793	1	15.67	4	7	1	high	
4517	4516	dawn	16328	1301	692	818	604	25.5098	3.1146	8.2499	2.8407	Noun	812	0.62414	4.4064	1	16.33	4	8	1	high	
15341	15340	scan	56771	480	306	423	277	9.4118	2.6821	3.6481	2.4871	Noun	282	0.5875	3.974	1	8.67	4	4	1	high	
15739	15738	shade	58176	304	252	283	244	5.9608	2.4843	3.0043	2.4031	Noun	295	0.97039	3.7761	1	35.25	5	8	1	high	
10118	10117	list	37492	4110	2176	4045	2151	80.5882	3.6139	25.9418	3.3379	Noun	3958	0.96537	4.9058	1	28	4	11	1	high	
3431	3430	coast	12204	1361	795	771	526	26.6863	3.1342	9.4778	2.9009	Noun	1355	0.99706	4.426	1	41.5	5	3	1	high	
10703	10702	match	39425	2521	1557	2416	1521	49.4314	3.4017	18.5622	3.1926	Noun	1609	0.63925	4.6936	1	45.25	5	7	1	high	
16099	16098	sketch	59475	252	159	242	154	4.9412	2.4031	1.8956	2.2041	Noun	200	0.79365	3.695	1	16.2	6	0	1	high	
11490	11489	mule	42077	358	213	323	202	7.0196	2.5551	2.5393	2.3304	Noun	357	1	3.8469	1	22	4	8	1	high	
16540	16539	speed	61268	2104	1260	1824	1153	41.2549	3.3233	15.0215	3.1007	Noun	1675	0.798	4.6151	1	73.25	5	3	1	high	
13164	13163	place	48415	30736	7279	30163	7246	602.6667	4.4877	86.7787	3.8621	Noun	28698	0.93381	5.7795	1	38.75	5	4	1	high	
16547	16546	spell	61286	1869	884	1798	855	36.6471	3.2718	10.5389	2.9469	Noun	1190	0.63704	4.5637	1	29.25	5	5	1	high	
4627	4626	deed	16749	475	273	444	267	9.3137	2.6776	3.2546	2.4378	Noun	448	1	3.9694	1	32.67	4	13	1	high	
13404	13403	pond	49098	323	207	269	182	6.3333	2.5105	2.4678	2.3181	Noun	319	0.99068	3.8024	1	27.33	4	4	1	high	
4574	4573	debt	16505	725	489	720	487	14.2157	2.8609	5.8298	2.6902	Noun	724	0.99862	4.1528	1	7.67	4	2	1	high	
7342	7341	gift	27230	3290	1877	3242	1856	64.5098	3.5173	22.3772	3.2737	Noun	3287	1	4.8092	1	10	4	5	1	high	
14190	14189	rag	52014	244	184	236	178	4.7843	2.3892	2.1936	2.2672	Noun	242	0.98776	3.681	1	10	3	20	1	high	
19400	19399	wood	73401	1377	754	1054	664	27	3.1392	8.989	2.8779	Noun	1079	0.79106	4.4311	1	26.67	4	8	1	high	
14973	14972	room	55546	22415	6251	21385	6167	439.5098	4.3506	74.5231	3.796	Noun	22338	0.99803	5.6424	1	29.33	4	9	1	high	
7526	7525	goose	27887	665	376	424	314	13.0392	2.8235	4.4826	2.5763	Noun	636	0.95928	4.1153	1	37.5	5	4	1	high	
