numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
17115	17114	substitute	63429	238	197	233	192	4.6667	2.3784	2.3486	2.2967	Noun	130	0.54622	3.6702	3	46.89	10	0	1	high	high3	2	20	1	2	21	22	23	24	
3305	3304	claw	11819	223	137	163	123	4.3725	2.3502	1.6333	2.1399	Noun	156	0.69955	3.6421	1	13.33	4	6	1	low	low1	3	30	1	2	31	32	33	34	
1414	1413	beginner	5460	99	82	76	65	1.9412	2	0.97759	1.9191	Noun	98	1	3.2918	3	66.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
4031	4030	courtesy	14732	414	357	368	321	8.1176	2.618	4.2561	2.5539	Noun	414	1	3.9099	3	89.43	8	0	1	high	high3	2	20	1	2	21	22	23	24	
18676	18675	vanilla	70795	203	147	140	110	3.9804	2.3096	1.7525	2.1703	Noun	202	1	3.6015	3	37.83	7	0	1	low	low3	4	40	1	2	41	42	43	44	
4260	4259	crunch	15497	179	125	105	87	3.5098	2.2553	1.4902	2.1004	Noun	108	0.60674	3.5471	1	39.8	6	1	1	low	low1	3	30	1	2	31	32	33	34	
9627	9626	lad	36112	736	339	675	316	14.4314	2.8675	4.0415	2.5315	Noun	726	1	4.1593	1	10	3	20	1	high	high1	1	10	1	2	11	12	13	14	
3301	3300	clause	11808	143	99	122	89	2.8039	2.1584	1.1803	2	Noun	130	0.90909	3.4502	1	40	6	0	1	low	low1	3	30	1	2	31	32	33	34	
3633	3632	commodore	12869	184	29	6	4	3.6078	2.2672	0.34573	1.4771	Noun	184	1	3.559	3	65	9	0	1	low	low3	4	40	1	2	41	42	43	44	
10058	10057	limousine	37335	144	100	138	94	2.8235	2.1614	1.1922	2.0043	Noun	144	1	3.4532	3	126.13	9	0	1	low	low3	4	40	1	2	41	42	43	44	
18762	18761	verge	71080	167	146	167	146	3.2745	2.2253	1.7406	2.1673	Noun	165	0.98802	3.5171	1	28.25	5	4	1	low	low1	3	30	1	2	31	32	33	34	
16921	16920	stool	62665	179	156	174	153	3.5098	2.2553	1.8598	2.1959	Noun	179	1	3.5471	1	34	5	3	1	low	low1	3	30	1	2	31	32	33	34	
11079	11078	ministry	40766	196	100	78	41	3.8431	2.2945	1.1922	2.0043	Noun	196	1	3.5863	3	55.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
9240	9239	jealousy	34708	293	229	238	194	5.7451	2.4683	2.7301	2.3617	Noun	292	0.99659	3.7602	3	32.57	8	0	1	high	high3	2	20	1	2	21	22	23	24	
3778	3777	consensus	13614	83	48	68	48	1.6275	1.9243	0.57225	1.6902	Noun	83	1	3.2161	3	79.88	9	0	1	low	low3	4	40	1	2	41	42	43	44	
10582	10581	manuscript	39041	137	80	131	76	2.6863	2.1399	0.95374	1.9085	Noun	137	1	3.4317	3	33.67	10	0	1	low	low3	4	40	1	2	41	42	43	44	
16593	16592	spleen	61492	131	91	113	84	2.5686	2.1206	1.0849	1.9638	Noun	131	1	3.4124	1	40.2	6	0	1	low	low1	3	30	1	2	31	32	33	34	
13943	13942	pun	51222	94	85	82	75	1.8431	1.9777	1.0134	1.9345	Noun	86	0.92473	3.2696	1	7.5	3	16	1	low	low1	3	30	1	2	31	32	33	34	
15547	15546	seat	57477	4018	2443	3943	2416	78.7843	3.6041	29.1249	3.3881	Noun	3978	0.99078	4.896	1	35	4	15	1	high	high1	1	10	1	2	11	12	13	14	
5311	5310	draft	19781	371	300	351	287	7.2745	2.5705	3.5765	2.4786	Noun	303	0.81892	3.8624	1	33.75	5	3	1	high	high1	1	10	1	2	11	12	13	14	
