numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
686	685	argument	3064	867	702	857	698	17	2.9385	8.3691	2.847	Noun	867	1	4.2304	3	40	8	0	1	high	high3	2	20	1	2	21	22	23	24	
953	952	avenue	4047	861	564	87	72	16.8824	2.9355	6.7239	2.752	Noun	857	1	4.2273	3	15.2	6	1	1	high	high3	2	20	1	2	21	22	23	24	
7084	7083	furniture	26367	769	538	729	523	15.0784	2.8865	6.4139	2.7316	Noun	767	1	4.1783	3	35.13	9	0	1	high	high3	2	20	1	2	21	22	23	24	
17161	17160	suggestion	63607	622	519	617	517	12.1961	2.7945	6.1874	2.716	Noun	622	1	4.0863	3	119.89	10	0	1	high	high3	2	20	1	2	21	22	23	24	
12133	12132	opinion	44656	2142	1430	2134	1427	42	3.331	17.0482	3.1556	Noun	2144	1	4.6229	3	53	7	0	1	high	high3	2	20	1	2	21	22	23	24	
470	469	animal	2264	2320	1372	2086	1281	45.4902	3.3657	16.3567	3.1377	Noun	2312	0.99741	4.6575	3	31.8	6	0	1	high	high3	2	20	1	2	21	22	23	24	
6732	6731	fluff	25025	72	54	63	49	1.4118	1.8633	0.64378	1.7404	Noun	51	0.70833	3.1552	1	24.75	5	1	1	low	low1	3	30	1	2	31	32	33	34	
7185	7184	gardener	26684	214	141	208	135	4.1961	2.3324	1.681	2.1523	Noun	214	1	3.6243	3	91.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
17464	17463	tale	64822	612	435	563	413	12	2.7875	5.186	2.6395	Noun	610	1	4.0793	1	29.67	4	16	1	high	high1	1	10	1	2	11	12	13	14	
4739	4738	departure	17314	275	219	259	210	5.3922	2.4409	2.6109	2.3424	Noun	274	0.99636	3.7327	3	50.63	9	0	1	high	high3	2	20	1	2	21	22	23	24	
10703	10702	match	39425	2521	1557	2416	1521	49.4314	3.4017	18.5622	3.1926	Noun	1609	0.63925	4.6936	1	45.25	5	7	1	high	high1	1	10	1	2	11	12	13	14	
8851	8850	incision	32688	121	95	119	94	2.3725	2.0864	1.1326	1.9823	Noun	119	1	3.3782	3	75.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
4204	4203	crocodile	15300	115	70	100	55	2.2549	2.0645	0.83453	1.8513	Noun	113	0.98261	3.3563	3	46.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	
16257	16256	smear	60085	111	90	104	84	2.1765	2.0492	1.073	1.959	Noun	69	0.62162	3.3411	1	22	5	3	1	low	low1	3	30	1	2	31	32	33	34	
14445	14444	reduction	53153	88	75	83	71	1.7255	1.9494	0.89413	1.8808	Noun	88	1	3.2412	3	124	9	2	1	low	low3	4	40	1	2	41	42	43	44	
4144	4143	creed	15096	129	51	51	37	2.5294	2.1139	0.60801	1.716	Noun	124	0.96124	3.4058	1	80.75	5	7	1	low	low1	3	30	1	2	31	32	33	34	
3786	3785	constable	13703	144	67	73	46	2.8235	2.1614	0.79876	1.8325	Noun	114	0.78621	3.4532	3	87.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	
18645	18644	vale	70703	75	19	5	5	1.4706	1.8808	0.22651	1.301	Noun	44	0.58667	3.1726	1	25.33	4	12	1	low	low1	3	30	1	2	31	32	33	34	
8096	8095	hay	29739	325	200	252	184	6.3725	2.5132	2.3844	2.3032	Noun	252	0.77778	3.8051	1	10.5	3	20	1	high	high1	1	10	1	2	11	12	13	14	
18787	18786	vest	71158	284	203	280	199	5.5686	2.4548	2.4201	2.3096	Noun	284	1	3.7467	1	21.33	4	11	1	high	high1	1	10	1	2	11	12	13	14	
15260	15259	sarcasm	56488	146	129	126	114	2.8627	2.1673	1.5379	2.1139	Noun	146	1	3.4592	3	49.33	7	0	1	low	low3	4	40	1	2	41	42	43	44	
1650	1649	blast	6453	825	598	661	513	16.1765	2.917	7.1292	2.7774	Noun	455	0.55218	4.2088	1	43.5	5	3	1	high	high1	1	10	1	2	11	12	13	14	
1901	1900	boot	7251	568	374	484	350	11.1373	2.7551	4.4588	2.574	Noun	382	0.67135	4.0469	1	34.67	4	17	1	high	high1	1	10	1	2	11	12	13	14	
15082	15081	rump	55907	72	64	68	62	1.4118	1.8633	0.76299	1.8129	Noun	72	1	3.1552	1	16.33	4	8	1	low	low1	3	30	1	2	31	32	33	34	
3367	3366	cloak	12000	153	92	147	90	3	2.1875	1.0968	1.9685	Noun	151	0.98693	3.4794	1	29.5	5	2	1	low	low1	3	30	1	2	31	32	33	34	
12483	12482	pang	46097	81	31	15	13	1.5882	1.9138	0.36958	1.5051	Noun	57	0.7037	3.2056	1	35.67	4	13	1	low	low1	3	30	1	2	31	32	33	34	
11105	11104	miracle	40822	1359	871	1258	827	26.6471	3.1335	10.3839	2.9405	Noun	1354	0.99779	4.4254	3	48	7	0	1	high	high3	2	20	1	2	21	22	23	24	
8538	8537	hospital	31182	6334	2611	5727	2472	124.1961	3.8017	31.1278	3.417	Noun	6328	0.99984	5.0936	3	37.43	8	0	1	high	high3	2	20	1	2	21	22	23	24	
18859	18858	vinegar	71375	86	70	77	66	1.6863	1.9395	0.83453	1.8513	Noun	83	1	3.2314	3	28.83	7	0	1	low	low3	4	40	1	2	41	42	43	44	
15798	15797	sheet	58402	592	464	579	459	11.6078	2.7731	5.5317	2.6675	Noun	590	1	4.0649	1	38.25	5	5	1	high	high1	1	10	1	2	11	12	13	14	
12751	12750	peak	46859	303	215	245	181	5.9412	2.4829	2.5632	2.3345	Noun	275	0.90759	3.7747	1	28.33	4	11	1	high	high1	1	10	1	2	11	12	13	14	
19463	19462	wound	73604	1353	937	1316	926	26.5294	3.1316	11.1707	2.9722	Noun	866	0.64101	4.4235	1	33.5	5	8	1	high	high1	1	10	1	2	11	12	13	14	
9738	9737	latch	36436	98	73	80	63	1.9216	1.9956	0.87029	1.8692	Noun	56	0.56566	3.2875	1	42.25	5	7	1	low	low1	3	30	1	2	31	32	33	34	
16070	16069	site	59378	980	601	965	595	19.2157	2.9917	7.165	2.7796	Noun	972	0.99285	4.2835	1	21	4	10	1	high	high1	1	10	1	2	11	12	13	14	
4725	4724	density	17271	73	65	71	64	1.4314	1.8692	0.77492	1.8195	Noun	73	1	3.1611	3	75	7	1	1	low	low3	4	40	1	2	41	42	43	44	
16577	16576	spine	61407	293	241	288	237	5.7451	2.4683	2.8732	2.3838	Noun	291	1	3.7602	1	43.75	5	9	1	high	high1	1	10	1	2	11	12	13	14	
3002	3001	chant	10610	116	82	108	77	2.2745	2.0682	0.97759	1.9191	Noun	62	0.52991	3.36	1	42	5	1	1	low	low1	3	30	1	2	31	32	33	34	
10322	10321	lug	38166	132	104	118	99	2.5882	2.1239	1.2399	2.0212	Noun	84	0.63636	3.4157	1	5.5	3	12	1	low	low1	3	30	1	2	31	32	33	34	
17535	17534	task	65080	649	488	613	467	12.7255	2.8129	5.8178	2.6893	Noun	645	1	4.1047	1	23	4	7	1	high	high1	1	10	1	2	11	12	13	14	
4912	4911	dictator	18050	108	72	98	72	2.1176	2.0374	0.85837	1.8633	Noun	108	1	3.3293	3	50.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
15739	15738	shade	58176	304	252	283	244	5.9608	2.4843	3.0043	2.4031	Noun	295	0.97039	3.7761	1	35.25	5	8	1	high	high1	1	10	1	2	11	12	13	14	
9116	9115	invention	34151	310	195	309	195	6.0784	2.4928	2.3247	2.2923	Noun	310	1	3.7846	3	129.63	9	1	1	high	high3	2	20	1	2	21	22	23	24	
17018	17017	stripe	62990	74	53	65	49	1.451	1.8751	0.63186	1.7324	Noun	68	0.91892	3.1669	1	47.2	6	5	1	low	low1	3	30	1	2	31	32	33	34	
