numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f	
17603	17602	teenager	65314	351	288	341	280	6.8824	2.5465	3.4335	2.4609	Noun	353	1	3.8384	3	55.71	8	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_17603_teenager_high3	3300	11300	
10701	10700	mat	39422	178	139	166	135	3.4902	2.2529	1.6571	2.1461	Noun	174	0.98305	3.5447	1	11.5	3	22	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_10701_mat_low1	3350	11350	
7801	7800	guild	28755	103	53	14	11	2.0196	2.017	0.63186	1.7324	Noun	100	0.97087	3.3089	1	24.5	5	3	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_7801_guild_low1	3500	11500	
10579	10578	manual	39026	408	299	366	274	8	2.6117	3.5646	2.4771	Noun	293	0.7199	3.9036	3	54.4	6	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_10579_manual_high3	3350	11350	
12316	12315	overdose	45388	136	100	115	90	2.6667	2.1367	1.1922	2.0043	Noun	112	0.82353	3.4286	3	37.57	8	1	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_12316_overdose_low3	3200	11200	
5135	5134	doc	19255	4122	1078	866	421	80.8235	3.6152	12.8517	3.033	Noun	4114	0.99951	4.907	1	3.5	3	5	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_5135_doc_high1	3500	11500	
2200	2199	brunch	8148	189	107	180	102	3.7059	2.2788	1.2756	2.0334	Noun	139	0.73545	3.5706	1	38.6	6	2	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_2200_brunch_low1	3450	11450	
12660	12659	patch	46630	888	521	586	431	17.4118	2.9489	6.2113	2.7177	Noun	593	0.66779	4.2407	1	46.5	5	7	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_12660_patch_high1	3400	11400	
5839	5838	entity	21826	86	58	85	58	1.6863	1.9395	0.69146	1.7709	Noun	86	1	3.2314	3	43.2	6	1	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_5839_entity_low3	3350	11350	
15100	15099	ruse	55955	85	72	85	72	1.6667	1.9345	0.85837	1.8633	Noun	85	1	3.2263	1	20.67	4	9	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_15100_ruse_low1	3250	11250	
