numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f
16018	16017	silicon	59163	87	47	37	28	1.7059	1.9445	0.56032	1.6812	Noun	86	0.98851	3.2363	3	42	7	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_16018_silicon_low3	3450	11450
12788	12787	peep	46988	226	185	177	153	4.4314	2.356	2.2055	2.2695	Noun	129	0.5708	3.6479	1	25	4	10	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_12788_peep_low1	3300	11300
3627	3626	commitment	12855	550	438	533	429	10.7843	2.7412	5.2217	2.6425	Noun	550	1	4.033	3	76.56	10	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_3627_commitment_high3	3500	11500
5035	5034	discussion	18617	619	543	608	537	12.1373	2.7924	6.4735	2.7356	Noun	618	1	4.0842	3	101.89	10	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_5035_discussion_high3	3200	11200
8213	8212	helium	30071	73	48	58	43	1.4314	1.8692	0.57225	1.6902	Noun	73	1	3.1611	3	34.4	6	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_8213_helium_low3	3300	11300
1420	1419	behaviour	5491	1142	861	1125	850	22.3922	3.058	10.2647	2.9355	Noun	1134	0.99912	4.3499	3	31	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_1420_behaviour_high3	3250	11250
5386	5385	drone	20009	144	54	133	53	2.8235	2.1614	0.64378	1.7404	Noun	120	0.83333	3.4532	1	41	5	3	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_5386_drone_low1	3350	11350
6095	6094	expansion	22879	88	73	82	69	1.7255	1.9494	0.87029	1.8692	Noun	88	1	3.2412	3	78.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_6095_expansion_low3	3350	11350
1090	1089	balcony	4515	373	267	369	264	7.3137	2.5729	3.1831	2.4281	Noun	374	1	3.8647	3	45.33	7	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_1090_balcony_high3	3500	11500
13606	13605	pregnancy	49836	334	220	322	213	6.549	2.525	2.6228	2.3444	Noun	334	1	3.8169	3	51.38	9	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_13606_pregnancy_high3	3350	11350
14052	14051	quake	51575	82	48	47	35	1.6078	1.9191	0.57225	1.6902	Noun	81	0.9878	3.2109	1	16.25	5	0	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_14052_quake_low1	3350	11350
14671	14670	residence	54359	421	342	403	332	8.2549	2.6253	4.0773	2.5353	Noun	421	1	3.9171	3	79.38	9	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_14671_residence_high3	3350	11350
663	662	architect	2984	334	169	311	161	6.549	2.525	2.0148	2.2304	Noun	331	0.99399	3.8169	3	24.13	9	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_663_architect_high3	3500	11500
384	383	amnesia	1939	189	112	162	99	3.7059	2.2788	1.3352	2.0531	Noun	189	1	3.5706	3	14	7	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_384_amnesia_low3	3300	11300
14534	14533	relation	53664	210	165	204	161	4.1176	2.3243	1.9671	2.2201	Noun	171	0.81043	3.6161	3	122.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_14534_relation_low3	3250	11250
3633	3632	commodore	12869	184	29	6	4	3.6078	2.2672	0.34573	1.4771	Noun	184	1	3.559	3	65	9	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_3633_commodore_low3	3200	11200
13359	13358	politics	48963	845	529	763	500	16.5686	2.9274	6.3066	2.7243	Noun	844	1	4.2192	3	83.71	8	1	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_13359_politics_high3	3300	11300
19392	19391	womb	73371	177	141	168	136	3.4706	2.2504	1.681	2.1523	Noun	176	0.99435	3.5423	1	12.67	4	3	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_19392_womb_low1	3300	11300
17260	17259	surf	64024	324	158	251	133	6.3529	2.5119	1.8836	2.2014	Noun	209	0.64706	3.8037	1	15	4	3	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_17260_surf_high1	3400	11400
16635	16634	spray	61660	492	342	459	320	9.6471	2.6928	4.0773	2.5353	Noun	320	0.65041	3.9847	1	23.25	5	2	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_16635_spray_high1	3450	11450
14674	14673	resident	54363	374	242	285	207	7.3333	2.574	2.8851	2.3856	Noun	252	0.6738	3.8659	3	84	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_14674_resident_high3	3450	11450
4096	4095	cramp	14925	143	109	128	104	2.8039	2.1584	1.2995	2.0414	Noun	97	0.67832	3.4502	1	43	5	3	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_4096_cramp_low1	3300	11300
16526	16525	speck	61213	95	62	58	51	1.8627	1.9823	0.73915	1.7993	Noun	90	0.94737	3.2741	1	30.75	5	2	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_16526_speck_low1	3350	11350
18178	18177	trash	67473	1146	804	1070	770	22.4706	3.0596	9.5851	2.9058	Noun	937	0.81834	4.3514	1	47	5	2	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_18178_trash_high1	3400	11400
