numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	
7653	7652	greed	28316	245	192	212	173	4.8039	2.3909	2.289	2.2856	Noun	244	0.99592	3.6828	1	79.5	5	5	1	high	
17185	17184	sum	63673	523	358	419	339	10.2549	2.7193	4.268	2.5551	Noun	452	0.87938	4.0112	1	5.5	3	9	1	high	
17985	17984	ton	66747	382	320	334	306	7.4902	2.5832	3.815	2.5065	Noun	380	1	3.875	1	8.5	3	18	1	high	
18804	18803	vibe	71211	266	186	252	183	5.2157	2.4265	2.2175	2.2718	Noun	240	0.90566	3.7183	1	6	4	4	1	high	
16577	16576	spine	61407	293	241	288	237	5.7451	2.4683	2.8732	2.3838	Noun	291	1	3.7602	1	43.75	5	9	1	high	
12442	12441	pal	45945	2937	1602	2821	1569	57.5882	3.4681	19.0987	3.2049	Noun	2930	0.99898	4.7599	1	5.5	3	9	1	high	
11973	11972	oath	44041	504	308	485	297	9.8824	2.7033	3.6719	2.49	Noun	504	1	3.9951	1	14	4	6	1	high	
1977	1976	bow	7483	1034	609	857	552	20.2745	3.0149	7.2604	2.7853	Noun	598	0.58228	4.3068	1	10	3	18	1	high	
17464	17463	tale	64822	612	435	563	413	12	2.7875	5.186	2.6395	Noun	610	1	4.0793	1	29.67	4	16	1	high	
3079	3078	cheek	10854	365	280	352	272	7.1569	2.5635	3.3381	2.4487	Noun	363	0.99725	3.8553	1	29.5	5	3	1	high	
9667	9666	lance	36251	554	130	100	37	10.8627	2.7443	1.5498	2.1173	Noun	472	0.85353	4.0361	1	39.25	5	1	1	high	
17540	17539	taste	65093	2617	1825	2488	1770	51.3137	3.418	21.7573	3.2615	Noun	1732	0.66107	4.7098	1	37.75	5	6	1	high	
11717	11716	net	42996	793	541	699	479	15.549	2.8998	6.4497	2.734	Noun	580	0.82739	4.1917	1	7.5	3	16	1	high	
13533	13532	pound	49530	708	493	671	475	13.8824	2.8506	5.8774	2.6937	Noun	553	0.78218	4.1425	1	37	5	7	1	high	
15352	15351	scar	56806	432	307	385	301	8.4706	2.6365	3.66	2.4886	Noun	343	0.79582	3.9283	1	10	4	5	1	high	
8512	8511	horn	31092	1075	586	801	484	21.0784	3.0318	6.9862	2.7686	Noun	1039	0.96922	4.3236	1	26.33	4	6	1	high	
7089	7088	fuse	26392	248	182	241	177	4.8627	2.3962	2.1698	2.2625	Noun	228	0.91566	3.688	1	18.67	4	4	1	high	
4241	4240	crowd	15414	1906	1230	1671	1146	37.3725	3.2804	14.6638	3.0903	Noun	1798	0.94532	4.5722	1	36.25	5	2	1	high	
16547	16546	spell	61286	1869	884	1798	855	36.6471	3.2718	10.5389	2.9469	Noun	1190	0.63704	4.5637	1	29.25	5	5	1	high	
16997	16996	stress	62917	796	583	755	560	15.6078	2.9015	6.9504	2.7664	Noun	677	0.8505	4.1933	1	53	6	0	1	high	
5006	5005	dirt	18389	1310	814	1130	782	25.6863	3.1176	9.7043	2.9112	Noun	1310	0.99848	4.4094	1	19.33	4	5	1	high	
10217	10216	log	37754	610	397	555	370	11.9608	2.786	4.733	2.5999	Noun	534	0.87685	4.0779	1	7.5	3	16	1	high	
14200	14199	rail	52049	233	176	215	162	4.5686	2.3692	2.0982	2.248	Noun	231	0.99142	3.661	1	26.33	4	12	1	high	
14804	14803	rib	55002	301	214	264	198	5.902	2.48	2.5513	2.3324	Noun	298	0.99003	3.7718	1	5.5	3	11	1	high	
15453	15452	scout	57133	657	411	362	216	12.8824	2.8182	4.8999	2.6149	Noun	517	0.78811	4.1101	1	19.75	5	6	1	high	
