run	list	file_num	cond_code	trigger_code	len	corr_resp	fix_code	word_code	delay_code	audioresp_code	jittered_ISI	total_time	Word	Zipfvalue	cmu_sylls	BF_TP	LEN_L
run5	5	list5_8461_honeymoon_high3	2	20	1	2	21	22	23	24	3450	11450	honeymoon	4.2093	3	48.88	9
run5	5	list5_3473_cod_low1	3	30	1	2	31	32	33	34	3250	11250	cod	3.3525	1	11	3
run5	5	list5_3152_chimp_low1	3	30	1	2	31	32	33	34	3300	11300	chimp	3.4794	1	30	5
run5	5	list5_13189_plank_low1	3	30	1	2	31	32	33	34	3400	11400	plank	3.313	1	40.75	5
run5	5	list5_832_astronaut_low3	4	40	1	2	41	42	43	44	3250	11250	astronaut	3.5993	3	32.5	9
run5	5	list5_17948_toe_high1	1	10	1	2	11	12	13	14	3250	11250	toe	4.1034	1	8	3
run5	5	list5_4750_deposit_high3	2	20	1	2	21	22	23	24	3350	11350	deposit	4.0338	3	34.67	7
run5	5	list5_3045_chase_high1	1	10	1	2	11	12	13	14	3450	11450	chase	4.5156	1	44.25	5
run5	5	list5_11336_moose_high1	1	10	1	2	11	12	13	14	3350	11350	moose	3.7436	1	44.25	5
run5	5	list5_2046_brat_high1	1	10	1	2	11	12	13	14	3200	11200	brat	3.7943	1	20	4
run5	5	list5_17616_telegram_high3	2	20	1	2	21	22	23	24	3200	11200	telegram	3.9658	3	27	8
run5	5	list5_2693_cardinal_low3	4	40	1	2	41	42	43	44	3200	11200	cardinal	3.612	3	82.57	8
run5	5	list5_5117_diversion_low3	4	40	1	2	41	42	43	44	3500	11500	diversion	3.4932	3	105.5	9
run5	5	list5_8686_hymn_low1	3	30	1	2	31	32	33	34	3350	11350	hymn	3.2161	1	1.33	4
run5	5	list5_1620_bitterness_low3	4	40	1	2	41	42	43	44	3400	11400	bitterness	3.1552	3	51.33	10
run5	5	list5_12689_patriot_low3	4	40	1	2	41	42	43	44	3350	11350	patriot	3.4189	3	60	7
run5	5	list5_18033_tornado_low3	4	40	1	2	41	42	43	44	3500	11500	tornado	3.4091	3	37.17	7
run5	5	list5_13112_pioneer_low3	4	40	1	2	41	42	43	44	3500	11500	pioneer	3.3212	3	79.5	7
run5	5	list5_592_appearance_high3	2	20	1	2	21	22	23	24	3200	11200	appearance	4.0642	3	46.33	10
run5	5	list5_17188_summary_low3	4	40	1	2	41	42	43	44	3200	11200	summary	3.2263	3	52.67	7
run5	5	list5_8652_hurricane_high3	2	20	1	2	21	22	23	24	3500	11500	hurricane	3.9431	3	48.38	9
run5	5	list5_9906_lens_high1	1	10	1	2	11	12	13	14	3400	11400	lens	3.6702	1	27	4
run5	5	list5_14822_ridge_high1	1	10	1	2	11	12	13	14	3400	11400	ridge	3.8505	1	26.5	5
run5	5	list5_3031_charity_high3	2	20	1	2	21	22	23	24	3250	11250	charity	4.2171	3	77.5	7
run5	5	list5_10263_loop_high1	1	10	1	2	11	12	13	14	3350	11350	loop	3.8309	1	32.67	4
run5	5	list5_2354_burrito_low3	4	40	1	2	41	42	43	44	3450	11450	burrito	3.2213	3	65.5	7
run5	5	list5_10058_limousine_low3	4	40	1	2	41	42	43	44	3300	11300	limousine	3.4532	3	126.13	9
run5	5	list5_11973_oath_high1	1	10	1	2	11	12	13	14	3300	11300	oath	3.9951	1	14	4
run5	5	list5_17970_toll_low1	3	30	1	2	31	32	33	34	3450	11450	toll	3.5274	1	37	4
run5	5	list5_7522_goon_low1	3	30	1	2	31	32	33	34	3350	11350	goon	3.36	1	26	4
run5	5	list5_18324_truce_low1	3	30	1	2	31	32	33	34	3200	11200	truce	3.6362	1	29.25	5
run5	5	list5_2744_carrier_high3	2	20	1	2	21	22	23	24	3250	11250	carrier	3.8064	3	151.5	7
run5	5	list5_10473_majesty_high3	2	20	1	2	21	22	23	24	3500	11500	majesty	4.5623	3	33.5	7
run5	5	list5_17722_text_high1	1	10	1	2	11	12	13	14	3200	11200	text	3.72	1	7.67	4
run5	5	list5_7257_gel_low1	3	30	1	2	31	32	33	34	3200	11200	gel	3.2161	1	3.5	3
run5	5	list5_14798_rhyme_low1	3	30	1	2	31	32	33	34	3400	11400	rhyme	3.6459	1	5.25	5
run5	5	list5_9855_leech_low1	3	30	1	2	31	32	33	34	3300	11300	leech	3.2461	1	35.75	5
run5	5	list5_139_agenda_high3	2	20	1	2	21	22	23	24	3450	11450	agenda	3.8647	3	14.2	6
run5	5	list5_16820_steam_high1	1	10	1	2	11	12	13	14	3250	11250	steam	4.1288	1	35.75	5
run5	5	list5_5833_enterprise_high3	2	20	1	2	21	22	23	24	3300	11300	enterprise	3.9088	3	63	10
