numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f
10164	10163	loaf	37623	228	162	224	159	4.4706	2.3598	1.9313	2.2122	Noun	207	0.90789	3.6517	1	20	4	4	1	high	high1	1	10	1	2	11	12	13	14
10362	10361	lust	38290	284	211	255	195	5.5686	2.4548	2.5155	2.3263	Noun	277	0.96181	3.7467	1	24.33	4	12	1	high	high1	1	10	1	2	11	12	13	14
15433	15432	score	57083	1552	977	1459	931	30.4314	3.1912	11.6476	2.9903	Noun	969	0.62556	4.483	1	27.25	5	9	1	high	high1	1	10	1	2	11	12	13	14
14230	14229	ram	52122	328	197	170	128	6.4314	2.5172	2.3486	2.2967	Noun	164	0.58156	3.809	1	8	3	16	1	high	high1	1	10	1	2	11	12	13	14
4520	4519	day	16334	40893	7727	38926	7687	801.8235	4.6117	92.1197	3.8881	Noun	40424	0.99125	5.9035	1	8.5	3	16	1	high	high1	1	10	1	2	11	12	13	14
3039	3038	chart	10735	483	339	464	331	9.4706	2.6848	4.0415	2.5315	Noun	439	0.9089	3.9767	1	42	5	4	1	high	high1	1	10	1	2	11	12	13	14
6672	6671	flesh	24791	1125	792	1062	773	22.0588	3.0515	9.4421	2.8993	Noun	1126	1	4.3434	1	28.25	5	3	1	high	high1	1	10	1	2	11	12	13	14
3186	3185	chop	11305	694	453	551	393	13.6078	2.842	5.4006	2.6571	Noun	568	0.81962	4.1338	1	12.67	4	5	1	high	high1	1	10	1	2	11	12	13	14
4091	4090	craft	14903	289	206	279	198	5.6667	2.4624	2.4559	2.316	Noun	279	0.9654	3.7542	1	37.75	5	3	1	high	high1	1	10	1	2	11	12	13	14
17017	17016	strip	62989	800	596	610	480	15.6863	2.9036	7.1054	2.776	Noun	578	0.7207	4.1955	1	24.75	5	1	1	high	high1	1	10	1	2	11	12	13	14
15453	15452	scout	57133	657	411	362	216	12.8824	2.8182	4.8999	2.6149	Noun	517	0.78811	4.1101	1	19.75	5	6	1	high	high1	1	10	1	2	11	12	13	14
2110	2109	bride	7868	1235	638	1148	612	24.2157	3.092	7.6061	2.8055	Noun	1204	0.98206	4.3839	1	36.75	5	3	1	high	high1	1	10	1	2	11	12	13	14
17894	17893	tin	66443	441	269	270	220	8.6471	2.6454	3.207	2.4314	Noun	410	0.94253	3.9373	1	8	3	17	1	high	high1	1	10	1	2	11	12	13	14
13671	13670	pride	50162	1411	936	1221	881	27.6667	3.1498	11.1588	2.9717	Noun	1301	0.92401	4.4417	1	35	5	5	1	high	high1	1	10	1	2	11	12	13	14
14092	14091	quest	51710	327	196	264	171	6.4118	2.5159	2.3367	2.2945	Noun	321	0.98769	3.8077	1	21.25	5	1	1	high	high1	1	10	1	2	11	12	13	14
15938	15937	shrimp	58860	444	246	384	215	8.7059	2.6484	2.9328	2.3927	Noun	444	1	3.9402	1	38.4	6	0	1	high	high1	1	10	1	2	11	12	13	14
18804	18803	vibe	71211	266	186	252	183	5.2157	2.4265	2.2175	2.2718	Noun	240	0.90566	3.7183	1	6	4	4	1	high	high1	1	10	1	2	11	12	13	14
16661	16660	spy	61762	1023	515	917	493	20.0588	3.0103	6.1397	2.7126	Noun	856	0.83757	4.3021	1	1.5	3	6	1	high	high1	1	10	1	2	11	12	13	14
17320	17319	sweat	64277	1115	863	1056	831	21.8627	3.0477	10.2885	2.9365	Noun	625	0.56155	4.3395	1	25.25	5	3	1	high	high1	1	10	1	2	11	12	13	14
18787	18786	vest	71158	284	203	280	199	5.5686	2.4548	2.4201	2.3096	Noun	284	1	3.7467	1	21.33	4	11	1	high	high1	1	10	1	2	11	12	13	14
7089	7088	fuse	26392	248	182	241	177	4.8627	2.3962	2.1698	2.2625	Noun	228	0.91566	3.688	1	18.67	4	4	1	high	high1	1	10	1	2	11	12	13	14
3411	3410	clue	12132	898	694	879	683	17.6078	2.9538	8.2737	2.842	Noun	880	0.98214	4.2456	1	11.33	4	4	1	high	high1	1	10	1	2	11	12	13	14
5006	5005	dirt	18389	1310	814	1130	782	25.6863	3.1176	9.7043	2.9112	Noun	1310	0.99848	4.4094	1	19.33	4	5	1	high	high1	1	10	1	2	11	12	13	14
17722	17721	text	65747	267	199	251	186	5.2353	2.4281	2.3724	2.301	Noun	267	1	3.72	1	7.67	4	4	1	high	high1	1	10	1	2	11	12	13	14
17985	17984	ton	66747	382	320	334	306	7.4902	2.5832	3.815	2.5065	Noun	380	1	3.875	1	8.5	3	18	1	high	high1	1	10	1	2	11	12	13	14
14822	14821	ridge	55066	361	193	191	137	7.0784	2.5587	2.3009	2.2878	Noun	348	0.96667	3.8505	1	26.5	5	1	1	high	high1	1	10	1	2	11	12	13	14
17049	17048	stud	63098	354	269	321	250	6.9412	2.5502	3.207	2.4314	Noun	245	0.69801	3.8421	1	7	4	2	1	high	high1	1	10	1	2	11	12	13	14
19048	19047	ward	71982	727	401	432	318	14.2549	2.8621	4.7806	2.6042	Noun	438	0.60414	4.154	1	36.33	4	15	1	high	high1	1	10	1	2	11	12	13	14
3308	3307	clay	11826	612	215	197	139	12	2.7875	2.5632	2.3345	Noun	432	0.70588	4.0793	1	15.67	4	7	1	high	high1	1	10	1	2	11	12	13	14
18604	18603	urge	70510	339	307	333	304	6.6471	2.5315	3.66	2.4886	Noun	232	0.68235	3.8233	1	4.67	4	0	1	high	high1	1	10	1	2	11	12	13	14
6245	6244	fame	23461	441	325	349	267	8.6471	2.6454	3.8746	2.5132	Noun	440	0.99773	3.9373	1	19.67	4	13	1	high	high1	1	10	1	2	11	12	13	14
15072	15071	rum	55874	382	204	280	169	7.4902	2.5832	2.432	2.3118	Noun	369	0.9685	3.875	1	6	3	12	1	high	high1	1	10	1	2	11	12	13	14
16981	16980	streak	62865	295	213	253	202	5.7843	2.4713	2.5393	2.3304	Noun	275	0.94502	3.7631	1	45.4	6	1	1	high	high1	1	10	1	2	11	12	13	14
5377	5376	drip	19974	261	168	228	165	5.1176	2.4183	2.0029	2.2279	Noun	177	0.67816	3.7101	1	13.33	4	3	1	high	high1	1	10	1	2	11	12	13	14
6634	6633	flash	24656	783	578	609	502	15.3529	2.8943	6.8908	2.7627	Noun	444	0.56705	4.1862	1	42.5	5	5	1	high	high1	1	10	1	2	11	12	13	14
7114	7113	gag	26474	360	271	339	255	7.0588	2.5575	3.2308	2.4346	Noun	291	0.81058	3.8493	1	9.5	3	18	1	high	high1	1	10	1	2	11	12	13	14
2080	2079	breath	7779	2291	1603	2232	1574	44.9216	3.3602	19.1106	3.2052	Noun	2231	0.97424	4.652	1	48.2	6	2	1	high	high1	1	10	1	2	11	12	13	14
17437	17436	tad	64730	238	148	138	126	4.6667	2.3784	1.7644	2.1732	Noun	238	1	3.6702	1	9	3	20	1	high	high1	1	10	1	2	11	12	13	14
15231	15230	sand	56375	1035	618	891	581	20.2941	3.0154	7.3677	2.7917	Noun	995	0.96135	4.3072	1	30.33	4	11	1	high	high1	1	10	1	2	11	12	13	14
11780	11779	niece	43229	486	275	482	275	9.5294	2.6875	3.2785	2.4409	Noun	485	1	3.9794	1	16.25	5	1	1	high	high1	1	10	1	2	11	12	13	14
7252	7251	geek	26898	353	237	311	223	6.9216	2.549	2.8255	2.3766	Noun	275	0.77465	3.8408	1	20.33	4	5	1	high	high1	1	10	1	2	11	12	13	14
