numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
406	405	amusement	2029	191	146	178	142	3.7451	2.2833	1.7406	2.1673	Noun	191	1	3.5751	3	52.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	
17457	17456	takeover	64808	80	54	77	53	1.5686	1.9085	0.64378	1.7404	Noun	80	1	3.2003	3	40.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	
16001	16000	signature	59113	622	464	605	459	12.1961	2.7945	5.5317	2.6675	Noun	622	1	4.0863	3	40.75	9	0	1	high	high3	2	20	1	2	21	22	23	24	
14453	14452	reef	53172	204	79	151	62	4	2.3118	0.94182	1.9031	Noun	204	1	3.6036	1	22	4	4	1	low	low1	3	30	1	2	31	32	33	34	
13261	13260	pledge	48640	351	231	316	209	6.8824	2.5465	2.7539	2.3655	Noun	190	0.53824	3.8384	1	28.6	6	1	1	high	high1	1	10	1	2	11	12	13	14	
3936	3935	corpse	14379	515	375	499	368	10.098	2.7126	4.4707	2.5752	Noun	517	1	4.0045	1	50.6	6	0	1	high	high1	1	10	1	2	11	12	13	14	
2976	2975	chalk	10509	183	143	151	118	3.5882	2.2648	1.7048	2.1584	Noun	183	1	3.5567	1	29.5	5	0	1	low	low1	3	30	1	2	31	32	33	34	
17937	17936	toast	66594	1707	1104	1614	1063	33.4706	3.2325	13.1617	3.0434	Noun	1420	0.83431	4.5243	1	34.25	5	3	1	high	high1	1	10	1	2	11	12	13	14	
5006	5005	dirt	18389	1310	814	1130	782	25.6863	3.1176	9.7043	2.9112	Noun	1310	0.99848	4.4094	1	19.33	4	5	1	high	high1	1	10	1	2	11	12	13	14	
12520	12519	paperwork	46180	531	430	509	415	10.4118	2.7259	5.1264	2.6345	Noun	528	0.99623	4.0177	3	53.13	9	0	1	high	high3	2	20	1	2	21	22	23	24	
11527	11526	museum	42259	942	459	705	356	18.4706	2.9745	5.4721	2.6628	Noun	942	1	4.2663	3	22.6	6	0	1	high	high3	2	20	1	2	21	22	23	24	
9216	9215	janitor	34625	292	179	274	173	5.7255	2.4669	2.134	2.2553	Noun	289	0.98973	3.7587	3	39	7	0	1	high	high3	2	20	1	2	21	22	23	24	
19078	19077	warrior	72058	516	267	449	251	10.1176	2.7135	3.1831	2.4281	Noun	517	1	4.0053	3	78.33	7	0	1	high	high3	2	20	1	2	21	22	23	24	
14536	14535	relative	53669	397	324	384	318	7.7843	2.5999	3.8627	2.5119	Noun	260	0.65657	3.8917	3	106.43	8	0	1	high	high3	2	20	1	2	21	22	23	24	
5704	5703	embassy	21148	397	182	233	117	7.7843	2.5999	2.1698	2.2625	Noun	397	1	3.8917	3	12	7	0	1	high	high3	2	20	1	2	21	22	23	24	
17830	17829	thud	66187	99	72	68	52	1.9412	2	0.85837	1.8633	Noun	80	0.81633	3.2918	1	8.67	4	2	1	low	low1	3	30	1	2	31	32	33	34	
1898	1897	boost	7245	230	194	207	181	4.5098	2.3636	2.3128	2.29	Noun	120	0.52402	3.6554	1	40	5	2	1	high	high1	1	10	1	2	11	12	13	14	
16786	16785	state	62169	5500	2669	3976	2195	107.8431	3.7404	31.8193	3.4265	Noun	4740	0.86197	5.0323	1	42	5	8	1	high	high1	1	10	1	2	11	12	13	14	
364	363	amendment	1884	209	115	83	52	4.098	2.3222	1.371	2.0645	Noun	209	1	3.6141	3	44.88	9	0	1	low	low3	4	40	1	2	41	42	43	44	
5050	5049	dishwasher	18722	103	76	99	75	2.0196	2.017	0.90606	1.8865	Noun	103	1	3.3089	3	46.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	
3500	3499	coil	12447	82	61	82	61	1.6078	1.9191	0.72723	1.7924	Noun	75	0.91463	3.2109	1	21.67	4	7	1	low	low1	3	30	1	2	31	32	33	34	
13138	13137	pit	48343	674	450	602	419	13.2157	2.8293	5.3648	2.6542	Noun	649	0.96721	4.1211	1	8	3	18	1	high	high1	1	10	1	2	11	12	13	14	
9867	9866	legacy	36798	256	193	245	188	5.0196	2.4099	2.3009	2.2878	Noun	256	1	3.7018	3	20.4	6	0	1	high	high3	2	20	1	2	21	22	23	24	
10519	10518	management	38829	594	423	506	382	11.6471	2.7745	5.0429	2.6274	Noun	591	0.99831	4.0664	3	49.11	10	0	1	high	high3	2	20	1	2	21	22	23	24	
16361	16360	sod	60588	94	73	65	53	1.8431	1.9777	0.87029	1.8692	Noun	47	0.50538	3.2696	1	8.5	3	16	1	low	low1	3	30	1	2	31	32	33	34	
8665	8664	hut	31635	674	211	350	146	13.2157	2.8293	2.5155	2.3263	Noun	672	1	4.1211	1	8.5	3	18	1	high	high1	1	10	1	2	11	12	13	14	
