ITEM   	 BF_TP 	 LEN_L 	   N   	
abacus	  19.20	   6	   0	
abductee	  47.86	   8	   1	
abduction	  93.38	   9	   0	
abductor	  21.71	   8	   0	
abeyance	  28.29	   8	   0	
abortion	  80.00	   8	   0	
aboveboard	  17.33	  10	   0	
abrasion	  56.00	   8	   0	
abrasions	  50.50	   9	   0	
abruptness	  35.00	  10	   0	
absentee	  72.00	   8	   0	
absentees	  78.25	   9	   0	
absorber	  47.57	   8	   1	
abstention	 127.22	  10	   0	
abstinence	  56.33	  10	   0	
absurdist	  40.88	   9	   0	
abusers	 116.17	   7	   0	
academe	  26.00	   7	   1	
acceptance	  42.22	  10	   0	
accession	  71.75	   9	   0	
accolades	  68.00	   9	   0	
accompli	  15.00	   8	   0	
accountant	  38.89	  10	   0	
accounting	 175.33	  10	   0	
accrual	  26.67	   7	   0	
accusers	  75.14	   8	   0	
acolyte	  24.17	   7	   0	
acoustics	  66.25	   9	   0	
acquittal	  30.38	   9	   0	
acrobat	  16.33	   7	   0	
acrobats	  54.00	   8	   0	
acronyms	  20.29	   8	   0	
activist	  48.00	   8	   1	
acts	  17.33	   4	   3	
acuteness	  79.88	   9	   0	
adaptors	  51.71	   8	   0	
addendum	  33.57	   8	   0	
addictions	  57.78	  10	   0	
additions	  60.88	   9	   1	
addressee	  45.63	   9	   2	
adherence	  64.00	   9	   0	
adherents	  65.75	   9	   0	
adhesion	  54.29	   8	   0	
adhesive	  37.86	   8	   0	
adjective	  74.63	   9	   0	
adjuster	  77.86	   8	   1	
adjustment	  43.33	  10	   0	
admirals	  37.57	   8	   0	
admirers	  81.00	   8	   0	
admission	  71.00	   9	   0	
admittance	  45.78	  10	   0	
adonis	  15.00	   6	   0	
adoption	  78.57	   8	   0	
adornment	  45.00	   9	   0	
ads	   2.50	   3	   4	
adulthood	  18.75	   9	   0	
advances	  92.86	   8	   1	
adventists	  48.78	  10	   0	
adventures	  64.33	  10	   1	
adviser	  83.00	   7	   2	
advisor	  21.50	   7	   1	
advocates	 105.50	   9	   1	
aerobics	  29.14	   8	   0	
aerosols	  35.00	   8	   0	
aesthetics	  73.33	  10	   0	
affections	  54.11	  10	   0	
affiant	  32.83	   7	   0	
affliction	 119.67	  10	   0	
affluence	  41.88	   9	   0	
afghani	  15.67	   7	   0	
afrikaans	  29.13	   9	   0	
aftermath	  55.38	   9	   0	
afternoons	  47.56	  10	   0	
aftertaste	  46.44	  10	   0	
agencies	  99.57	   8	   0	
agenda	  14.20	   6	   0	
aggregate	  42.50	   9	   0	
aggression	  88.22	  10	   0	
aggressor	  37.25	   9	   0	
aggressors	  48.22	  10	   0	
agitprop	  10.71	   8	   0	
agnostic	  37.71	   8	   0	
agonies	 123.33	   7	   0	
agonist	  50.67	   7	   0	
agony	  19.00	   5	   0	
agora	  12.00	   5	   0	
agreement	  52.63	   9	   0	
agreements	  44.56	  10	   0	
aguacate	  38.43	   8	   0	
ahs	   0.50	   3	   3	
aid	   6.00	   3	  12	
aide	  13.67	   4	   8	
aides	  73.75	   5	   5	
aids	  14.00	   4	   8	
aileron	  43.17	   7	   0	
ailerons	  67.14	   8	   0	
air	   3.50	   3	   5	
airliner	  78.57	   8	   1	
airliners	  76.00	   9	   0	
airs	  14.00	   4	   5	
ais	   3.50	   3	   9	
aisle	  17.50	   5	   0	
aisles	 110.60	   6	   0	
akimbo	   6.80	   6	   0	
alamo	  27.75	   5	   0	
alarmist	  62.71	   8	   0	
alaskans	  45.29	   8	   0	
albacore	  25.57	   8	   0	
albatross	  36.50	   9	   0	
albino	  56.40	   6	   0	
albumin	  13.83	   7	   0	
alchemist	  39.88	   9	   0	
alchemy	  14.67	   7	   0	
alcohol	   9.50	   7	   0	
alderman	  43.29	   8	   1	
aldermen	  49.43	   8	   1	
ale	   1.50	   3	   9	
alertness	  71.25	   9	   0	
ales	  17.67	   4	   7	
alfalfa	  11.83	   7	   0	
algebra	   8.50	   7	   0	
algonquin	   9.25	   9	   0	
alias	  21.25	   5	   1	
alibi	  17.00	   5	   0	
alibis	  21.00	   6	   0	
aliens	  42.80	   6	   0	
alignment	  46.25	   9	   0	
alignments	  41.78	  10	   0	
alkali	  14.40	   6	   0	
alkaloid	  17.00	   8	   0	
alkaloids	  19.00	   9	   0	
allegiance	  36.33	  10	   0	
allegro	  10.17	   7	   0	
allele	  58.80	   6	   1	
alleles	 136.00	   7	   1	
allergen	  49.86	   8	   0	
allergens	  61.00	   9	   0	
allergies	  96.50	   9	   0	
allergist	  59.50	   9	   0	
allergists	  46.00	  10	   0	
allergy	  27.83	   7	   0	
alleyway	  16.14	   8	   0	
alleyways	  16.13	   9	   0	
alliance	  42.14	   8	   0	
allotment	  46.75	   9	   0	
allotments	  42.00	  10	   0	
allowance	  39.75	   9	   0	
allusion	  49.14	   8	   1	
allusions	  47.63	   9	   1	
almanac	  18.17	   7	   0	
alms	  10.00	   4	   6	
aloha	  20.75	   5	   1	
alpaca	  13.40	   6	   0	
alphabet	  16.43	   8	   0	
alsatian	  66.57	   8	   0	
altarpiece	  19.44	  10	   0	
alternates	 108.67	  10	   1	
althea	  26.20	   6	   0	
altitude	  35.57	   8	   2	
altitudes	  68.75	   9	   2	
alumna	  15.00	   6	   1	
alumni	  13.80	   6	   0	
alumnus	  24.33	   7	   0	
amalgam	  15.17	   7	   0	
amaranth	  37.14	   8	   0	
amateurs	  56.43	   8	   0	
amazement	  44.50	   9	   0	
amazons	  38.83	   7	   0	
ambergris	  35.00	   9	   0	
ambiance	  33.86	   8	   1	
ambience	  40.29	   8	   0	
ambition	  82.29	   8	   0	
ambitions	  56.63	   9	   1	
ambrosia	  18.29	   8	   0	
ambulance	  43.00	   9	   0	
ambushes	  93.43	   8	   1	
amendment	  44.88	   9	   0	
amendments	  41.11	  10	   0	
amethyst	  28.71	   8	   0	
amicus	  17.40	   6	   0	
amiga	   8.00	   5	   0	
amigos	  12.80	   6	   0	
amino	  25.25	   5	   0	
amity	  26.50	   5	   0	
ammeter	 104.00	   7	   0	
ammonia	  15.83	   7	   0	
amnesia	  14.00	   7	   0	
amnesty	  25.33	   7	   0	
amoeba	   5.60	   6	   0	
amoebas	  10.17	   7	   0	
amp	   1.50	   3	   1	
amperage	  54.86	   8	   0	
ampersand	  52.88	   9	   0	
amphora	  25.50	   7	   0	
amplitude	  39.50	   9	   0	
amputee	  57.00	   7	   0	
amputees	  91.00	   8	   0	
amulet	  55.20	   6	   0	
amulets	  65.00	   7	   0	
amusement	  52.75	   9	   0	
amusements	  44.56	  10	   0	
anagram	  19.67	   7	   0	
analog	  17.60	   6	   0	
analyst	  33.33	   7	   1	
analysts	  45.43	   8	   2	
anarchist	  50.25	   9	   1	
anarchists	  31.89	  10	   0	
anarchy	  30.33	   7	   0	
ancestor	  41.43	   8	   0	
ancestors	  70.50	   9	   0	
ancestry	  44.71	   8	   0	
anchorage	  39.38	   9	   0	
anchorman	  34.25	   9	   0	
anchormen	  36.00	   9	   0	
anchovies	  80.13	   9	   0	
anchovy	  16.83	   7	   0	
