"","X","Word","Unnamed","FREQcount","CDcount","FREQlow","Cdlow","SUBLTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","CMUSylls"
"1",0,"abacus",19,12,10,10,9,0.235294117647059,1.11394335230684,0.119217930376729,1.04139268515823,"Noun",11,0.916666666666667,"Noun.Name","11.1",2.4057774944513,3
"3",2,"abductee",67,20,11,20,11,0.392156862745098,1.32221929473392,0.131139723414402,1.07918124604762,"Noun",20,1,"Noun","20",2.61405343687838,3
"4",3,"abduction",70,185,111,179,109,3.62745098039216,2.26951294421792,1.32331902718169,2.04921802267018,"Noun",185,1,"Noun","185",3.56134708636238,3
"5",4,"abductor",72,18,13,16,13,0.352941176470588,1.27875360095283,0.154983309489747,1.14612803567824,"Noun",17,0.944444444444444,"Noun.Name","17.1",2.57058774309729,3
"7",6,"abeyance",89,2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3
"11",10,"abortion",152,369,155,354,149,7.23529411764706,2.56820172406699,1.84787792083929,2.19312459835446,"Noun",370,1,"Noun","370",3.86003586621145,3
"12",11,"aboveboard",166,14,13,14,13,0.274509803921569,1.17609125905568,0.154983309489747,1.14612803567824,"Noun",14,1,"Noun","14",2.46792540120014,3
"13",12,"abrasion",174,18,15,15,13,0.352941176470588,1.27875360095283,0.178826895565093,1.20411998265592,"Noun",18,1,"Noun","18",2.57058774309729,3
"14",13,"abrasions",175,56,50,52,47,1.09803921568627,1.75587485567249,0.596089651883643,1.70757017609794,"Noun",56,1,"Noun","56",3.04770899781695,3
"15",14,"abruptness",193,4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3
"17",16,"absentee",208,18,18,18,18,0.352941176470588,1.27875360095283,0.214592274678112,1.27875360095283,"Noun",18,1,"Noun","18",2.57058774309729,3
"18",17,"absentees",210,4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3
"20",19,"absorber",233,3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,3
"21",20,"abstention",245,6,5,6,5,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872,3
"22",21,"abstinence",247,45,28,34,25,0.882352941176471,1.66275783168157,0.33381020505484,1.46239799789896,"Noun",45,1,"Noun","45",2.95459197382603,3
"23",22,"absurdist",259,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"26",25,"abusers",272,11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",11,1,"Noun","11",2.37101538819208,3
"28",27,"academe",293,2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3
"33",32,"acceptance",327,161,140,150,134,3.15686274509804,2.20951501454263,1.6690510252742,2.14921911265538,"Noun",162,1,"Noun","162",3.50134915668709,3
"35",34,"accession",339,6,3,6,3,0.117647058823529,0.845098040014257,0.0357653791130186,0.602059991327962,"Noun",6,1,"Noun","6",2.13693218215872,3
"38",37,"accolades",364,9,9,9,9,0.176470588235294,1,0.107296137339056,1,"Noun",9,1,"Noun","9",2.29183414214446,3
"39",38,"accompli",381,8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,3
"42",41,"accountant",407,315,191,303,185,6.17647058823529,2.4996870826184,2.27706247019552,2.28330122870355,"Noun",315,1,"Noun","315",3.79152122476286,3
"43",42,"accounting",410,230,179,186,151,4.50980392156863,2.36361197989214,2.13400095374344,2.25527250510331,"Noun",180,0.782608695652174,"Noun.Verb.Adjective","180.47.3",3.6554461220366,3
"44",43,"accrual",422,2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3
"46",45,"accusers",445,8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,3
"52",51,"acolyte",513,7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,3
"54",53,"acoustics",522,22,22,22,22,0.431372549019608,1.36172783601759,0.262279446828803,1.36172783601759,"Noun",22,1,"Noun","22",2.65356197816205,3
"55",54,"acquittal",544,37,33,36,32,0.725490196078431,1.57978359661681,0.393419170243205,1.53147891704226,"Noun",37,1,"Noun","37",2.87161773876127,3
"58",57,"acrobat",554,30,21,27,21,0.588235294117647,1.49136169383427,0.25035765379113,1.34242268082221,"Noun",25,0.833333333333333,"Noun.Verb.Name","25.3.2",2.78319583597873,3
"59",58,"acrobats",557,19,19,19,19,0.372549019607843,1.30102999566398,0.226514067715784,1.30102999566398,"Noun",16,0.888888888888889,"Noun.Verb","16.2",2.59286413780844,3
"60",59,"acronyms",561,7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,3
"64",63,"activist",589,50,40,47,37,0.980392156862745,1.70757017609794,0.476871721506915,1.61278385671974,"Noun",50,1,"Noun","50",2.9994043182424,3
"68",67,"acts",599,636,527,614,514,12.4705882352941,2.80413943233535,6.2827849308536,2.72263392253381,"Noun",353,0.555031446540881,"Noun.Verb","353.283",4.09597357447981,1
"73",72,"acuteness",628,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"74",73,"adaptors",652,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"75",74,"addendum",659,15,12,10,7,0.294117647058824,1.20411998265592,0.143061516452074,1.11394335230684,"Noun",15,1,"Noun","15",2.49595412480038,3
"78",77,"addictions",667,21,14,21,14,0.411764705882353,1.34242268082221,0.16690510252742,1.17609125905568,"Noun",20,0.952380952380952,"Noun.Verb","20.1",2.63425682296667,3
"80",79,"additions",678,11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",11,1,"Noun","11",2.37101538819208,3
"81",80,"addressee",688,6,6,6,6,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872,3
"83",82,"adherence",717,9,9,8,8,0.176470588235294,1,0.107296137339056,1,"Noun",9,1,"Noun","9",2.29183414214446,3
"84",83,"adherents",719,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"85",84,"adhesion",722,6,6,6,6,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872,3
"86",85,"adhesive",724,47,42,42,38,0.92156862745098,1.68124123737559,0.50071530758226,1.63346845557959,"Noun",24,0.51063829787234,"Noun.Adjective","24.23",2.97307537952005,3
"87",86,"adjective",735,25,21,23,20,0.490196078431373,1.41497334797082,0.25035765379113,1.34242268082221,"Noun",25,1,"Noun","25",2.70680749011528,3
"88",87,"adjuster",759,20,17,19,16,0.392156862745098,1.32221929473392,0.202670481640439,1.25527250510331,"Noun",20,1,"Noun","20",2.61405343687838,3
"89",88,"adjustment",762,158,129,152,125,3.09803921568627,2.20139712432045,1.5379113018598,2.11394335230684,"Noun",157,1,"Noun","157",3.49323126646491,3
"90",89,"admirals",787,29,21,19,15,0.568627450980392,1.47712125471966,0.25035765379113,1.34242268082221,"Noun",29,1,"Noun","29",2.76895539686412,3
"92",91,"admirers",793,49,44,48,44,0.96078431372549,1.69897000433602,0.524558893657606,1.65321251377534,"Noun",49,1,"Noun","49",2.99080414648048,3
"93",92,"admission",798,181,164,167,153,3.54901960784314,2.26007138798507,1.95517405817835,2.21748394421391,"Noun",181,1,"Noun","181",3.55190553012953,3
"94",93,"admittance",802,34,25,30,21,0.666666666666667,1.54406804435028,0.298044825941822,1.41497334797082,"Noun",34,1,"Noun","34",2.83590218649474,3
"96",95,"adonis",827,20,17,3,3,0.392156862745098,1.32221929473392,0.202670481640439,1.25527250510331,"Noun",13,0.65,"Noun.Name","13.7",2.61405343687838,3
"97",96,"adoption",833,239,140,227,135,4.68627450980392,2.38021124171161,1.6690510252742,2.14921911265538,"Noun",239,1,"Noun","239",3.67204538385607,3
"99",98,"adornment",851,4,3,4,3,0.0784313725490196,0.698970004336019,0.0357653791130186,0.602059991327962,"Noun",4,1,"Noun","4",1.99080414648048,3
"101",100,"ads",866,258,180,242,173,5.05882352941176,2.41329976408125,2.14592274678112,2.25767857486918,"Noun",258,1,"Noun","258",3.70513390622571,1
"104",103,"adulthood",879,37,33,37,33,0.725490196078431,1.57978359661681,0.393419170243205,1.53147891704226,"Noun",36,1,"Noun","36",2.87161773876127,3
"105",104,"advances",887,148,124,144,124,2.90196078431373,2.17318626841227,1.47830233667144,2.09691001300806,"Noun",130,0.878378378378378,"Noun.Verb","130.18",3.46502041055673,3
"107",106,"adventists",895,7,2,0,0,0.137254901960784,0.903089986991944,0.0238435860753457,0.477121254719662,"Noun",7,1,"Noun","7",2.1949241291364,3
"109",108,"adventures",899,184,142,150,124,3.6078431372549,2.26717172840301,1.69289461134955,2.15533603746506,"Noun",184,1,"Noun","184",3.55900587054747,3
"111",110,"adviser",937,53,45,49,41,1.03921568627451,1.73239375982297,0.536480686695279,1.66275783168157,"Noun",53,1,"Noun","53",3.02422790196743,3
"112",111,"advisor",941,225,145,198,132,4.41176470588235,2.3541084391474,1.72865999046257,2.16435285578444,"Noun",224,0.995555555555556,"Noun.Name","224.1",3.64594258129186,3
"114",113,"advocates",949,17,16,15,15,0.333333333333333,1.25527250510331,0.190748688602766,1.23044892137827,"Noun",17,1,"Noun","17",2.54710664724777,3
"117",116,"aerobics",973,79,54,65,48,1.54901960784314,1.90308998699194,0.643776824034335,1.74036268949424,"Noun",71,0.91025641025641,"Noun.Name","71.7",3.1949241291364,3
"118",117,"aerosols",988,1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"120",119,"aesthetics",998,15,13,12,11,0.294117647058824,1.20411998265592,0.154983309489747,1.14612803567824,"Noun",15,1,"Noun","15",2.49595412480038,3
"122",121,"affections",1026,61,52,61,52,1.19607843137255,1.79239168949825,0.619933237958989,1.72427586960079,"Noun",61,1,"Noun","61",3.08422583164271,3
"123",122,"affiant",1032,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"126",125,"affliction",1057,60,53,58,51,1.17647058823529,1.78532983501077,0.631855030996662,1.73239375982297,"Noun",60,1,"Noun","60",3.07716397715523,3
"127",126,"affluence",1061,7,6,6,5,0.137254901960784,0.903089986991944,0.0715307582260372,0.845098040014257,"Noun",7,1,"Noun","7",2.1949241291364,3
"128",127,"afghani",1073,6,5,0,0,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872,3
"131",130,"afrikaans",1097,3,1,0,0,0.0588235294117647,0.602059991327962,0.0119217930376729,0.301029995663981,"Noun",3,1,"Noun","3",1.89389413347242,3
"134",133,"aftermath",1115,53,51,51,49,1.03921568627451,1.73239375982297,0.608011444921316,1.7160033436348,"Noun",53,1,"Noun","53",3.02422790196743,3
"135",134,"afternoons",1119,101,90,99,88,1.98039215686275,2.00860017176192,1.07296137339056,1.95904139232109,"Noun",101,1,"Noun","101",3.30043431390638,3
"136",135,"aftertaste",1126,11,9,11,9,0.215686274509804,1.07918124604762,0.107296137339056,1,"Noun",11,1,"Noun","11",2.37101538819208,3
"138",137,"agencies",1155,164,134,161,132,3.2156862745098,2.21748394421391,1.59752026704816,2.13033376849501,"Noun",164,1,"Noun","164",3.50931808635837,3
"139",138,"agenda",1157,373,272,360,267,7.31372549019608,2.57287160220048,3.24272770624702,2.43616264704076,"Noun",372,0.997319034852547,"Noun.Name","372.1",3.86470574434494,3
"144",143,"aggregate",1177,10,10,10,10,0.196078431372549,1.04139268515823,0.119217930376729,1.04139268515823,"Noun",5,0.5,"Noun.Adjective.Verb","5.4.1",2.33322682730268,3
"145",144,"aggression",1183,143,109,134,105,2.80392156862745,2.15836249209525,1.29947544110634,2.04139268515822,"Noun",143,1,"Noun","143",3.45019663423971,3
"146",145,"aggressor",1188,29,23,27,22,0.568627450980392,1.47712125471966,0.274201239866476,1.38021124171161,"Noun",29,1,"Noun","29",2.76895539686412,3
"147",146,"aggressors",1189,15,14,15,14,0.294117647058824,1.20411998265592,0.16690510252742,1.17609125905568,"Noun",15,1,"Noun","15",2.49595412480038,3
"153",152,"agitprop",1209,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"154",153,"agnostic",1215,19,17,15,13,0.372549019607843,1.30102999566398,0.202670481640439,1.25527250510331,"Noun",11,0.578947368421053,"Noun.Adjective","11.8",2.59286413780844,3
"155",154,"agonies",1219,12,9,10,8,0.235294117647059,1.11394335230684,0.107296137339056,1,"Noun",12,1,"Noun","12",2.4057774944513,3
"156",155,"agonist",1222,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"157",156,"agony",1226,191,171,176,159,3.74509803921569,2.28330122870355,2.03862660944206,2.23552844690755,"Noun",191,1,"Noun","191",3.57513537084801,3
"158",157,"agora",1227,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"159",158,"agreement",1242,892,603,867,594,17.4901960784314,2.95085145888855,7.18884120171674,2.78103693862113,"Noun",887,1,"Noun","887",4.24268560103301,3
"160",159,"agreements",1243,41,35,40,35,0.803921568627451,1.6232492903979,0.41726275631855,1.55630250076729,"Noun",42,1,"Noun","42",2.91508343254236,3
"161",160,"aguacate",1255,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"165",164,"ahs",1273,4,4,2,2,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,1
"166",165,"aid",1276,709,496,613,448,13.9019607843137,2.85125834871908,5.91320934668574,2.69635638873333,"Noun",604,0.853107344632768,"Noun.Verb.Preposition.Name","604.95.8.1",4.14309249086353,1
"167",166,"aide",1278,103,81,87,70,2.01960784313725,2.01703333929878,0.965665236051502,1.91381385238372,"Noun",103,1,"Noun","103",3.30886748144324,1
"168",167,"aides",1281,32,28,32,28,0.627450980392157,1.51851393987789,0.33381020505484,1.46239799789896,"Noun",32,1,"Noun","32",2.81034808202235,1
"169",168,"aids",1283,54,41,41,34,1.05882352941176,1.74036268949424,0.488793514544588,1.6232492903979,"Noun",52,0.945454545454545,"Noun.Verb","52.3",3.0321968316387,1
"170",169,"aileron",1287,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"171",170,"ailerons",1288,4,3,4,3,0.0784313725490196,0.698970004336019,0.0357653791130186,0.602059991327962,"Noun",4,1,"Noun","4",1.99080414648048,3
"174",173,"air",1304,7090,3325,6023,3132,139.019607843137,3.85070748537454,39.6399618502623,3.5219222448835,"Noun",7043,0.995758518309063,"Noun.Verb.Name","7043.27.3",5.142541627519,1
"192",191,"airliner",1343,29,23,29,23,0.568627450980392,1.47712125471966,0.274201239866476,1.38021124171161,"Noun",29,1,"Noun","29",2.76895539686412,3
"193",192,"airliners",1344,7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,3
"203",202,"airs",1357,39,37,37,35,0.764705882352941,1.60205999132796,0.441106342393896,1.57978359661681,"Noun",34,0.871794871794872,"Noun.Verb","34.5",2.89389413347242,1
"217",216,"ais",1377,3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",2,1,"Noun","2",1.89389413347242,1
