"","numid|f","X|f","Word|s","Unnamed|f","FREQcount|f","Cdcount|f","FREQlow|f","Cdlow|f","SUBLTLWF|f","Lg10WF|f","SUBTLCD|f","Lg10CD|f","Dom_PoS_SUBTLEX|f","Freq_dom_PoS_SUBTLEX|f","Percentage_dom_PoS|f","Zipfvalue|f","cmu_sylls|f","BF_TP|f","LEN_L|f","N|f","Zipfvalue_incl|f","Zipfvalue_cat|s"
"2",12881,12880,"perk",47368,72,63,58,55,1.411764706,1.86332286,0.751072961,1.806179974,"Noun",46,0.630136986,3.155157002,1,18,4,7,1,"low"
"4",18313,18312,"trough",67916,72,58,70,56,1.411764706,1.86332286,0.691463996,1.770852012,"Noun",72,1,3.155157002,1,36,6,1,1,"low"
"6",5616,5615,"eel",20722,73,52,64,50,1.431372549,1.86923172,0.619933238,1.72427587,"Noun",72,1,3.161065862,1,1.5,3,1,1,"low"
"8",7235,7234,"gauze",26843,73,56,63,51,1.431372549,1.86923172,0.66762041,1.755874856,"Noun",54,0.739726027,3.161065862,1,14.25,5,2,1,"low"
"10",18113,18112,"tract",67153,73,56,71,54,1.431372549,1.86923172,0.66762041,1.755874856,"Noun",70,0.95890411,3.161065862,1,41.75,5,3,1,"low"
"12",7432,7431,"gloss",27566,74,65,74,65,1.450980392,1.875061263,0.774916547,1.819543936,"Noun",64,0.853333333,3.166895406,1,29.5,5,4,1,"low"
"14",16225,16224,"sloth",59952,74,24,26,18,1.450980392,1.875061263,0.286123033,1.397940009,"Noun",74,1,3.166895406,1,40,5,3,1,"low"
"16",9640,9639,"lag",36143,75,60,71,57,1.470588235,1.880813592,0.715307582,1.785329835,"Noun",62,0.826666667,3.172647734,1,10.5,3,22,1,"low"
"18",13880,13879,"prune",50923,75,62,62,52,1.470588235,1.880813592,0.739151168,1.799340549,"Noun",41,0.546666667,3.172647734,1,30.5,5,2,1,"low"
"20",18645,18644,"vale",70703,75,19,5,5,1.470588235,1.880813592,0.226514068,1.301029996,"Noun",44,0.586666667,3.172647734,1,25.33,4,12,1,"low"
"22",7395,7394,"gland",27419,77,54,76,53,1.509803922,1.892094603,0.643776824,1.740362689,"Noun",77,1,3.183928745,1,37.75,5,3,1,"low"
"24",11431,11430,"mound",41872,77,47,77,47,1.509803922,1.892094603,0.560324273,1.681241237,"Noun",77,1,3.183928745,1,40,5,9,1,"low"
"26",16343,16342,"sob",60519,77,75,57,56,1.509803922,1.892094603,0.894134478,1.880813592,"Noun",57,0.74025974,3.183928745,1,9,3,18,1,"low"
"28",6332,6331,"feat",23776,78,70,76,69,1.529411765,1.897627091,0.834525513,1.851258349,"Noun",78,1,3.189461233,1,31.67,4,12,1,"low"
"30",12790,12789,"peer",46999,78,63,70,56,1.529411765,1.897627091,0.751072961,1.806179974,"Noun",49,0.628205128,3.189461233,1,26.67,4,11,1,"low"
"32",15109,15108,"rut",55994,78,44,74,42,1.529411765,1.897627091,0.524558894,1.653212514,"Noun",73,0.935897436,3.189461233,1,8,3,17,1,"low"
"33",8188,8187,"hedge",29985,79,58,73,54,1.549019608,1.903089987,0.691463996,1.770852012,"Noun",66,0.835443038,3.194924129,1,23.5,5,3,1,"low"
"34",14047,14046,"quad",51533,79,53,53,43,1.549019608,1.903089987,0.631855031,1.73239376,"Noun",77,0.987179487,3.194924129,1,7,4,2,1,"low"
"35",8158,8157,"hearse",29886,81,53,80,52,1.588235294,1.913813852,0.631855031,1.73239376,"Noun",71,0.8875,3.205647995,1,56.6,6,1,1,"low"
"36",12483,12482,"pang",46097,81,31,15,13,1.588235294,1.913813852,0.369575584,1.505149978,"Noun",57,0.703703704,3.205647995,1,35.67,4,13,1,"low"
"37",16706,16705,"stag",61960,81,56,72,48,1.588235294,1.913813852,0.66762041,1.755874856,"Noun",75,0.903614458,3.205647995,1,8.67,4,7,1,"low"
"38",19525,19524,"yarn",73860,81,60,78,59,1.588235294,1.913813852,0.715307582,1.785329835,"Noun",81,1,3.205647995,1,28,4,7,1,"low"
"39",3500,3499,"coil",12447,82,61,82,61,1.607843137,1.919078092,0.727229375,1.792391689,"Noun",75,0.914634146,3.210912235,1,21.67,4,7,1,"low"
"40",7297,7296,"gent",27016,82,64,76,60,1.607843137,1.919078092,0.762994754,1.812913357,"Noun",82,1,3.210912235,1,19.67,4,10,1,"low"
"41",7397,7396,"glare",27423,82,72,80,71,1.607843137,1.919078092,0.858369099,1.86332286,"Noun",62,0.756097561,3.210912235,1,44.75,5,4,1,"low"
"42",13175,13174,"plaid",48442,82,72,76,67,1.607843137,1.919078092,0.858369099,1.86332286,"Noun",82,1,3.210912235,1,35.5,5,2,1,"low"
"43",13406,13405,"pong",49108,82,34,18,16,1.607843137,1.919078092,0.405340963,1.544068044,"Noun",46,0.56097561,3.210912235,1,29,4,8,1,"low"
"44",14052,14051,"quake",51575,82,48,47,35,1.607843137,1.919078092,0.572246066,1.69019608,"Noun",81,0.987804878,3.210912235,1,16.25,5,0,1,"low"
"45",7257,7256,"gel",26916,83,67,80,65,1.62745098,1.924279286,0.798760134,1.832508913,"Noun",77,0.927710843,3.216113428,1,3.5,3,6,1,"low"
"46",8686,8685,"hymn",31726,83,62,63,49,1.62745098,1.924279286,0.739151168,1.799340549,"Noun",82,1,3.216113428,1,1.33,4,0,1,"low"
"47",8689,8688,"hype",31734,83,61,79,59,1.62745098,1.924279286,0.727229375,1.792391689,"Noun",83,1,3.216113428,1,6.67,4,2,1,"low"
"48",9724,9723,"lark",36384,83,54,61,45,1.62745098,1.924279286,0.643776824,1.740362689,"Noun",69,0.831325301,3.216113428,1,36,4,9,1,"low"
"49",10690,10689,"mast",39380,83,57,70,49,1.62745098,1.924279286,0.679542203,1.763427994,"Noun",83,1,3.216113428,1,34.67,4,16,1,"low"
"50",7578,7577,"graft",28057,84,49,79,48,1.647058824,1.929418926,0.584167859,1.698970004,"Noun",71,0.845238095,3.221253068,1,36.5,5,3,1,"low"
"51",10505,10504,"malt",38788,84,66,73,61,1.647058824,1.929418926,0.78683834,1.826074803,"Noun",84,1,3.221253068,1,29.67,4,7,1,"low"
"52",12191,12190,"ore",44813,84,43,83,42,1.647058824,1.929418926,0.512637101,1.643452676,"Noun",81,1,3.221253068,1,3,3,7,1,"low"
"53",7008,7007,"fringe",26040,85,69,71,63,1.666666667,1.934498451,0.82260372,1.84509804,"Noun",85,1,3.226332593,1,52,6,2,1,"low"
"54",15100,15099,"ruse",55955,85,72,85,72,1.666666667,1.934498451,0.858369099,1.86332286,"Noun",85,1,3.226332593,1,20.67,4,9,1,"low"
"55",17008,17007,"strife",62966,85,67,63,55,1.666666667,1.934498451,0.798760134,1.832508913,"Noun",84,1,3.226332593,1,48,6,4,1,"low"
"56",6619,6618,"flan",24625,86,11,39,10,1.68627451,1.939519253,0.131139723,1.079181246,"Noun",86,1,3.231353395,1,20.67,4,8,1,"low"
"57",9292,9291,"jive",34919,86,64,77,58,1.68627451,1.939519253,0.762994754,1.812913357,"Noun",59,0.686046512,3.231353395,1,10,4,5,1,"low"
"58",9718,9717,"lard",36364,86,65,68,59,1.68627451,1.939519253,0.774916547,1.819543936,"Noun",82,0.953488372,3.231353395,1,36,4,11,1,"low"
"59",10295,10294,"louse",38018,86,63,84,62,1.68627451,1.939519253,0.751072961,1.806179974,"Noun",87,1,3.231353395,1,42.25,5,6,1,"low"
"60",9280,9279,"jig",34846,87,62,80,58,1.705882353,1.944482672,0.739151168,1.799340549,"Noun",81,0.931034483,3.236316814,1,5,3,11,1,"low"
"61",12646,12645,"paste",46591,87,71,81,65,1.705882353,1.944482672,0.846447306,1.857332496,"Noun",66,0.75862069,3.236316814,1,41,5,8,1,"low"
