,Word,Unnamed,FREQcount,CDcount,FREQlow,Cdlow,SUBLTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,CMUSylls
0,abacus,19,12,10,10,9,0.23529411764705901,1.11394335230684,0.119217930376729,1.04139268515823,Noun,11,0.916666666666667,Noun.Name,11.1,2.4057774944513,3
1,abdication,60,6,6,5,5,0.11764705882352902,0.8450980400142571,0.0715307582260372,0.8450980400142571,Noun,6,1.0,Noun,6,2.13693218215872,4
2,abductee,67,20,11,20,11,0.3921568627450979,1.32221929473392,0.131139723414402,1.07918124604762,Noun,20,1.0,Noun,20,2.61405343687838,3
3,abduction,70,185,111,179,109,3.6274509803921604,2.26951294421792,1.32331902718169,2.0492180226701797,Noun,185,1.0,Noun,185,3.56134708636238,3
4,abductor,72,18,13,16,13,0.3529411764705879,1.27875360095283,0.15498330948974698,1.14612803567824,Noun,17,0.944444444444444,Noun.Name,17.1,2.57058774309729,3
5,abend,79,9,6,0,0,0.17647058823529396,1.0,0.0715307582260372,0.8450980400142571,Noun,6,0.666666666666667,Noun.Name,6.3,2.29183414214446,2
6,abeyance,89,2,2,2,2,0.0392156862745098,0.47712125471966205,0.0238435860753457,0.47712125471966205,Noun,2,1.0,Noun,2,1.76895539686412,3
7,abilities,101,312,209,306,208,6.117647058823531,2.49554433754645,2.49165474487363,2.32221929473392,Noun,308,1.0,Noun,308,3.78737847969091,4
8,abo,125,6,6,5,5,0.11764705882352902,0.8450980400142571,0.0715307582260372,0.8450980400142571,Noun,6,1.0,Noun,6,2.13693218215872,2
9,aborigine,146,4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,Noun,3,0.75,Noun.Verb,3.1,1.9908041464804798,5
10,abortion,152,369,155,354,149,7.23529411764706,2.56820172406699,1.84787792083929,2.19312459835446,Noun,370,1.0,Noun,370,3.86003586621145,3
11,aboveboard,166,14,13,14,13,0.27450980392156893,1.1760912590556798,0.15498330948974698,1.14612803567824,Noun,14,1.0,Noun,14,2.46792540120014,3
12,abrasion,174,18,15,15,13,0.3529411764705879,1.27875360095283,0.178826895565093,1.20411998265592,Noun,18,1.0,Noun,18,2.57058774309729,3
13,abrasions,175,56,50,52,47,1.09803921568627,1.75587485567249,0.5960896518836429,1.7075701760979398,Noun,56,1.0,Noun,56,3.04770899781695,3
14,abruptness,193,4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,Noun,4,1.0,Noun,4,1.9908041464804798,3
15,absence,205,322,285,314,281,6.31372549019608,2.5092025223311003,3.39771101573677,2.45636603312904,Noun,321,1.0,Noun,321,3.80103666447556,2
16,absentee,208,18,18,18,18,0.3529411764705879,1.27875360095283,0.214592274678112,1.27875360095283,Noun,18,1.0,Noun,18,2.57058774309729,3
17,absentees,210,4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,Noun,4,1.0,Noun,4,1.9908041464804798,3
18,absolution,223,48,43,47,43,0.941176470588235,1.69019608002851,0.5126371006199331,1.6434526764861899,Noun,48,1.0,Noun,48,2.98203022217297,4
19,absorber,233,3,3,3,3,0.0588235294117647,0.6020599913279621,0.0357653791130186,0.6020599913279621,Noun,3,1.0,Noun,3,1.89389413347242,3
20,abstention,245,6,5,6,5,0.11764705882352902,0.8450980400142571,0.0596089651883643,0.7781512503836441,Noun,6,1.0,Noun,6,2.13693218215872,3
21,abstinence,247,45,28,34,25,0.882352941176471,1.66275783168157,0.33381020505484005,1.4623979978989599,Noun,45,1.0,Noun,45,2.95459197382603,3
22,absurdist,259,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
23,absurdity,261,32,31,32,31,0.627450980392157,1.5185139398778897,0.369575584167859,1.5051499783199098,Noun,32,1.0,Noun,32,2.8103480820223496,4
24,abuse,269,523,409,503,396,10.2549019607843,2.71933128698373,4.8760133524082,2.6127838567197403,Noun,404,0.772466539196941,Noun.Verb.Name,404.118.1,4.01116542912819,2
25,abusers,272,11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,Noun,11,1.0,Noun,11,2.37101538819208,3
26,abyss,285,90,67,77,62,1.7647058823529398,1.95904139232109,0.798760133524082,1.8325089127062402,Noun,91,1.0,Noun,91,3.2508755344655498,2
27,academe,293,2,2,2,2,0.0392156862745098,0.47712125471966205,0.0238435860753457,0.47712125471966205,Noun,2,1.0,Noun,2,1.76895539686412,3
28,academia,295,12,12,10,10,0.23529411764705901,1.11394335230684,0.14306151645207402,1.11394335230684,Noun,12,1.0,Noun,12,2.4057774944513,5
