"numid.f" "X.f" "Word.s" "Unnamed.f" "FREQcount.f" "Cdcount.f" "FREQlow.f" "Cdlow.f" "SUBLTLWF.f" "Lg10WF.f" "SUBTLCD.f" "Lg10CD.f" "Dom_PoS_SUBTLEX.s" "Freq_dom_PoS_SUBTLEX.f" "Percentage_dom_PoS.f" "Zipfvalue.f" "cmu_sylls.f" "BF_TP.f" "LEN_L.f" "N.f" "Zipfvalue_incl.f" "Zipfvalue_cat.s"
"9" 117 116 "aerobics" 973 79 54 65 48 1.549019608 1.903089987 0.643776824 1.740362689 "Noun" 71 0.91025641 3.194924129 3 29.14 8 0 1 "low"
"16" 174 173 "air" 1304 7090 3325 6023 3132 139.0196078 3.850707485 39.63996185 3.521922245 "Noun" 7043 0.995758518 5.142541628 1 3.5 3 5 1 "high"
"18" 250 249 "ale" 1486 202 123 183 115 3.960784314 2.307496038 1.466380544 2.093421685 "Noun" 202 1 3.59933018 1 1.5 3 9 1 "low"
"19" 259 258 "algebra" 1519 90 69 67 51 1.764705882 1.959041392 0.82260372 1.84509804 "Noun" 74 0.822222222 3.250875534 3 8.5 7 0 1 "low"
"36" 425 424 "anarchy" 2112 103 71 71 62 2.019607843 2.017033339 0.846447306 1.857332496 "Noun" 103 1 3.308867481 3 30.33 7 0 1 "low"
"37" 429 428 "ancestor" 2129 86 56 75 53 1.68627451 1.939519253 0.66762041 1.755874856 "Noun" 86 1 3.231353395 3 41.43 8 0 1 "low"
"40" 497 496 "annulment" 2352 76 28 75 28 1.490196078 1.886490725 0.333810205 1.462397998 "Noun" 76 1 3.178324867 3 47.5 9 0 1 "low"
"51" 616 615 "apprentice" 2814 99 64 85 52 1.941176471 2 0.762994754 1.812913357 "Noun" 99 1 3.291834142 3 88.44 10 0 1 "low"
"59" 695 694 "arm" 3106 3336 1945 3239 1906 65.41176471 3.523356207 23.18788746 3.289142836 "Noun" 3260 0.97809781 4.815190349 1 3 3 5 1 "high"
"60" 709 708 "armory" 3136 95 57 73 48 1.862745098 1.982271233 0.679542203 1.763427994 "Noun" 63 0.663157895 3.274105375 3 31.4 6 0 1 "low"
"64" 741 740 "art" 3236 3611 1601 2890 1422 70.80392157 3.557747742 19.08679065 3.204662512 "Noun" 3484 0.968315731 4.849581884 1 3 3 8 1 "high"
"68" 787 786 "assailant" 3420 75 62 73 60 1.470588235 1.880813592 0.739151168 1.799340549 "Noun" 75 1 3.172647734 3 45.13 9 0 1 "low"
"70" 797 796 "assembly" 3453 245 166 200 146 4.803921569 2.390935107 1.979017644 2.222716471 "Noun" 245 1 3.682769249 3 56.29 8 1 1 "high"
"90" 913 912 "aunt" 3873 2815 954 912 493 55.19607843 3.44963265 11.37339056 2.980003372 "Noun" 2804 1 4.741466793 1 19.67 4 4 1 "high"
"95" 970 969 "awareness" 4117 115 94 107 88 2.254901961 2.064457989 1.120648546 1.977723605 "Noun" 115 1 3.356292131 3 79 9 0 1 "low"
"97" 992 991 "babe" 4213 1814 991 1328 869 35.56862745 3.258876629 11.8144969 2.996511672 "Noun" 1810 0.998345284 4.550710772 1 15 4 7 1 "high"
"98" 1056 1055 "badge" 4404 778 463 741 452 15.25490196 2.891537458 5.519790176 2.666517981 "Noun" 778 0.998716303 4.1833716 1 31.25 5 2 1 "high"
"99" 1064 1063 "bag" 4431 4796 2508 4600 2458 94.03921569 3.680969718 29.89985694 3.399500661 "Noun" 4632 0.967418546 4.972803861 1 10 3 22 1 "high"
"100" 1074 1073 "bail" 4463 885 522 793 497 17.35294118 2.947433722 6.223175966 2.718501689 "Noun" 550 0.621468927 4.239267864 1 27.67 4 14 1 "high"
"101" 1081 1080 "bait" 4479 496 392 457 370 9.725490196 2.696356389 4.673342871 2.59439255 "Noun" 407 0.820564516 3.988190531 1 28.33 4 3 1 "high"
"105" 1111 1110 "ballistics" 4571 120 82 76 54 2.352941176 2.08278537 0.977587029 1.919078092 "Noun" 112 0.933333333 3.374619512 3 72.56 10 0 1 "low"
"107" 1140 1139 "band" 4630 2724 1122 2485 1057 53.41176471 3.435366507 13.37625179 3.050379756 "Noun" 2705 0.994851048 4.727200649 1 33.67 4 14 1 "high"
"109" 1166 1165 "bank" 4701 4334 1590 3822 1482 84.98039216 3.636989102 18.95565093 3.20167018 "Noun" 4194 0.975122065 4.928823244 1 33.67 4 16 1 "high"
"110" 1174 1173 "bankruptcy" 4718 121 83 104 79 2.37254902 2.086359831 0.989508822 1.924279286 "Noun" 120 1 3.378193973 3 14.78 10 0 1 "low"
"111" 1188 1187 "bar" 4770 4385 2220 3980 2091 85.98039216 3.642068627 26.46638054 3.346548559 "Noun" 4199 0.958894725 4.933902769 1 9 3 16 1 "high"
"115" 1214 1213 "bark" 4867 280 207 240 188 5.490196078 2.44870632 2.467811159 2.318063335 "Noun" 153 0.542553191 3.740540462 1 36 4 14 1 "high"
"116" 1217 1216 "barn" 4883 693 395 609 342 13.58823529 2.84135947 4.70910825 2.597695186 "Noun" 692 0.998556999 4.133193613 1 36.33 4 12 1 "high"
"118" 1239 1238 "barricade" 4942 75 50 68 47 1.470588235 1.880813592 0.596089652 1.707570176 "Noun" 52 0.693333333 3.172647734 3 53 9 0 1 "low"
"123" 1289 1288 "bath" 5074 1587 994 1512 961 31.11764706 3.200850498 11.85026228 2.997823081 "Noun" 1497 0.943883985 4.49268464 1 23.33 4 8 1 "high"
"126" 1321 1320 "bay" 5152 1236 612 448 287 24.23529412 3.0923697 7.296137339 2.787460475 "Noun" 1184 0.964169381 4.384203842 1 10.5 3 21 1 "high"
"127" 1322 1321 "bayonet" 5159 80 50 71 45 1.568627451 1.908485019 0.596089652 1.707570176 "Noun" 79 0.9875 3.200319161 3 41.33 7 1 1 "low"
"131" 1348 1347 "bean" 5219 349 220 242 173 6.843137255 2.544068044 2.622794468 2.344392274 "Noun" 332 0.948571429 3.835902186 1 34.67 4 13 1 "high"
"133" 1357 1356 "beast" 5257 1252 552 899 503 24.54901961 3.097951071 6.580829757 2.742725131 "Noun" 1241 1 4.389785213 1 49.5 5 5 1 "high"
"136" 1405 1404 "beer" 5411 3850 1805 3533 1738 75.49019608 3.585573519 21.51883643 3.256717746 "Noun" 3848 0.999740192 4.877407661 1 29 4 13 1 "high"
"138" 1416 1415 "beginning" 5462 3219 2242 3142 2207 63.11764706 3.507855872 26.72865999 3.350829274 "Noun" 1883 0.5858743 4.799690014 3 201.25 9 0 1 "high"
"141" 1438 1437 "bell" 5576 2006 1035 1387 821 39.33333333 3.302547372 12.33905579 3.015359755 "Noun" 1406 0.701246883 4.594381515 1 32.33 4 13 1 "high"
"147" 1594 1593 "birth" 6242 1405 948 1344 907 27.54901961 3.147985321 11.3018598 2.977266212 "Noun" 1405 1 4.439819463 1 26 5 5 1 "high"
"148" 1613 1612 "bit" 6275 11987 5084 11793 5059 235.0392157 4.078746734 60.6103958 3.706290957 "Noun" 6057 0.505592654 5.370580876 1 8 3 17 1 "high"
"151" 1649 1648 "blasphemy" 6452 75 63 54 51 1.470588235 1.880813592 0.751072961 1.806179974 "Noun" 74 1 3.172647734 3 23.5 9 1 1 "low"
"157" 1688 1687 "block" 6607 2067 1318 1808 1252 40.52941176 3.315550534 15.71292322 3.120244796 "Noun" 1651 0.800290839 4.607384677 1 37.75 5 4 1 "high"
"159" 1704 1703 "blood" 6644 9492 3526 8698 3393 186.1176471 3.977403481 42.03624225 3.54740546 "Noun" 9460 0.997364259 5.269237623 1 33.25 5 4 1 "high"
