numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
18380	62491	stiletto	17	17	15	14	14	0.33333	1.2553	0.17883	1.2041	Noun	17	1	2.5471	3	38.71	8	0	1	low	low3	4	40	1	2	41	42	43	44	
8546	28680	guarantor	9	9	7	8	6	0.17647	1	0.083453	0.90309	Noun	9	1	2.2918	3	43	9	0	1	low	low3	4	40	1	2	41	42	43	44	
5376	17957	dialog	6	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	6	1	2.1369	3	20.2	6	0	1	low	low3	4	40	1	2	41	42	43	44	
12135	40660	mimicry	4	4	4	4	4	0.078431	0.69897	0.047687	0.69897	Noun	4	1	1.9908	3	37.67	7	0	1	low	low3	4	40	1	2	41	42	43	44	
5622	19033	distances	46	46	44	45	43	0.90196	1.6721	0.52456	1.6532	Noun	46	1	2.9639	3	107.13	9	1	1	low	low3	4	40	1	2	41	42	43	44	
11370	38224	lunacy	51	51	43	45	42	1	1.716	0.51264	1.6435	Noun	51	1	3.0078	3	20.6	6	0	1	low	low3	4	40	1	2	41	42	43	44	
1006	3214	arrowheads	10	10	10	10	10	0.19608	1.0414	0.11922	1.0414	Noun	10	1	2.3332	3	12.78	10	0	1	low	low3	4	40	1	2	41	42	43	44	
5433	18143	digestion	52	52	46	52	46	1.0196	1.7243	0.5484	1.6721	Noun	52	1	3.0161	3	119.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	
14994	49735	precursor	7	7	7	7	7	0.13725	0.90309	0.083453	0.90309	Noun	7	1	2.1949	3	48.25	9	0	1	low	low3	4	40	1	2	41	42	43	44	
15038	49994	preserver	14	14	13	14	13	0.27451	1.1761	0.15498	1.1461	Noun	14	1	2.4679	3	75.5	9	2	1	low	low3	4	40	1	2	41	42	43	44	
1636	5198	beads	180	180	106	167	100	3.5294	2.2577	1.2637	2.0294	Noun	180	1	3.5495	1	53	5	11	1	low	low1	3	30	1	2	31	32	33	34	
11688	39229	marriages	199	199	162	192	158	3.902	2.301	1.9313	2.2122	Noun	199	1	3.5929	3	89.38	9	1	1	low	low3	4	40	1	2	41	42	43	44	
6259	20935	electrics	13	13	10	13	10	0.2549	1.1461	0.11922	1.0414	Noun	13	1	2.438	3	51.13	9	0	1	low	low3	4	40	1	2	41	42	43	44	
18584	63250	subculture	6	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	6	1	2.1369	3	25.89	10	0	1	low	low3	4	40	1	2	41	42	43	44	
13544	45184	outpatient	31	31	28	29	26	0.60784	1.5051	0.33381	1.4624	Noun	31	1	2.797	3	47.56	10	0	1	low	low3	4	40	1	2	41	42	43	44	
12457	41693	moroccans	2	2	2	0	0	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	51.25	9	0	1	low	low3	4	40	1	2	41	42	43	44	
7168	24334	fingernail	68	68	50	66	48	1.3333	1.8388	0.59609	1.7076	Noun	68	1	3.1307	3	23.78	10	0	1	low	low3	4	40	1	2	41	42	43	44	
