numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
18841	64226	swamps	45	45	34	38	29	0.88235	1.6628	0.40534	1.5441	Noun	45	1	2.9546	1	21	6	2	1	low	low1	3	30	1	2	31	32	33	34	
10811	36579	laws	868	868	592	811	574	17.0196	2.939	7.0577	2.7731	Noun	864	1	4.2309	1	20.33	4	12	1	high	high1	1	10	1	2	11	12	13	14	
16007	54025	repeater	14	14	13	11	11	0.27451	1.1761	0.15498	1.1461	Noun	14	1	2.4679	3	120.57	8	1	1	low	low3	4	40	1	2	41	42	43	44	
8314	27907	gorge	67	67	43	45	39	1.3137	1.8325	0.51264	1.6435	Noun	67	1	3.1243	1	33.25	5	3	1	low	low1	3	30	1	2	31	32	33	34	
3630	11600	circuses	16	16	14	14	12	0.31373	1.2304	0.16691	1.1761	Noun	15	1	2.5223	3	91.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
14070	46944	pedestal	67	67	44	66	43	1.3137	1.8325	0.52456	1.6532	Noun	67	1	3.1243	3	55.57	8	0	1	low	low3	4	40	1	2	41	42	43	44	
20284	69573	uniqueness	18	18	16	18	16	0.35294	1.2788	0.19075	1.2304	Noun	18	1	2.5706	3	57.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
10621	36048	laborer	23	23	20	22	20	0.45098	1.3802	0.23844	1.3222	Noun	23	1	2.672	3	85.17	7	0	1	low	low3	4	40	1	2	41	42	43	44	
17324	58579	shirt	2365	2365	1400	2330	1383	46.3725	3.374	16.6905	3.1464	Noun	2363	1	4.6658	1	36.5	5	4	1	high	high1	1	10	1	2	11	12	13	14	
18132	61522	splints	14	14	12	14	12	0.27451	1.1761	0.14306	1.1139	Noun	14	1	2.4679	1	64.17	7	1	1	low	low1	3	30	1	2	31	32	33	34	
15810	52989	recruiter	35	35	26	34	26	0.68627	1.5563	0.30997	1.4314	Noun	35	1	2.8481	3	93.88	9	1	1	low	low3	4	40	1	2	41	42	43	44	
12532	41910	mousse	59	59	43	54	39	1.1569	1.7782	0.51264	1.6435	Noun	59	1	3.07	1	39.6	6	0	1	low	low1	3	30	1	2	31	32	33	34	
7055	23999	fest	69	69	47	49	35	1.3529	1.8451	0.56032	1.6812	Noun	69	1	3.1369	1	21.67	4	15	1	low	low1	3	30	1	2	31	32	33	34	
