numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	 BF_TP|f	 LEN_L|f	   N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f
15	61	abdomen	171	171	122	152	116	3.352941176	2.235528447	1.454458751	2.089905111	Noun	171	1	3.527362589	3	26.83	7	0	1	low	low3	4	40	1	2	41	42	43	44
44	174	abrasion	18	18	15	15	13	0.352941176	1.278753601	0.178826896	1.204119983	Noun	18	1	2.570587743	3	56	8	0	1	low	low3	4	40	1	2	41	42	43	44
54	206	absences	14	14	12	14	12	0.274509804	1.176091259	0.143061516	1.113943352	Noun	14	1	2.467925401	3	103	8	0	1	low	low3	4	40	1	2	41	42	43	44
55	208	absentee	18	18	18	18	18	0.352941176	1.278753601	0.214592275	1.278753601	Noun	18	1	2.570587743	3	72	8	0	1	low	low3	4	40	1	2	41	42	43	44
65	238	absorption	18	18	17	16	15	0.352941176	1.278753601	0.202670482	1.255272505	Noun	18	1	2.570587743	3	107.78	10	0	1	low	low3	4	40	1	2	41	42	43	44
73	266	abundance	45	45	41	45	41	0.882352941	1.662757832	0.488793515	1.62324929	Noun	45	1	2.954591974	3	40.75	9	0	1	low	low3	4	40	1	2	41	42	43	44
100	382	accomplice	216	216	147	210	145	4.235294118	2.336459734	1.752503577	2.170261715	Noun	216	1	3.628293876	3	37.44	10	0	1	low	low3	4	40	1	2	41	42	43	44
108	444	accuser	15	15	12	15	12	0.294117647	1.204119983	0.143061516	1.113943352	Noun	15	1	2.495954125	3	80.5	7	2	1	low	low3	4	40	1	2	41	42	43	44
117	478	achievers	9	9	5	4	3	0.176470588	1	0.059608965	0.77815125	Noun	9	1	2.291834142	3	46.75	9	0	1	low	low3	4	40	1	2	41	42	43	44
131	522	acoustics	22	22	22	22	22	0.431372549	1.361727836	0.262279447	1.361727836	Noun	22	1	2.653561978	3	66.25	9	0	1	low	low3	4	40	1	2	41	42	43	44
141	560	acronym	15	15	14	14	13	0.294117647	1.204119983	0.166905103	1.176091259	Noun	15	1	2.495954125	3	18.5	7	0	1	low	low3	4	40	1	2	41	42	43	44
152	589	activist	50	50	40	47	37	0.980392157	1.707570176	0.476871722	1.612783857	Noun	50	1	2.999404318	3	48	8	1	1	low	low3	4	40	1	2	41	42	43	44
157	598	actresses	115	115	91	108	87	2.254901961	2.064457989	1.084883166	1.963787827	Noun	115	1	3.356292131	3	91.5	9	0	1	low	low3	4	40	1	2	41	42	43	44
168	628	acuteness	1	1	1	1	1	0.019607843	0.301029996	0.011921793	0.301029996	Noun	1	1	1.592864138	3	79.88	9	0	1	low	low3	4	40	1	2	41	42	43	44
174	647	adapter	11	11	7	11	7	0.215686275	1.079181246	0.083452551	0.903089987	Noun	11	1	2.371015388	3	105	7	1	1	low	low3	4	40	1	2	41	42	43	44
176	651	adaptor	4	4	4	4	4	0.078431373	0.698970004	0.047687172	0.698970004	Noun	4	1	1.990804146	3	18.67	7	0	1	low	low3	4	40	1	2	41	42	43	44
185	678	additions	11	11	10	11	10	0.215686275	1.079181246	0.11921793	1.041392685	Noun	11	1	2.371015388	3	60.88	9	1	1	low	low3	4	40	1	2	41	42	43	44
198	718	adherent	3	3	3	3	3	0.058823529	0.602059991	0.035765379	0.602059991	Noun	3	1	1.893894133	3	64	8	0	1	low	low3	4	40	1	2	41	42	43	44
200	722	adhesion	6	6	6	6	6	0.117647059	0.84509804	0.071530758	0.84509804	Noun	6	1	2.136932182	3	54.29	8	0	1	low	low3	4	40	1	2	41	42	43	44
205	735	adjective	25	25	21	23	20	0.490196078	1.414973348	0.250357654	1.342422681	Noun	25	1	2.70680749	3	74.63	9	0	1	low	low3	4	40	1	2	41	42	43	44
208	759	adjuster	20	20	17	19	16	0.392156863	1.322219295	0.202670482	1.255272505	Noun	20	1	2.614053437	3	77.86	8	1	1	low	low3	4	40	1	2	41	42	43	44
214	787	admirals	29	29	21	19	15	0.568627451	1.477121255	0.250357654	1.342422681	Noun	29	1	2.768955397	3	37.57	8	0	1	low	low3	4	40	1	2	41	42	43	44
237	866	ads	258	258	180	242	173	5.058823529	2.413299764	2.145922747	2.257678575	Noun	258	1	3.705133906	1	2.5	3	4	1	high	high1	1	10	1	2	11	12	13	14
242	879	adulthood	37	37	33	37	33	0.725490196	1.579783597	0.39341917	1.531478917	Noun	36	1	2.871617739	3	18.75	9	0	1	low	low3	4	40	1	2	41	42	43	44
249	899	adventures	184	184	142	150	124	3.607843137	2.267171728	1.692894611	2.155336037	Noun	184	1	3.559005871	3	64.33	10	1	1	low	low3	4	40	1	2	41	42	43	44
262	937	adviser	53	53	45	49	41	1.039215686	1.73239376	0.536480687	1.662757832	Noun	53	1	3.024227902	3	83	7	2	1	low	low3	4	40	1	2	41	42	43	44
279	986	aerosol	14	14	10	14	10	0.274509804	1.176091259	0.11921793	1.041392685	Noun	14	1	2.467925401	3	25.83	7	0	1	low	low3	4	40	1	2	41	42	43	44
292	1023	affection	431	431	334	419	330	8.450980392	2.635483747	3.981878875	2.525044807	Noun	430	1	3.927317889	3	100.75	9	0	1	high	high3	2	20	1	2	21	22	23	24
302	1057	affliction	60	60	53	58	51	1.176470588	1.785329835	0.631855031	1.73239376	Noun	60	1	3.077163977	3	119.67	10	0	1	low	low3	4	40	1	2	41	42	43	44
