word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
ante-N	3	4	4	1	0	0	0	0	N	
bough-V	2	5	2	1	0	0	0	0	V	
hog-V	3	3	3	1	528	581	527	0	V	
ebb-V	1	3	2	1	0	0	0	0	V	
deem-V	1	4	3	1	0	0	0	0	V	
matt-J	3	4	3	1	0	0	0	0	J	
flare-V	3	5	3	1	508	467	509	0	V	
hue-V	1	3	3	1	404	388	399	544	V	
yen-N	3	3	3	1	0	0	0	0	N	
err-N	1	3	2	1	0	0	0	0	N	
keg-N	2	3	3	1	300	586	606	0	N	
cube-V	1	4	4	1	502	530	575	383	V	
womb-V	1	4	3	1	508	538	529	0	V	
sop-V	1	3	3	1	259	373	294	536	V	
mid-A	2	3	3	1	0	0	0	0	A	
swum-V	1	4	4	1	0	0	0	0	V	
aye-N	1	3	1	1	333	233	255	0	N	
tow-V	1	3	2	1	468	409	406	0	V	
cam-N	1	3	3	1	0	0	0	0	N	
gob-N	1	3	3	1	0	0	0	0	N	
nigh-N	1	4	2	1	0	0	0	0	N	
ell-N	1	3	2	1	0	0	0	0	N	
ere-N	1	3	2	1	0	0	0	0	N	
rime-N	1	4	3	1	0	0	0	0	N	
jade-N	1	4	3	1	359	570	459	572	N	
surf-V	1	4	3	1	526	527	601	0	V	
mig-N	1	3	3	1	0	0	0	0	N	
eel-N	2	3	2	1	433	634	552	0	N	
loin-N	1	4	3	1	0	0	0	0	N	
fern-N	1	4	3	1	0	0	0	0	N	
peel-N	3	4	3	1	507	432	436	0	N	
coupe-J	2	5	3	1	0	0	0	0	J	
kirk-V	1	4	3	1	0	0	0	0	V	
kit-N	2	3	3	1	0	0	0	0	N	
tow-N	1	3	2	1	468	409	406	0	N	
rash-V	1	4	3	1	485	523	520	0	V	
elm-N	3	3	3	1	456	579	550	367	N	
myrrh-N	2	5	2	1	0	0	0	0	N	
sap-N	1	3	3	1	377	540	451	464	N	
sip-N	2	3	3	1	0	0	0	0	N	
sock-A	4	4	3	1	578	581	553	172	A	
sop-N	1	3	3	1	259	373	294	536	N	
starched-V	2	8	5	2	0	0	0	0	V	
kite-V	1	4	3	1	481	592	624	0	V	
kirk-N	1	4	3	1	0	0	0	0	N	
ere-A	1	3	1	1	0	0	0	0	A	
bead-N	1	4	3	1	0	0	0	0	N	
paw-V	3	3	2	1	0	0	0	0	V	
sap-V	1	3	3	1	377	540	451	464	V	
brae-N	1	4	3	1	0	0	0	0	N	
jolt-V	4	4	4	1	424	424	426	431	V	
rash-J	1	4	3	1	485	523	520	0	J	
mug-N	1	3	3	1	527	576	574	0	N	
sou-N	1	3	2	1	0	0	0	0	N	
vol-N	2	3	3	1	0	0	0	0	N	
nil-N	1	3	3	1	0	0	0	0	N	
hop-J	2	3	3	1	432	494	554	289	J	
ewe-N	1	3	2	1	341	538	481	378	N	
stellar-J	1	7	5	2	0	0	0	0	J	
flee-V	1	4	3	1	486	400	431	0	V	
cove-V	2	4	3	1	0	0	0	0	V	
pomp-V	1	4	4	1	0	0	0	0	V	
sleek-A	2	5	4	1	0	0	0	0	A	
tab-N	1	3	3	1	0	0	0	0	N	
yawl-V	1	4	3	1	0	0	0	0	V	
pane-N	3	4	3	1	395	506	410	0	N	
bide-V	1	4	3	1	0	0	0	0	V	
gig-V	1	3	3	1	425	525	437	564	V	
orphan-V	1	6	3	2	0	0	0	0	V	
pens-V	2	4	4	1	0	0	0	0	V	
fray-V	1	4	3	1	0	0	0	0	V	
gab-N	1	3	3	1	0	0	0	0	N	
gob-V	1	3	3	1	0	0	0	0	V	
soot-J	1	4	3	1	390	563	531	0	J	
wow-V	1	3	2	1	0	0	0	0	V	
nigh-R	1	4	2	1	0	0	0	0	R	
beau-J	2	4	2	1	242	419	394	611	J	
rib-N	1	3	3	1	536	599	586	0	N	
doe-N	1	3	2	1	464	579	532	0	N	
hooch-N	1	5	3	1	0	0	0	0	N	
dole-J	1	4	3	1	0	0	0	0	J	
pal-N	2	3	3	1	0	0	0	0	N	
haw-N	1	3	2	1	0	0	0	0	N	
peal-N	1	4	3	1	451	402	433	0	N	
gird-N	1	4	3	1	0	0	0	0	N	
ewe-V	1	3	2	1	341	538	481	378	V	
ire-N	1	3	2	2	0	0	0	0	N	
sic-A	4	3	3	1	0	0	0	0	A	
wig-V	1	3	3	1	518	618	587	0	V	
kale-N	1	4	3	1	256	558	391	575	N	
cur-N	1	3	2	1	0	0	0	0	N	
whit-V	1	4	3	1	0	0	0	0	V	
sup-V	1	3	3	1	0	0	0	0	V	
ooze-N	2	4	2	1	0	0	0	0	N	
nun-N	2	3	3	1	500	583	617	0	N	
matt-N	3	4	3	1	0	0	0	0	N	
genre-N	2	5	1	1	0	0	0	0	N	
nay-N	2	3	2	1	0	0	0	0	N	
mum-N	1	3	3	1	0	0	0	0	N	
sol-N	3	3	3	1	0	0	0	0	N	
