word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
norm-N	10	4	3	1	0	0	0	0	N	
bog-N	1	3	3	1	0	0	0	0	N	
sedition-N	1	8	7	3	0	0	0	0	N	
rash-A	1	4	3	1	485	523	520	0	A	
web-V	6	3	3	1	457	561	602	0	V	
pontiff-N	1	7	6	2	0	0	0	0	N	
vintage-V	3	7	6	2	0	0	0	0	V	
cipher-N	1	6	4	2	0	0	0	0	N	
siamese-N	4	7	6	3	0	0	0	0	N	
fatty-N	7	5	4	2	0	0	0	0	N	
quiz-V	2	4	4	1	0	0	0	0	V	
bushel-V	1	6	4	2	0	0	0	0	V	
cheer-V	8	5	3	1	0	0	0	0	V	
strangely-A	8	9	8	3	0	0	0	0	A	
stew-V	5	4	4	1	522	603	587	283	V	
beck-V	1	4	3	1	0	0	0	0	V	
uprising-N	1	8	7	3	0	0	0	0	N	
tarpaulin-N	1	9	7	3	0	0	0	0	N	
uncommon-A	8	8	7	3	0	0	0	0	A	
nautilus-N	2	8	7	3	0	0	0	0	N	
burnt-V	6	5	4	1	0	0	0	0	V	
wesleyan-N	3	8	7	2	0	0	0	0	N	
arsenic-N	1	7	5	2	0	0	0	0	N	
tease-N	6	5	3	1	0	0	0	0	N	
presto-V	2	6	6	2	0	0	0	0	V	
ted-N	7	3	3	1	0	0	0	0	N	
tasting-V	3	7	6	2	0	0	0	0	V	
slop-N	2	4	4	1	0	0	0	0	N	
piquant-J	2	7	6	2	0	0	0	0	J	
loaf-N	4	4	3	1	0	0	0	0	N	
trifling-J	2	8	7	2	0	0	0	0	J	
imposing-V	7	8	7	3	0	0	0	0	V	
nudge-N	2	5	3	1	0	0	0	0	N	
flake-V	1	5	4	1	0	0	0	0	V	
tinsel-J	2	6	5	2	0	0	0	0	J	
wormy-J	1	5	4	2	0	0	0	0	J	
dope-V	2	4	3	1	0	0	0	0	V	
quits-N	1	5	5	1	0	0	0	0	N	
verge-V	2	5	3	1	0	0	0	0	V	
gardenia-N	1	8	7	3	472	576	564	0	N	
framer-N	1	6	5	2	0	0	0	0	N	
siesta-N	2	6	6	3	0	0	0	0	N	
glycol-N	2	6	6	2	0	0	0	0	N	
pulse-V	9	5	4	1	0	0	0	0	V	
coasted-V	3	7	6	2	0	0	0	0	V	
plague-N	6	6	4	1	0	0	0	0	N	
purport-N	2	7	5	2	0	0	0	0	N	
hood-V	7	4	3	1	510	547	558	0	V	
pail-N	4	4	3	1	453	538	508	0	N	
maverick-N	3	8	7	3	0	0	0	0	N	
mending-V	3	7	6	2	0	0	0	0	V	
canister-V	2	8	8	3	0	0	0	0	V	
derivation-N	4	10	9	4	434	242	267	611	N	
scorched-V	2	8	5	2	0	0	0	0	V	
vinegar-N	9	7	6	3	468	645	562	0	N	
ozone-N	3	5	4	2	0	0	0	0	N	
raving-J	3	6	5	2	0	0	0	0	J	
lute-V	1	4	3	1	287	509	429	0	V	
brim-V	4	4	4	1	430	509	510	394	V	
snare-N	1	5	3	1	0	0	0	0	N	
misty-J	4	5	5	2	0	0	0	0	J	
umbrella-N	8	8	7	3	511	606	592	306	N	
elasticity-N	5	10	10	5	0	0	0	0	N	
hem-V	4	3	3	1	0	0	0	0	V	
joyous-J	5	6	4	2	0	0	0	0	J	
foal-N	2	4	3	1	338	420	448	0	N	
parting-V	4	7	5	2	0	0	0	0	V	
burnet-N	2	6	5	2	0	0	0	0	N	
whoop-V	1	5	3	1	320	383	426	414	V	
yodel-V	1	5	4	2	0	0	0	0	V	
molar-N	1	5	4	2	0	0	0	0	N	
marvel-N	6	6	5	2	465	293	410	489	N	
yacht-N	4	5	3	1	464	606	624	363	N	
baldness-N	2	8	7	2	0	0	0	0	N	
mundane-J	3	7	6	2	0	0	0	0	J	
mute-J	3	4	4	1	0	0	0	0	J	
daybreak-N	1	8	6	2	387	511	608	0	N	
fade-N	2	4	3	1	0	0	0	0	N	
sweetish-A	1	8	6	2	0	0	0	0	A	
sag-V	4	3	3	1	0	0	0	0	V	
chomp-V	1	5	4	1	0	0	0	0	V	
malt-V	1	4	4	1	0	0	0	0	V	
yoke-V	3	4	3	1	441	542	514	0	V	
cipher-V	1	6	4	2	0	0	0	0	V	
springing-V	2	9	7	2	0	0	0	0	V	
bait-V	2	4	3	1	0	0	0	0	V	
crow-V	2	4	3	1	490	590	578	308	V	
giddy-V	2	5	4	2	338	0	451	0	V	
scarlet-N	3	7	6	2	428	519	587	0	N	
hog-N	3	3	3	1	528	581	527	0	N	
pierce-V	6	6	3	1	0	0	0	0	V	
mash-V	1	4	3	1	481	418	472	0	V	
runner-N	1	6	4	2	531	0	546	0	N	
drab-V	5	4	4	1	443	281	340	0	V	
magnet-N	3	6	6	2	526	550	543	0	N	
leaky-J	2	5	4	2	0	0	0	0	J	
minced-V	6	6	5	2	0	0	0	0	V	
timid-J	5	5	5	2	473	0	404	0	J	
bolster-N	3	7	6	2	0	0	0	0	N	
voyager-N	1	7	5	3	0	0	0	0	N	
