word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
impervious-J	2	10	8	3	0	0	0	0	J	
kindly-J	8	6	6	2	0	0	0	0	J	
shorthand-J	2	9	7	2	0	0	0	0	J	
diminished-V	10	10	8	4	0	0	0	0	V	
sixty-N	21	5	6	2	0	0	0	0	N	
cent-N	158	4	4	1	473	544	518	433	N	
rebel-N	18	5	4	2	448	439	497	461	N	
secularism-N	1	10	12	5	0	0	0	0	N	
showroom-N	1	8	5	2	0	0	0	0	N	
tease-N	6	5	3	1	0	0	0	0	N	
battalion-N	3	9	8	3	0	0	0	0	N	
anything-A	280	8	6	3	0	0	0	0	A	
priceless-J	5	9	7	3	0	0	0	0	J	
bully-J	4	5	4	2	0	0	0	0	J	
while-N	680	5	3	1	543	204	302	0	N	
alone-J	195	5	4	2	562	390	480	0	J	
glaucoma-N	1	8	7	3	0	0	0	0	N	
same-J	686	4	3	1	569	248	326	0	J	
renown-V	1	6	5	2	383	0	334	0	V	
march-V	120	5	4	1	539	440	497	269	V	
parley-N	1	6	4	2	0	0	0	0	N	
eyed-J	7	4	2	1	0	0	0	0	J	
committee-N	168	9	6	3	532	498	481	517	N	
chuck-V	14	5	4	1	0	0	0	0	V	
first-V	1360	5	4	1	590	311	388	0	V	
still-A	782	5	4	1	557	354	345	0	A	
through-A	969	7	3	1	587	274	320	0	A	
heat-N	97	4	3	1	580	472	507	278	N	
inhibition-N	6	10	9	4	476	262	383	617	N	
trick-N	15	5	4	1	531	391	459	308	N	
quixotic-J	2	8	9	3	0	0	0	0	J	
only-J	1747	4	4	2	600	218	255	0	J	
eagle-N	5	5	3	2	465	616	601	0	N	
disapprove-V	4	10	8	3	0	0	0	0	V	
gamble-V	3	6	5	2	0	0	0	0	V	
red-V	197	3	3	1	607	501	585	0	V	
minuet-N	2	6	7	3	0	0	0	0	N	
therefore-A	205	9	4	2	556	199	243	0	A	
root-V	30	4	3	1	554	558	565	0	V	
personal-N	196	8	5	3	559	311	408	0	N	
soot-V	1	4	3	1	390	563	531	0	V	
unwanted-J	6	8	8	3	0	0	0	0	J	
laborious-J	1	9	8	3	0	0	0	0	J	
century-N	207	7	8	3	514	346	395	414	N	
american-N	569	8	8	4	0	0	0	0	N	
set-V	414	3	3	1	0	0	0	0	V	
scalloped-V	2	9	7	3	0	0	0	0	V	
complexion-N	6	10	10	3	0	0	0	0	N	
corporate-J	19	9	7	3	0	0	0	0	J	
mat-N	5	3	3	1	490	513	537	0	N	
job-N	238	3	3	1	578	432	470	0	N	
jitters-N	2	7	5	2	0	0	0	0	N	
honest-J	47	6	5	2	607	0	366	0	J	
unripe-J	1	6	5	2	0	0	0	0	J	
too-J	832	3	2	1	595	208	261	0	J	
law-V	299	3	2	1	562	349	409	383	V	
portuguese-J	3	10	8	3	0	0	0	0	J	
hand-V	431	4	4	1	601	604	598	0	V	
even-N	1171	4	4	2	576	283	338	0	N	
helping-N	44	7	6	2	0	0	0	0	N	
child-V	213	5	4	1	585	581	619	0	V	
career-N	67	6	4	2	589	373	418	514	N	
stout-N	3	5	4	1	511	413	521	0	N	
does-V	485	4	3	1	629	0	210	0	V	
napoleonic-J	1	10	10	5	0	0	0	0	J	
right-A	613	5	3	1	599	361	372	0	A	
allege-V	1	6	4	2	279	0	281	0	V	
redwood-N	2	7	6	2	0	0	0	0	N	
steel-V	45	5	4	1	553	586	534	0	V	
martin-N	55	6	5	2	0	0	0	0	N	
since-J	628	5	4	1	541	247	264	0	J	
nihilism-N	1	8	8	4	0	0	0	0	N	
sex-V	84	3	4	1	617	512	584	450	V	
sloppy-J	3	6	5	2	542	0	434	0	J	
canopy-N	2	6	6	3	0	0	0	0	N	
connective-N	3	10	8	3	0	0	0	0	N	
usually-A	206	7	6	3	0	0	0	0	A	
cave-N	9	4	3	1	526	592	601	0	N	
under-R	707	5	4	2	544	319	426	0	R	
present-N	377	7	6	2	569	389	481	0	N	
excellent-J	68	9	8	3	587	0	366	0	J	
clumsy-J	6	6	6	2	512	386	436	0	J	
ginger-J	2	6	6	2	455	522	430	0	J	
side-N	380	4	3	1	566	394	386	0	N	
topping-J	2	7	5	2	0	0	0	0	J	
premiere-N	5	8	7	2	0	0	0	0	N	
likely-A	151	6	5	2	0	0	0	0	A	
sick-J	51	4	3	1	571	404	456	0	J	
sprinkling-V	7	10	9	2	0	0	0	0	V	
element-V	52	7	7	3	0	0	0	0	V	
look-V	399	4	3	1	607	376	395	225	V	
philosophy-N	86	10	8	4	491	257	348	622	N	
most-N	1160	4	4	1	560	321	306	0	N	
cruel-J	15	5	4	1	521	367	422	0	J	
meek-J	10	4	3	1	470	299	392	0	J	
sullen-A	9	6	5	2	374	0	361	0	A	
mucilage-N	1	8	8	3	0	0	0	0	N	
without-A	583	7	5	2	577	267	302	0	A	
efficient-J	32	9	7	3	503	0	334	0	J	
cube-N	1	4	4	1	502	530	575	383	N	
