word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s
aback-A	2	5	4	2	0	0	0	0	A
abandon-A	17	7	7	3	510	0	395	0	A
abandoned-J	25	9	8	4	0	0	0	0	J
abandoned-V	25	9	8	4	0	0	0	0	V
abandon-N	17	7	7	3	510	0	395	0	N
abandon-V	17	7	7	3	510	0	395	0	V
abasement-N	2	9	8	3	226	275	262	0	N
abbe-N	3	4	3	2	0	0	0	0	N
abbey-N	7	5	3	2	0	0	0	0	N
abbot-N	2	5	4	2	0	0	0	0	N
abdomen-N	6	7	7	3	426	586	548	556	N
abdominal-J	4	9	8	4	0	0	0	0	J
abdominal-N	4	9	8	4	0	0	0	0	N
abduction-N	1	9	8	3	413	337	463	0	N
abed-A	1	4	4	2	0	0	0	0	A
aberrant-J	5	8	7	3	0	0	0	0	J
aberration-N	3	10	8	4	208	330	285	0	N
abeyance-N	3	8	6	3	0	0	0	0	N
abhorrent-J	1	9	8	3	0	0	0	0	J
abide-V	7	5	4	2	0	0	0	0	V
abigail-N	2	7	6	3	0	0	0	0	N
ability-N	74	7	7	4	563	273	327	453	N
abjection-N	1	9	8	3	0	0	0	0	N
abject-J	3	6	6	2	0	0	0	0	J
abject-N	3	6	6	2	0	0	0	0	N
abject-V	3	6	6	2	0	0	0	0	V
ablation-N	2	8	7	3	0	0	0	0	N
ablaze-A	3	6	5	2	0	0	0	0	A
ablaze-J	3	6	5	2	0	0	0	0	J
able-J	216	4	3	2	575	302	284	0	J
able-V	216	4	3	1	575	302	284	0	V
ably-A	2	4	4	2	0	0	0	0	A
abnormal-J	3	8	7	3	0	0	0	0	J
aboard-A	25	6	4	2	0	0	0	0	A
aboard-N	25	6	4	2	0	0	0	0	N
aboard-R	25	6	4	2	0	0	0	0	R
aboard-V	25	6	4	2	0	0	0	0	V
abode-N	4	5	4	2	334	498	458	553	N
abode-V	4	5	4	2	334	498	458	553	V
abolish-V	8	7	6	3	0	0	0	0	V
abolition-N	10	9	8	4	0	0	0	0	N
aboriginal-J	1	10	9	5	295	335	389	0	J
aboriginal-N	1	10	9	5	295	335	389	0	N
aborigines-N	8	10	10	5	0	0	0	0	N
abortion-N	6	8	6	3	0	0	0	0	N
abortive-J	3	8	6	3	0	0	0	0	J
abortive-N	3	8	6	3	0	0	0	0	N
abortive-V	3	8	6	3	0	0	0	0	V
abound-V	1	6	5	2	0	0	0	0	V
about-A	1815	5	4	2	593	227	225	0	A
about-R	1815	5	4	2	593	227	225	0	R
above-A	296	5	4	2	607	0	346	0	A
above-J	296	5	4	2	607	0	346	0	J
above-N	296	5	4	2	607	0	346	0	N
above-R	296	5	4	2	607	0	346	0	R
abrasion-N	1	8	7	3	0	0	0	0	N
abreast-A	5	7	6	2	0	0	0	0	A
abridgment-N	1	10	9	3	0	0	0	0	N
abroad-A	51	6	5	2	0	0	0	0	A
abroad-J	51	6	5	2	0	0	0	0	J
abroad-R	51	6	5	2	0	0	0	0	R
abrupt-J	18	6	6	2	486	266	362	0	J
abruptly-A	18	8	8	3	0	0	0	0	A
abrupt-N	18	6	6	2	486	266	362	0	N
abrupt-V	18	6	6	2	486	266	362	0	V
abscissa-N	1	8	6	3	0	0	0	0	N
absence-N	53	7	6	2	0	0	0	0	N
absentee-J	1	8	7	3	0	0	0	0	J
absentee-N	1	8	7	3	0	0	0	0	N
absent-J	28	6	6	2	0	0	0	0	J
absent-N	28	6	6	2	0	0	0	0	N
absent-V	28	6	6	2	0	0	0	0	V
absolute-J	30	8	7	3	495	0	268	0	J
absolutely-A	27	10	9	4	0	0	0	0	A
absolute-N	30	8	7	3	495	0	268	0	N
absolution-N	2	10	9	4	372	241	256	608	N
absorb-V	13	6	5	2	0	0	0	0	V
absorption-J	12	10	7	3	0	0	0	0	J
absorption-N	12	10	8	3	0	0	0	0	N
absorptive-J	1	10	8	3	0	0	0	0	J
abstain-V	1	7	6	2	0	0	0	0	V
abstention-N	5	10	9	3	0	0	0	0	N
abstinence-N	1	10	9	3	0	0	0	0	N
abstracted-J	3	10	10	3	0	0	0	0	J
abstracted-V	3	10	10	3	0	0	0	0	V
abstract-J	34	8	8	2	0	0	0	0	J
abstract-N	34	8	8	2	0	0	0	0	N
abstract-V	34	8	8	2	0	0	0	0	V
absurdity-N	8	9	8	4	0	0	0	0	N
absurd-J	17	6	5	2	0	0	0	0	J
absurd-N	17	6	5	2	0	0	0	0	N
