word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s	
picket-N	9	6	5	2	0	0	0	0	N	
particular-J	179	10	9	4	514	0	274	0	J	
rotund-J	1	6	6	2	0	0	0	0	J	
ignore-V	19	6	4	2	514	320	400	0	V	
period-V	265	6	5	2	573	358	429	458	V	
optimum-J	16	7	7	3	0	0	0	0	J	
trailer-N	11	7	5	2	528	597	587	0	N	
columnist-N	5	9	9	3	0	0	0	0	N	
bottom-N	88	6	5	2	587	0	436	0	N	
guarded-J	5	7	5	2	0	0	0	0	J	
assembly-N	50	8	7	3	0	0	0	0	N	
bosom-J	8	5	5	2	425	552	593	489	J	
receipt-V	4	7	5	2	498	474	432	517	V	
chronic-J	11	7	6	2	0	0	0	0	J	
return-N	180	6	5	2	582	0	293	0	N	
stall-N	18	5	4	1	0	0	0	0	N	
sighted-V	7	7	5	2	0	0	0	0	V	
doctor-N	100	6	5	2	573	575	600	0	N	
succeed-V	15	7	6	2	591	304	416	0	V	
going-V	399	5	4	1	0	0	0	0	V	
whinny-N	1	6	4	2	0	0	0	0	N	
statue-V	17	6	5	2	444	600	562	406	V	
game-J	123	4	3	1	574	477	521	242	J	
porous-J	12	6	5	2	0	0	0	0	J	
grill-N	12	5	4	1	0	0	0	0	N	
warren-N	51	6	5	2	0	0	0	0	N	
mercer-N	71	6	4	2	0	0	0	0	N	
council-N	103	7	5	2	508	435	405	464	N	
within-R	359	6	5	2	0	0	0	0	R	
smell-N	34	5	4	1	582	450	477	0	N	
headed-J	59	6	5	2	0	0	0	0	J	
hot-A	130	3	3	1	607	507	551	0	A	
late-A	179	4	3	1	584	262	387	0	A	
native-N	46	6	5	2	508	471	507	425	N	
moving-V	114	6	5	2	0	0	0	0	V	
suffrage-N	5	8	6	2	371	283	317	0	N	
secure-V	30	6	5	2	507	0	373	0	V	
native-J	46	6	5	2	508	471	507	425	J	
excessive-A	30	9	7	3	493	0	317	0	A	
more-V	2216	4	3	1	612	284	264	0	V	
monthly-J	23	7	6	2	0	0	0	0	J	
concern-N	98	7	6	2	519	509	353	444	N	
cannot-N	258	6	5	2	0	0	0	0	N	
thunder-V	14	7	5	2	547	547	554	0	V	
carry-N	88	5	4	2	554	364	393	0	N	
wake-N	23	4	3	1	0	0	0	0	N	
right-V	613	5	3	1	599	361	372	0	V	
like-R	1290	4	3	1	610	286	352	0	R	
island-N	167	6	5	2	507	596	643	289	N	
haircut-N	2	7	5	2	0	0	0	0	N	
handled-V	26	7	6	2	0	0	0	0	V	
perfect-A	58	7	6	2	613	0	404	0	A	
disease-N	53	7	5	2	580	504	487	0	N	
heating-V	24	7	5	2	0	0	0	0	V	
turn-N	233	4	3	1	583	359	384	233	N	
giving-V	96	6	5	2	0	0	0	0	V	
soaking-V	9	7	5	2	0	0	0	0	V	
involve-V	31	7	6	2	0	0	0	0	V	
pidgin-N	2	6	5	2	274	372	390	0	N	
finish-V	39	6	5	2	617	343	437	300	V	
evidence-N	204	8	7	3	504	340	356	480	N	
less-C	438	4	3	1	541	266	286	0	C	
present-N	377	7	7	2	569	389	481	0	N	
generate-V	7	8	7	3	0	0	0	0	V	
labyrinth-N	1	9	8	3	313	515	453	0	N	
special-J	250	7	6	2	607	0	305	0	J	
hard-V	202	4	3	1	595	425	460	0	V	
captain-V	85	7	6	2	498	534	497	0	V	
close-J	234	5	4	1	587	391	420	283	J	
temple-N	38	6	5	2	450	565	547	0	N	
baton-V	10	5	5	2	424	570	516	0	V	
foster-V	15	6	5	2	0	0	0	0	V	
motor-V	56	5	4	2	545	565	521	344	V	
curve-N	45	5	3	1	521	447	520	364	N	
possible-A	373	8	6	2	595	0	249	0	A	
knotted-V	4	7	5	2	0	0	0	0	V	
regard-V	89	6	5	2	0	0	0	0	V	
small-V	542	5	4	1	616	402	447	0	V	
fictional-J	13	9	7	3	0	0	0	0	J	
special-N	250	7	6	2	607	0	305	0	N	
wesleyan-N	3	8	7	2	0	0	0	0	N	
married-J	105	7	5	2	615	0	568	0	J	
hell-N	95	4	3	1	564	355	519	314	N	
notion-N	40	6	5	2	0	0	0	0	N	
capote-N	1	6	5	2	0	0	0	0	N	
telephone-V	76	9	7	3	605	619	655	0	V	
camp-J	75	4	4	1	541	571	588	308	J	
working-V	151	7	5	2	609	383	458	0	V	
future-J	227	6	6	2	612	311	413	414	J	
hitch-N	5	5	4	1	0	0	0	0	N	
unlike-J	42	6	5	2	0	0	0	0	J	
support-N	180	7	5	2	556	0	359	0	N	
until-C	461	5	5	2	0	0	0	0	C	
pair-J	50	4	3	1	544	377	480	0	J	
hatred-N	20	6	6	2	544	239	417	0	N	
word-V	274	4	3	1	0	0	0	0	V	
does-V	485	4	3	1	629	0	210	0	V	
askew-A	1	5	5	2	0	0	0	0	A	
quickly-A	89	7	6	2	581	292	376	0	A	
ungracious-J	1	10	8	3	0	0	0	0	J	
