numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
3118	21254	73330	woe	119	86	76	56	2.3333	2.0792	1.0253	1.9395	Noun	1	117	1	Noun	117	3.371	high	2	1	55.7	6	3	11	
3249	23025	13999	convalesce	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Verb	2	3	1	Verb	3	1.8939	low	1	3	452.67	58	10	0	
2210	14741	48991	polluter	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	862.61	90.29	8	2	
2393	15795	52827	reclaimer	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	524.83	68.88	9	1	
1079	6772	23014	exponent	4	4	3	3	0.078431	0.69897	0.047687	0.69897	Noun	1	4	1	Noun	4	1.9908	low	1	3	547.58	63.14	8	0	
2715	18149	61608	spore	7	6	7	6	0.13725	0.90309	0.071531	0.8451	Noun	1	7	1	Noun	7	2.1949	low	1	1	1684.99	32.75	5	9	
2587	16960	57427	seam	33	30	31	29	0.64706	1.5315	0.35765	1.4914	Noun	1	33	1	Noun	33	2.8233	high	2	1	1855.78	33.33	4	9	
3287	23595	18402	disable	79	59	63	53	1.549	1.9031	0.70339	1.7782	Verb	2	79	1	Verb	79	3.1949	high	2	3	463.9	55.33	7	0	
2340	15430	51442	putsch	6	3	6	3	0.11765	0.8451	0.035765	0.60206	Noun	1	6	1	Noun	6	2.1369	low	1	1	331.04	26.6	6	0	
3334	23949	21139	embarrass	450	378	440	375	8.8235	2.6542	4.5064	2.5786	Verb	2	450	1	Verb	450	3.946	high	2	3	164.52	42	9	0	
3771	28564	61055	spake	13	12	11	10	0.2549	1.1461	0.14306	1.1139	Verb	2	13	1	Verb	13	2.438	low	1	1	445.41	26.25	5	9	
1113	6979	23715	fave	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	1	6	1	Noun	6	2.1369	low	1	1	4486.13	17	4	15	
661	4229	14048	converter	11	10	9	8	0.21569	1.0792	0.11922	1.0414	Noun	1	11	1	Noun	11	2.371	low	1	3	907.87	120.25	9	1	
2135	14194	47362	perjurer	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	1	3	1	Noun	3	1.8939	low	1	3	834.42	83.86	8	1	
2790	18762	63910	superstore	22	3	3	1	0.43137	1.3617	0.035765	0.60206	Noun	1	22	1	Noun	22	2.6536	low	1	3	469.92	54.11	10	0	
843	5401	18026	dicier	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	1794.44	107.4	6	0	
1106	6927	23544	farce	89	68	88	67	1.7451	1.9542	0.81068	1.8388	Noun	1	89	1	Noun	89	3.2461	high	2	1	1221.18	35.75	5	1	
207	1008	3216	arrowroot	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	83.2	18.75	9	0	
3400	24784	26852	gawk	16	13	16	13	0.31373	1.2304	0.15498	1.1461	Verb	2	16	1	Verb	16	2.5223	low	1	1	257.94	12.33	4	1	
496	3226	10275	cell	2772	1459	2656	1430	54.3529	3.4429	17.3939	3.1644	Noun	1	2769	1	Noun	2769	4.7348	high	2	1	3165.54	24.67	4	10	
1292	8342	27995	gown	334	263	324	258	6.549	2.525	3.1354	2.4216	Noun	1	334	1	Noun	334	3.8169	high	2	1	1544.82	14.33	4	4	
1431	9536	31726	hymn	83	62	63	49	1.6275	1.9243	0.73915	1.7993	Noun	1	82	1	Noun	82	3.2161	high	2	1	18.27	1.33	4	0	
2668	17669	59800	sleeve	286	241	285	241	5.6078	2.4579	2.8732	2.3838	Noun	1	286	1	Noun	286	3.7497	high	2	1	251.98	27.6	6	0	
3599	26719	47232	percolate	8	7	7	6	0.15686	0.95424	0.083453	0.90309	Verb	2	8	1	Verb	8	2.2461	low	1	3	296.2	60.63	9	0	
