ITEM   , LEN_P , LEN_L ,   N   ,   PN   ,  AOA  ,  AOA2  ,  IMG  ,  IMG2  
aba,NA  ,3,1,NA,NA,NA,NA,NA
abatement,8,9,1,1,644,NA,189,NA
abdicates,NA,9,1,NA,NA,NA,NA,NA
abdomen,7,7,0,0,556,NA,548,NA
abductee,NA,8,1,NA,NA,NA,NA,NA
abductees,NA,9,0,NA,NA,NA,NA,NA
abduction,7,9,0,0,NA,NA,463,NA
abductions,NA,10,0,NA,NA,NA,NA,NA
abductors,NA,9,0,NA,NA,NA,NA,NA
abeyance,6,8,0,0,NA,NA,NA,NA
abortion,5,8,0,2,NA,NA,NA,NA
abortions,6,9,0,1,NA,NA,NA,NA
aboveboard,NA,10,0,NA,NA,NA,NA,NA
abrasion,NA,8,0,NA,NA,NA,NA,NA
abrasions,NA,9,0,NA,NA,NA,NA,NA
abruptness,9,10,0,0,NA,NA,NA,NA
absences,8,8,0,0,NA,NA,NA,NA
absentee,7,8,0,1,NA,NA,NA,NA
absentees,8,9,0,1,NA,NA,NA,NA
absolutes,NA,9,0,NA,NA,NA,NA,NA
absorber,NA,8,1,NA,NA,NA,NA,NA
absorbers,NA,9,0,NA,NA,NA,NA,NA
absorption,7,10,0,0,NA,NA,NA,NA
abstention,8,10,0,0,NA,NA,NA,NA
abstinence,9,10,0,0,NA,NA,NA,NA
absurdist,NA,9,0,NA,NA,NA,NA,NA
abundance,8,9,0,1,519,NA,386,NA
abuser,NA,6,2,NA,NA,NA,NA,NA
abusers,NA,7,0,NA,NA,NA,NA,NA
academe,NA,7,1,NA,NA,NA,NA,NA
acceptance,9,10,0,0,NA,NA,NA,NA
accession,6,9,0,1,NA,NA,NA,NA
accident,8,8,0,1,329,NA,518,NA
accidents,9,9,0,1,NA,NA,NA,NA
accolade,6,8,0,0,NA,NA,NA,NA
accolades,NA,9,0,NA,NA,NA,NA,NA
accompli,NA,8,0,NA,NA,NA,NA,NA
accomplice,8,10,0,1,NA,NA,391,NA
accountant,8,10,0,0,NA,526,NA,604
accrual,NA,7,0,NA,NA,NA,NA,NA
accuser,7,7,2,1,511,NA,343,NA
accusers,7,8,0,2,NA,NA,NA,NA
acetate,6,7,0,1,NA,NA,NA,NA
achievers,NA,9,0,NA,NA,NA,NA,NA
acolyte,6,7,0,1,NA,NA,NA,NA
acolytes,7,8,0,1,NA,NA,NA,NA
acoustics,8,9,0,1,NA,NA,NA,NA
acquittal,6,9,0,0,NA,NA,NA,NA
acquittals,NA,10,0,NA,NA,NA,NA,NA
acreage,6,7,0,0,NA,NA,NA,NA
acronym,7,7,0,0,NA,NA,NA,NA
acronyms,NA,8,0,NA,NA,NA,NA,NA
acrylics,NA,8,0,NA,NA,NA,NA,NA
activist,8,8,1,1,NA,NA,NA,NA
activists,9,9,0,1,NA,NA,NA,NA
actresses,8,9,0,0,NA,NA,NA,NA
acumen,7,6,0,0,NA,NA,229,NA
acuteness,NA,9,0,NA,NA,NA,NA,NA
adapter,NA,7,1,NA,NA,NA,NA,NA
adaptor,NA,7,0,NA,NA,NA,NA,NA
adaptors,NA,8,0,NA,NA,NA,NA,NA
addendum,7,8,0,0,NA,NA,NA,NA
addendums,NA,9,0,NA,NA,NA,NA,NA
addiction,6,9,0,1,NA,NA,NA,NA
additions,6,9,1,4,NA,NA,NA,NA
additives,7,9,0,1,NA,NA,NA,NA
addressee,6,9,2,0,NA,NA,NA,NA
adenoids,7,8,0,0,NA,NA,NA,NA
adherence,8,9,0,1,603,NA,326,NA
adherent,NA,8,0,NA,NA,NA,NA,NA
adherents,9,9,0,1,NA,NA,NA,NA
adhesion,NA,8,0,NA,NA,NA,NA,NA
adhesives,NA,9,0,NA,NA,NA,NA,NA
adjective,7,9,0,1,NA,NA,394,NA
adjectives,8,10,0,2,NA,NA,NA,NA
adjuster,NA,8,1,NA,NA,NA,NA,NA
adjusters,NA,9,0,NA,NA,NA,NA,NA
adjustment,9,10,0,0,NA,NA,NA,NA
adjutant,7,8,0,0,NA,NA,NA,NA
admirals,8,8,0,1,NA,NA,NA,NA
admirer,8,7,2,1,NA,NA,NA,NA
admirers,8,8,0,1,NA,NA,NA,NA
admission,6,9,0,2,458,NA,389,NA
admittance,8,10,0,0,NA,NA,NA,NA
adobe,5,5,1,0,NA,NA,NA,NA
adopter,NA,7,1,NA,NA,NA,NA,NA
adoption,6,8,0,1,NA,NA,NA,NA
adoptions,7,9,0,1,NA,NA,NA,NA
adornment,8,9,0,1,NA,NA,NA,NA
ads,3,3,4,9,NA,NA,NA,NA
adulthood,8,9,0,0,NA,NA,NA,NA
adventists,NA,10,0,NA,NA,NA,NA,NA
adventures,8,10,1,1,NA,NA,NA,NA
advisement,NA,10,0,NA,NA,NA,NA,NA
adviser,7,7,2,1,NA,NA,NA,NA
advisers,7,8,1,2,NA,NA,NA,NA
advisors,NA,8,2,NA,NA,NA,NA,NA
advocates,8,9,1,1,NA,NA,NA,NA
aerials,5,7,1,2,NA,NA,NA,NA
aerodromes,NA,10,0,NA,NA,NA,NA,NA
aerosol,6,7,0,1,NA,NA,NA,NA
aerosols,7,8,0,1,NA,NA,NA,NA
aerospace,7,9,0,0,NA,NA,NA,NA
aesthetics,8,10,0,1,NA,NA,NA,NA
affection,6,9,0,2,467,NA,484,NA
affections,7,10,0,1,NA,NA,NA,NA
affiant,NA,7,0,NA,NA,NA,NA,NA
affliction,7,10,0,0,NA,566,NA,453
affluence,6,9,0,0,NA,NA,NA,NA
afghani,NA,7,0,NA,NA,NA,NA,NA
afghanis,NA,8,0,NA,NA,NA,NA,NA
africans,NA,8,0,NA,NA,NA,NA,NA
afrikaans,NA,9,0,NA,NA,NA,NA,NA
afterlife,7,9,0,0,NA,NA,NA,NA
