,X,Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,cmu_sylls
1,7,aahs,5,4,5,4,0.098039216,0.77815125,0.047687172,0.698970004,Noun,5,1,Noun,5,2.069985393,NA
2,13,aarrghh,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
3,16,aba,4,4,1,1,0.078431373,0.698970004,0.047687172,0.698970004,Noun,2,1,Noun,2,1.990804146,3
4,17,abaca,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
5,20,abacuses,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
6,24,abalones,6,2,1,1,0.117647059,0.84509804,0.023843586,0.477121255,Noun,6,1,Noun,6,2.136932182,4
7,27,abandoner,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
8,32,abastard,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
9,35,abatement,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
10,38,abattoir,7,5,4,4,0.137254902,0.903089987,0.059608965,0.77815125,Noun,7,1,Noun,7,2.194924129,NA
11,45,abbesses,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
12,55,abd,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
13,58,abdicates,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
14,60,abdication,6,6,5,5,0.117647059,0.84509804,0.071530758,0.84509804,Noun,6,1,Noun,6,2.136932182,4
15,61,abdomen,171,122,152,116,3.352941176,2.235528447,1.454458751,2.089905111,Noun,171,1,Noun,171,3.527362589,3
16,62,abdomens,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,NA
17,64,abdominals,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,NA
18,67,abductee,20,11,20,11,0.392156863,1.322219295,0.131139723,1.079181246,Noun,20,1,Noun,20,2.614053437,3
19,68,abductees,18,13,15,11,0.352941176,1.278753601,0.154983309,1.146128036,Noun,18,1,Noun,18,2.570587743,3
20,70,abduction,185,111,179,109,3.62745098,2.269512944,1.323319027,2.049218023,Noun,185,1,Noun,185,3.561347086,3
21,71,abductions,42,22,42,22,0.823529412,1.633468456,0.262279447,1.361727836,Noun,41,1,Noun,41,2.925302598,3
22,73,abductors,11,8,11,8,0.215686275,1.079181246,0.095374344,0.954242509,Noun,11,1,Noun,11,2.371015388,3
23,78,abele,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,2
24,83,aberration,28,26,28,26,0.549019608,1.462397998,0.309966619,1.431363764,Noun,28,1,Noun,28,2.75423214,4
25,88,abettor,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
26,89,abeyance,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
27,96,abiders,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
28,101,abilities,312,209,306,208,6.117647059,2.495544338,2.491654745,2.322219295,Noun,308,1,Noun,308,3.78737848,4
29,102,ability,980,679,974,673,19.21568627,2.991669007,8.094897473,2.832508913,Noun,975,1,Noun,975,4.28350315,4
30,103,abiogenist,3,1,0,0,0.058823529,0.602059991,0.011921793,0.301029996,Noun,3,1,Noun,3,1.893894133,NA
31,104,abit,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
32,110,ablation,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
33,116,ablution,3,2,2,1,0.058823529,0.602059991,0.023843586,0.477121255,Noun,3,1,Noun,3,1.893894133,NA
34,117,ablutions,4,3,4,3,0.078431373,0.698970004,0.035765379,0.602059991,Noun,4,1,Noun,4,1.990804146,NA
35,124,abnormity,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
36,125,abo,6,6,5,5,0.117647059,0.84509804,0.071530758,0.84509804,Noun,6,1,Noun,6,2.136932182,2
37,127,abode,33,31,33,31,0.647058824,1.531478917,0.369575584,1.505149978,Noun,33,1,Noun,33,2.823313059,2
38,128,abogado,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,NA
39,133,abolition,10,8,10,8,0.196078431,1.041392685,0.095374344,0.954242509,Noun,10,1,Noun,10,2.333226827,4
40,137,abomasum,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
41,152,abortion,369,155,354,149,7.235294118,2.568201724,1.847877921,2.193124598,Noun,370,1,Noun,370,3.860035866,3
42,155,abortions,35,28,34,27,0.68627451,1.556302501,0.333810205,1.462397998,Noun,35,1,Noun,35,2.848136643,3
43,166,aboveboard,14,13,14,13,0.274509804,1.176091259,0.154983309,1.146128036,Noun,14,1,Noun,14,2.467925401,3
44,174,abrasion,18,15,15,13,0.352941176,1.278753601,0.178826896,1.204119983,Noun,18,1,Noun,18,2.570587743,3
45,175,abrasions,56,50,52,47,1.098039216,1.755874856,0.596089652,1.707570176,Noun,56,1,Noun,56,3.047708998,3
46,180,abreaction,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
47,182,abridge,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,2
48,191,abruption,6,5,5,5,0.117647059,0.84509804,0.059608965,0.77815125,Noun,6,1,Noun,6,2.136932182,NA
49,193,abruptness,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
50,196,abscess,25,21,23,20,0.490196078,1.414973348,0.250357654,1.342422681,Noun,25,1,Noun,25,2.70680749,2
51,198,abscesses,7,6,6,5,0.137254902,0.903089987,0.071530758,0.84509804,Noun,7,1,Noun,7,2.194924129,NA
52,201,absconder,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
53,205,absence,322,285,314,281,6.31372549,2.509202522,3.397711016,2.456366033,Noun,321,1,Noun,321,3.801036664,2
54,206,absences,14,12,14,12,0.274509804,1.176091259,0.143061516,1.113943352,Noun,14,1,Noun,14,2.467925401,3
55,208,absentee,18,18,18,18,0.352941176,1.278753601,0.214592275,1.278753601,Noun,18,1,Noun,18,2.570587743,3
56,210,absentees,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
57,216,absinthes,3,1,3,1,0.058823529,0.602059991,0.011921793,0.301029996,Noun,3,1,Noun,3,1.893894133,NA
58,217,absinthium,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
59,222,absolutes,21,16,20,15,0.411764706,1.342422681,0.190748689,1.230448921,Noun,22,1,Noun,22,2.634256823,3
60,223,absolution,48,43,47,43,0.941176471,1.69019608,0.512637101,1.643452676,Noun,48,1,Noun,48,2.982030222,4
61,227,absolver,4,1,0,0,0.078431373,0.698970004,0.011921793,0.301029996,Noun,4,1,Noun,4,1.990804146,NA
62,233,absorber,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
63,234,absorbers,8,6,8,6,0.156862745,0.954242509,0.071530758,0.84509804,Noun,8,1,Noun,8,2.246076652,3
64,237,absorbtion,3,1,1,1,0.058823529,0.602059991,0.011921793,0.301029996,Noun,3,1,Noun,3,1.893894133,NA
65,238,absorption,18,17,16,15,0.352941176,1.278753601,0.202670482,1.255272505,Noun,18,1,Noun,18,2.570587743,3
66,242,abstainers,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
67,245,abstention,6,5,6,5,0.117647059,0.84509804,0.059608965,0.77815125,Noun,6,1,Noun,6,2.136932182,3
68,247,abstinence,45,28,34,25,0.882352941,1.662757832,0.333810205,1.462397998,Noun,45,1,Noun,45,2.954591974,3
69,256,abstracts,7,7,5,5,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,2
70,259,absurdist,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
71,261,absurdity,32,31,32,31,0.62745098,1.51851394,0.369575584,1.505149978,Noun,32,1,Noun,32,2.810348082,4
72,265,abulia,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
73,266,abundance,45,41,45,41,0.882352941,1.662757832,0.488793515,1.62324929,Noun,45,1,Noun,45,2.954591974,3
74,271,abuser,16,16,16,16,0.31372549,1.230448921,0.190748689,1.230448921,Noun,16,1,Noun,16,2.522283064,3
75,272,abusers,11,10,11,10,0.215686275,1.079181246,0.11921793,1.041392685,Noun,11,1,Noun,11,2.371015388,3
76,278,abutment,6,5,6,5,0.117647059,0.84509804,0.059608965,0.77815125,Noun,6,1,Noun,6,2.136932182,NA
77,279,abutments,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
78,282,abuzz,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,1,1,Noun,1,1.768955397,2
79,285,abyss,90,67,77,62,1.764705882,1.959041392,0.798760134,1.832508913,Noun,91,1,Noun,91,3.250875534,2
80,286,abyssal,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
81,287,abysses,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,NA
82,290,abyssus,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,NA
83,293,academe,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
84,294,academes,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
85,295,academia,12,12,10,10,0.235294118,1.113943352,0.143061516,1.113943352,Noun,12,1,Noun,12,2.405777494,5
86,299,academics,35,31,33,30,0.68627451,1.556302501,0.369575584,1.505149978,Noun,34,1,Noun,34,2.848136643,4
87,300,academies,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,4
88,301,academy,633,345,284,156,12.41176471,2.802089258,4.113018598,2.539076099,Noun,633,1,Noun,633,4.0939234,4
