num,X,Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,cmu_sylls
3,16,aba,4,4,1,1,0.078431373,0.698970004,0.047687172,0.698970004,Noun,2,1,Noun,2,1.990804146,3
9,35,abatement,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
13,58,abdicates,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
15,61,abdomen,171,122,152,116,3.352941176,2.235528447,1.454458751,2.089905111,Noun,171,1,Noun,171,3.527362589,3
18,67,abductee,20,11,20,11,0.392156863,1.322219295,0.131139723,1.079181246,Noun,20,1,Noun,20,2.614053437,3
19,68,abductees,18,13,15,11,0.352941176,1.278753601,0.154983309,1.146128036,Noun,18,1,Noun,18,2.570587743,3
20,70,abduction,185,111,179,109,3.62745098,2.269512944,1.323319027,2.049218023,Noun,185,1,Noun,185,3.561347086,3
21,71,abductions,42,22,42,22,0.823529412,1.633468456,0.262279447,1.361727836,Noun,41,1,Noun,41,2.925302598,3
22,73,abductors,11,8,11,8,0.215686275,1.079181246,0.095374344,0.954242509,Noun,11,1,Noun,11,2.371015388,3
26,89,abeyance,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
41,152,abortion,369,155,354,149,7.235294118,2.568201724,1.847877921,2.193124598,Noun,370,1,Noun,370,3.860035866,3
42,155,abortions,35,28,34,27,0.68627451,1.556302501,0.333810205,1.462397998,Noun,35,1,Noun,35,2.848136643,3
43,166,aboveboard,14,13,14,13,0.274509804,1.176091259,0.154983309,1.146128036,Noun,14,1,Noun,14,2.467925401,3
44,174,abrasion,18,15,15,13,0.352941176,1.278753601,0.178826896,1.204119983,Noun,18,1,Noun,18,2.570587743,3
45,175,abrasions,56,50,52,47,1.098039216,1.755874856,0.596089652,1.707570176,Noun,56,1,Noun,56,3.047708998,3
49,193,abruptness,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
54,206,absences,14,12,14,12,0.274509804,1.176091259,0.143061516,1.113943352,Noun,14,1,Noun,14,2.467925401,3
55,208,absentee,18,18,18,18,0.352941176,1.278753601,0.214592275,1.278753601,Noun,18,1,Noun,18,2.570587743,3
56,210,absentees,4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,3
59,222,absolutes,21,16,20,15,0.411764706,1.342422681,0.190748689,1.230448921,Noun,22,1,Noun,22,2.634256823,3
62,233,absorber,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
63,234,absorbers,8,6,8,6,0.156862745,0.954242509,0.071530758,0.84509804,Noun,8,1,Noun,8,2.246076652,3
65,238,absorption,18,17,16,15,0.352941176,1.278753601,0.202670482,1.255272505,Noun,18,1,Noun,18,2.570587743,3
67,245,abstention,6,5,6,5,0.117647059,0.84509804,0.059608965,0.77815125,Noun,6,1,Noun,6,2.136932182,3
68,247,abstinence,45,28,34,25,0.882352941,1.662757832,0.333810205,1.462397998,Noun,45,1,Noun,45,2.954591974,3
70,259,absurdist,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
73,266,abundance,45,41,45,41,0.882352941,1.662757832,0.488793515,1.62324929,Noun,45,1,Noun,45,2.954591974,3
74,271,abuser,16,16,16,16,0.31372549,1.230448921,0.190748689,1.230448921,Noun,16,1,Noun,16,2.522283064,3
75,272,abusers,11,10,11,10,0.215686275,1.079181246,0.11921793,1.041392685,Noun,11,1,Noun,11,2.371015388,3
83,293,academe,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
92,327,acceptance,161,140,150,134,3.156862745,2.209515015,1.669051025,2.149219113,Noun,162,1,Noun,162,3.501349157,3
94,339,accession,6,3,6,3,0.117647059,0.84509804,0.035765379,0.602059991,Noun,6,1,Noun,6,2.136932182,3
95,346,accident,4146,2180,4061,2166,81.29411765,3.617734035,25.98950882,3.338655666,Noun,4138,1,Noun,4138,4.909568178,3
96,351,accidents,340,281,289,244,6.666666667,2.532754379,3.350023844,2.450249108,Noun,340,1,Noun,340,3.824588521,3
97,363,accolade,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
98,364,accolades,9,9,9,9,0.176470588,1,0.107296137,1,Noun,9,1,Noun,9,2.291834142,3
99,381,accompli,8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,Noun,8,1,Noun,8,2.246076652,3
100,382,accomplice,216,147,210,145,4.235294118,2.336459734,1.752503577,2.170261715,Noun,216,1,Noun,216,3.628293876,3
103,407,accountant,315,191,303,185,6.176470588,2.499687083,2.27706247,2.283301229,Noun,315,1,Noun,315,3.791521225,3
105,422,accrual,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,3
108,444,accuser,15,12,15,12,0.294117647,1.204119983,0.143061516,1.113943352,Noun,15,1,Noun,15,2.495954125,3
109,445,accusers,8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,Noun,8,1,Noun,8,2.246076652,3
112,457,acetate,6,5,5,4,0.117647059,0.84509804,0.059608965,0.77815125,Noun,6,1,Noun,6,2.136932182,3
