ITEM   	  CELEX  	 BF_TK 	 BF_TP 	 LEN_L 	   N   	
aba	   0.00	   0.00	   0.00	   3	   1	
abatement	   0.73	 622.57	  59.88	   9	   1	
abdicates	   0.00	 647.23	 110.38	   9	   1	
abdomen	   6.15	 336.15	  26.83	   7	   0	
abductee	   0.00	 359.33	  47.86	   8	   1	
abductees	   0.00	 418.59	  63.75	   9	   0	
abduction	   0.56	 897.06	  93.38	   9	   0	
abeyance	   0.95	 374.36	  28.29	   8	   0	
abortion	  16.20	 873.52	  80.00	   8	   0	
aboveboard	   0.00	  83.76	  17.33	  10	   0	
abrasion	   0.00	 650.82	  56.00	   8	   0	
abruptness	   0.73	  90.32	  35.00	  10	   0	
absentee	   1.34	 495.28	  72.00	   8	   0	
absorber	   1.45	 502.53	  47.57	   8	   1	
absorption	   4.02	 862.97	 107.78	  10	   0	
abstention	   0.78	 917.10	 127.22	  10	   0	
abstinence	   2.12	 453.89	  56.33	  10	   0	
absurdist	   0.00	 263.35	  40.88	   9	   0	
abundance	   6.54	 285.81	  40.75	   9	   0	
abuser	   0.00	1725.23	 108.20	   6	   2	
academe	   0.00	 285.40	  26.00	   7	   1	
acceptance	  22.74	 367.33	  42.22	  10	   0	
accession	   1.06	 743.15	  71.75	   9	   0	
accident	  49.55	 507.54	  46.86	   8	   0	
accolade	   1.28	 293.34	  32.00	   8	   0	
accompli	   0.00	 211.69	  15.00	   8	   0	
accomplice	   2.07	 238.23	  37.44	  10	   0	
accountant	   5.47	 358.80	  38.89	  10	   0	
accrual	   0.00	 435.33	  26.67	   7	   0	
accuser	   0.78	 891.81	  80.50	   7	   2	
acetate	   0.73	 424.10	  36.17	   7	   0	
acolyte	   0.61	 188.16	  24.17	   7	   0	
acquittal	   1.06	 303.16	  30.38	   9	   0	
acreage	   1.73	 591.91	  41.50	   7	   0	
acronym	   0.39	 266.24	  18.50	   7	   0	
activist	   4.75	 446.39	  48.00	   8	   1	
acumen	   0.89	 604.98	  39.80	   6	   0	
acuteness	   0.00	 297.97	  79.88	   9	   0	
adapter	   0.00	1135.03	 105.00	   7	   1	
adaptor	   0.00	 158.05	  18.67	   7	   0	
addendum	   0.45	 233.25	  33.57	   8	   0	
addiction	   3.07	 952.01	 103.25	   9	   0	
addressee	   0.34	 391.49	  45.63	   9	   2	
adherence	   2.46	 460.55	  64.00	   9	   0	
adherent	   0.00	 609.37	  64.00	   8	   0	
adhesion	   0.00	 608.67	  54.29	   8	   0	
adjective	   2.01	 621.75	  74.63	   9	   0	
adjuster	   0.00	 715.23	  77.86	   8	   1	
adjustment	   8.38	 569.68	  43.33	  10	   0	
adjutant	   1.17	 343.77	  41.14	   8	   0	
admirer	   3.30	 905.00	  81.83	   7	   2	
admission	  14.75	 675.14	  71.00	   9	   0	
admittance	   0.73	 359.23	  45.78	  10	   0	
adobe	   0.78	 132.25	   8.00	   5	   1	
adopter	   0.00	1146.50	 104.83	   7	   1	
adoption	   9.55	 887.22	  78.57	   8	   0	
