ITEM   	 BF_TK 	 BF_TP 	 SLBF  	 MLBF  	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
abatement	 622.57	  59.88	  20.20	   2.52	   9	   1	   1	 644	-1	 189	-1	
abattoir	 109.76	  24.71	  11.08	   1.58	   8	   0	   1	-1	-1	-1	-1	
abdomen	 336.15	  26.83	  12.45	   2.08	   7	   0	   0	 556	-1	 548	-1	
abduction	 897.06	  93.38	  19.62	   2.45	   9	   0	   0	-1	-1	 463	-1	
abeyance	 374.36	  28.29	  12.37	   1.77	   8	   0	   0	-1	-1	-1	-1	
ablutions	 490.48	  50.88	  18.81	   2.35	   9	   0	   0	-1	-1	-1	-1	
abortion	 873.52	  80.00	  17.94	   2.56	   8	   0	   2	-1	-1	-1	-1	
abortions	 487.42	  55.88	  18.93	   2.37	   9	   0	   1	-1	-1	-1	-1	
abruptness	  90.32	  35.00	  14.83	   1.65	  10	   0	   0	-1	-1	-1	-1	
abscesses	 603.45	  86.75	  20.65	   2.58	   9	   0	   0	-1	-1	-1	-1	
absences	 612.71	 103.00	  18.21	   2.60	   8	   0	   0	-1	-1	-1	-1	
absentee	 495.28	  72.00	  17.13	   2.45	   8	   0	   1	-1	-1	-1	-1	
absentees	 542.44	  78.25	  19.60	   2.45	   9	   0	   1	-1	-1	-1	-1	
absorption	 862.97	 107.78	  22.50	   2.50	  10	   0	   0	-1	-1	-1	-1	
abstention	 917.10	 127.22	  23.81	   2.65	  10	   0	   0	-1	-1	-1	-1	
abstinence	 453.89	  56.33	  22.33	   2.48	  10	   0	   0	-1	-1	-1	-1	
abundance	 285.81	  40.75	  17.70	   2.21	   9	   0	   1	 519	-1	 386	-1	
abysses	 739.96	 103.50	  12.87	   2.15	   7	   0	   0	-1	-1	-1	-1	
acceptance	 367.33	  42.22	  21.72	   2.41	  10	   0	   0	-1	-1	-1	-1	
accession	 743.15	  71.75	  21.73	   2.72	   9	   0	   1	-1	-1	-1	-1	
accident	 507.54	  46.86	  18.28	   2.61	   8	   0	   1	 329	-1	 518	-1	
accidents	 318.02	  45.75	  19.19	   2.40	   9	   0	   1	-1	-1	-1	-1	
accolade	 293.34	  32.00	  16.51	   2.36	   8	   0	   0	-1	-1	-1	-1	
accomplice	 238.23	  37.44	  19.57	   2.17	  10	   0	   1	-1	-1	 391	-1	
accordion	 734.85	  65.13	  21.55	   2.69	   9	   0	   0	-1	-1	 576	-1	
accountant	 358.80	  38.89	  21.53	   2.39	  10	   0	   0	-1	 526	-1	 604	
accuser	 891.81	  80.50	  15.45	   2.58	   7	   2	   1	 511	-1	 343	-1	
accusers	 536.27	  75.14	  18.74	   2.68	   8	   0	   2	-1	-1	-1	-1	
acetate	 424.10	  36.17	  14.68	   2.45	   7	   0	   1	-1	-1	-1	-1	
acolyte	 188.16	  24.17	  10.39	   1.73	   7	   0	   1	-1	-1	-1	-1	
acolytes	 697.79	 109.29	  16.34	   2.33	   8	   0	   1	-1	-1	-1	-1	
acoustics	 443.81	  66.25	  18.22	   2.28	   9	   0	   1	-1	-1	-1	-1	
acquittal	 303.16	  30.38	  16.51	   2.06	   9	   0	   0	-1	-1	-1	-1	
acreage	 591.91	  41.50	  15.83	   2.64	   7	   0	   0	-1	-1	-1	-1	
acronym	 266.24	  18.50	   9.86	   1.64	   7	   0	   0	-1	-1	-1	-1	
activist	 446.39	  48.00	  17.99	   2.57	   8	   1	   1	-1	-1	-1	-1	
activists	 199.91	  34.25	  17.13	   2.14	   9	   0	   1	-1	-1	-1	-1	
actresses	 661.85	  91.50	  20.72	   2.59	   9	   0	   0	-1	-1	-1	-1	
acumen	 604.98	  39.80	  11.13	   2.23	   6	   0	   0	-1	-1	 229	-1	
addendum	 233.25	  33.57	  12.98	   1.85	   8	   0	   0	-1	-1	-1	-1	
addiction	 952.01	 103.25	  21.39	   2.67	   9	   0	   1	-1	-1	-1	-1	
additions	 564.09	  60.88	  20.57	   2.57	   9	   1	   4	-1	-1	-1	-1	
additives	 584.39	  73.50	  19.42	   2.43	   9	   0	   1	-1	-1	-1	-1	
addressee	 391.49	  45.63	  18.91	   2.36	   9	   2	   0	-1	-1	-1	-1	
adenoids	 172.10	  23.00	  14.60	   2.09	   8	   0	   0	-1	-1	-1	-1	
adherence	 460.55	  64.00	  19.05	   2.38	   9	   0	   1	 603	-1	 326	-1	
adherents	 422.49	  65.75	  18.77	   2.35	   9	   0	   1	-1	-1	-1	-1	
adjective	 621.75	  74.63	  19.68	   2.46	   9	   0	   1	-1	-1	 394	-1	
adjectives	 371.05	  61.44	  19.95	   2.22	  10	   0	   2	-1	-1	-1	-1	
adjustment	 569.68	  43.33	  21.38	   2.38	  10	   0	   0	-1	-1	-1	-1	
adjutant	 343.77	  41.14	  15.51	   2.22	   8	   0	   0	-1	-1	-1	-1	
admirals	 261.54	  37.57	  16.27	   2.32	   8	   0	   1	-1	-1	-1	-1	
admission	 675.14	  71.00	  20.39	   2.55	   9	   0	   2	 458	-1	 389	-1	
admittance	 359.23	  45.78	  20.80	   2.31	  10	   0	   0	-1	-1	-1	-1	
admixture	 205.83	  21.88	  13.23	   1.65	   9	   0	   0	-1	-1	-1	-1	
adobe	 132.25	   8.00	   7.62	   1.91	   5	   1	   0	-1	-1	-1	-1	
adoption	 887.22	  78.57	  17.90	   2.56	   8	   0	   1	-1	-1	-1	-1	
adoptions	 483.33	  51.63	  17.61	   2.20	   9	   0	   1	-1	-1	-1	-1	
adornment	 525.60	  45.00	  15.88	   1.98	   9	   0	   1	-1	-1	-1	-1	
adornments	 229.88	  41.78	  17.07	   1.90	  10	   0	   1	-1	-1	-1	-1	
adroitness	 129.74	  40.44	  15.07	   1.67	  10	   0	   0	-1	-1	-1	-1	
ads	  47.06	   2.50	   2.50	   1.25	   3	   4	   9	-1	-1	-1	-1	
adulthood	 227.46	  18.75	  16.95	   2.12	   9	   0	   0	-1	-1	-1	-1	
adventures	 396.84	  64.33	  21.31	   2.37	  10	   1	   1	-1	-1	-1	-1	
adviser	 901.52	  83.00	  15.54	   2.59	   7	   2	   1	-1	-1	-1	-1	
advisers	 462.31	  83.71	  17.82	   2.55	   8	   1	   2	-1	-1	-1	-1	
advocates	 642.41	 105.50	  20.04	   2.51	   9	   1	   1	-1	-1	-1	-1	
aeroplane	 230.41	  38.25	  16.08	   2.01	   9	   0	   1	-1	 229	-1	-1	
aeroplanes	 321.80	  66.56	  18.16	   2.02	  10	   0	   1	-1	-1	-1	-1	
aerosol	 543.79	  25.83	  12.79	   2.13	   7	   0	   1	-1	-1	-1	-1	
aerosols	 190.38	  35.00	  13.00	   1.86	   8	   0	   1	-1	-1	-1	-1	
aerospace	 206.00	  30.88	  15.14	   1.89	   9	   0	   0	-1	-1	-1	-1	
aesthetics	 388.14	  73.33	  17.92	   1.99	  10	   0	   1	-1	-1	-1	-1	
affection	1003.10	 100.75	  22.48	   2.81	   9	   0	   2	 467	-1	 484	-1	
affections	 296.25	  54.11	  20.79	   2.31	  10	   0	   1	-1	-1	-1	-1	
affliction	 946.40	 119.67	  23.33	   2.59	  10	   0	   0	-1	 566	-1	 453	
afterbirth	 269.12	  29.89	  15.59	   1.73	  10	   0	   0	-1	-1	-1	-1	
afterlife	 381.68	  59.25	  16.84	   2.11	   9	   0	   0	-1	-1	-1	-1	
aftermath	 374.24	  55.38	  18.37	   2.30	   9	   0	   0	-1	-1	-1	-1	
afternoon	 612.51	  63.38	  20.51	   2.56	   9	   0	   0	 281	-1	 513	-1	
afternoons	 406.32	  47.56	  19.86	   2.21	  10	   0	   0	-1	-1	-1	-1	
agencies	 524.41	  99.57	  16.23	   2.32	   8	   0	   1	-1	-1	-1	-1	
