ITEM   	 LEN_S 	
aahs	   -  	
aarrghh	   -  	
aba	   -  	
abaca	   -  	
abacuses	   -  	
abalones	   -  	
abandoner	   -  	
abastard	   -  	
abatement	   3	
abattoir	   3	
abbesses	   -  	
abd	   -  	
abdicates	   -  	
abdication	   4	
abdomen	   3	
abdomens	   -  	
abdominals	   -  	
abductee	   -  	
abductees	   -  	
abduction	   3	
abductions	   -  	
abductors	   -  	
abele	   -  	
aberration	   4	
abettor	   -  	
abeyance	   3	
abiders	   -  	
abilities	   4	
ability	   4	
abiogenist	   -  	
abit	   -  	
ablation	   -  	
ablution	   -  	
ablutions	   3	
abnormity	   -  	
abo	   -  	
abode	   2	
abogado	   -  	
abolition	   4	
abomasum	   -  	
abortion	   3	
abortions	   3	
aboveboard	   -  	
abrasion	   -  	
abrasions	   -  	
abreaction	   -  	
abridge	   -  	
abruption	   -  	
abruptness	   3	
abscess	   2	
abscesses	   3	
absconder	   -  	
absence	   2	
absences	   3	
absentee	   3	
absentees	   3	
absinthes	   -  	
absinthium	   -  	
absolutes	   -  	
absolution	   4	
absolver	   -  	
absorber	   -  	
absorbers	   -  	
absorbtion	   -  	
absorption	   3	
abstainers	   -  	
abstention	   3	
abstinence	   3	
abstracts	   2	
absurdist	   -  	
absurdity	   4	
abulia	   -  	
abundance	   3	
abuser	   -  	
abusers	   -  	
abutment	   -  	
abutments	   -  	
abuzz	   -  	
abyss	   2	
abyssal	   -  	
abysses	   3	
abyssus	   -  	
academe	   -  	
academes	   -  	
academia	   -  	
academics	   4	
academies	   4	
academy	   4	
accademia	   -  	
accelerant	   -  	
accents	   2	
acceptance	   3	
acceptant	   -  	
accession	   3	
accident	   3	
accidents	   3	
accolade	   3	
accolades	   -  	
accompli	   -  	
accomplice	   3	
accordion	   3	
accordions	   -  	
accountant	   3	
accoutre	   -  	
accrual	   -  	
accuracy	   4	
accusation	   4	
accuser	   3	
accusers	   3	
aces	   2	
acetabulum	   -  	
acetate	   3	
acetates	   -  	
acetyl	   -  	
acetylene	   -  	
achar	   -  	
achievers	   -  	
achiness	   -  	
achoo	   -  	
acidemia	   -  	
acidity	   4	
acids	   2	
ackee	   -  	
acne	   2	
acnes	   -  	
acolyte	   3	
acolytes	   3	
aconitum	   -  	
acorn	   2	
acorns	   2	
acoustics	   3	
acquirer	   -  	
acquittal	   3	
acquittals	   -  	
acre	   2	
acreage	   3	
acres	   2	
acrimony	   4	
acrobatics	   4	
acromion	   -  	
acronym	   3	
acronyms	   -  	
acrophobia	   -  	
acrylics	   -  	
actg	   -  	
actings	   -  	
actioner	   -  	
activation	   4	
activator	   -  	
actives	   -  	
activism	   -  	
activist	   3	
activists	   3	
activity	   4	
actors	   2	
actress	   2	
actresses	   3	
actu	   -  	
actuality	   5	
actuals	   -  	
actuaries	   -  	
actuary	   -  	
actuation	   -  	
actuator	   -  	
actuators	   -  	
acuity	   4	
acumen	   3	
acuteness	   -  	
acyclovir	   -  	
adages	   -  	
adamas	   -  	
adance	   -  	
adaptation	   4	
adapter	   -  	
adaption	   -  	
adaptor	   -  	
adaptors	   -  	
addenda	   -  	
addendum	   3	
addendums	   -  	
addict	   2	
addiction	   3	
addicts	   2	
addio	   -  	
additions	   3	
additives	   3	
addr	   -  	
addressee	   3	
adductor	   -  	
adelante	   -  	
adenoids	   3	
adenoma	   -  	
adenopathy	   -  	
adeptness	   -  	
adepts	   -  	
adequacy	   4	
adherence	   3	
adherent	   -  	
adherents	   3	
adhesion	   -  	
adhesions	   -  	
adhesives	   -  	
adieus	   -  	
adiposity	   -  	
adjective	   3	
adjectives	   3	
adjunct	   2	
adjuster	   -  	
adjusters	   -  	
adjustment	   3	
adjustor	   -  	
adjutant	   3	
adjutants	   -  	
admirals	   3	
admiralty	   4	
admiration	   4	
admirer	   4	
admirers	   4	
admission	   3	
admittance	   3	
admittee	   -  	
admixture	   3	
admonition	   4	
adnexa	   -  	
ado	   2	
adobe	   3	
adopter	   -  	
adoption	   3	
adoptions	   3	
adoration	   4	
adorers	   -  	
adornment	   3	
adornments	   3	
adrenals	   -  	
adroitness	   3	
adrop	   -  	
ads	   1	
adulation	   4	
adulterant	   -  	
adulterers	   -  	
adultery	   4	
adulthood	   3	
adults	   2	
adv	   -  	
advantages	   4	
advent	   2	
adventists	   -  	
adventurer	   4	
adventures	   3	
adverb	   2	
adverbs	   -  	
adversary	   4	
adversity	   4	
advert	   2	
advertiser	   4	
adverts	   2	
advice	   2	
advices	   -  	
advisee	   -  	
advisees	   -  	
advisement	   -  	
adviser	   3	
advisers	   3	
advisors	   -  	
advocacy	   4	
advocates	   3	
aeon	   -  	
aeons	   2	
aeration	   -  	
aerialist	   -  	
aerials	   2	
aerie	   -  	
aeries	   -  	
aerobatics	   -  	
aerodromes	   -  	
aerofoils	   -  	
aeroplane	   3	
aeroplanes	   3	
aerosol	   3	
aerosols	   3	
aerospace	   3	
aesir	   -  	
aesthete	   -  	
aesthetes	   2	
aesthetics	   3	
afeard	   -  	
affa	   -  	
affability	   5	
affair	   2	
affaire	   -  	
affaires	   -  	
affection	   3	
affections	   3	
affiant	   -  	
affiche	   -  	
affidavit	   4	
affidavits	   -  	
affiliate	   4	
affiliates	   4	
affinity	   4	
afflatus	   -  	
affliction	   3	
affluence	   2	
affright	   -  	
affront	   2	
afghani	   -  	
afghanis	   -  	
afghans	   -  	
aficionado	   5	
afikomen	   -  	
afoul	   -  	
africans	   -  	
afrikaans	   -  	
afros	   -  	
afterbirth	   3	
aftercare	   -  	
afterdeck	   -  	
afterimage	   -  	
afterlife	   3	
aftermast	   -  	
aftermath	   3	
aftermaths	   -  	
afternight	   -  	
afternoon	   3	
afternoons	   3	
afters	   -  	
aftertaste	   -  	
afterwords	   -  	
afterwork	   -  	
afterworld	   -  	
agarose	   -  	
agate	   2	
agates	   -  	
ageism	   -  	
ageist	   -  	
agen	   -  	
agencies	   3	
agency	   3	
agendas	   3	
agents	   2	
ager	   -  	
ageratum	   -  	
agglutinin	   -  	
aggression	   3	
aggressor	   3	
aggressors	   3	
aggro	   -  	
agility	   4	
agin	   2	
agist	   -  	
agists	   -  	
agit	   -  	
agitation	   4	
agitato	   -  	
agitator	   4	
agitators	   4	
agitprop	   -  	
aglet	   -  	
agnates	   -  	
agnosia	   -  	
agonies	   3	
agonist	   -  	
agony	   3	
agora	   -  	
agoras	   -  	
agos	   -  	
agreement	   3	
agreements	   3	
agrement	   -  	
aguacate	   -  	
ague	   2	
agura	   -  	
agy	   -  	
ahold	   -  	
ahs	   -  	
ahu	   -  	
aide	   1	
aider	   -  	
aides	   1	
aikido	   -  	
aileron	   -  	
ailerons	   -  	
ailment	   2	
ailments	   2	
aimer	   -  	
ainu	   -  	
aioli	   -  	
airbag	   -  	
airbase	   -  	
airboat	   -  	
aircraft	   2	
aircrafts	   -  	
airdate	   -  	
airdrome	   2	
airdromes	   -  	
airdrop	   -  	
aire	   -  	
airfares	   -  	
airfield	   2	
airfields	   2	
airfoil	   -  	
airheads	   -  	
airiness	   -  	
airings	   -  	
airlifts	   -  	
airline	   2	
airliner	   3	
airliners	   3	
airlocks	   -  	
airmen	   2	
airmobile	   -  	
airports	   2	
airship	   -  	
airships	   -  	
airspace	   2	
airstrike	   -  	
airstrikes	   -  	
airstrips	   -  	
airtime	   -  	
airwave	   -  	
airwaves	   -  	
airways	   2	
ais	   -  	
aisle	   1	
aisles	   1	
ajog	   -  	
akasa	   -  	
akee	   -  	
akey	   -  	
akimbo	   3	
ako	   -  	
ala	   -  	
alabaster	   4	
alackaday	   -  	
alacrity	   4	
alai	   -  	
alarmist	   3	
alarms	   2	
alarums	   -  	
alaskans	   -  	
albanians	   -  	
albinism	   -  	
albinos	   -  	
album	   2	
albumens	   -  	
albumin	   -  	
albums	   2	
alcalde	   -  	
alce	   -  	
