"","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue"
"7","aahs",5,4,5,4,0.0980392156862745,0.778151250383644,0.0476871721506915,0.698970004336019,"Noun",5,1,"Noun","5",2.0699853925281
"13","aarrghh",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"16","aba",4,4,1,1,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",2,1,"Noun","2",1.99080414648048
"17","abaca",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"20","abacuses",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"24","abalones",6,2,1,1,0.117647058823529,0.845098040014257,0.0238435860753457,0.477121254719662,"Noun",6,1,"Noun","6",2.13693218215872
"27","abandoner",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"32","abastard",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"35","abatement",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242
"38","abattoir",7,5,4,4,0.137254901960784,0.903089986991944,0.0596089651883643,0.778151250383644,"Noun",7,1,"Noun","7",2.1949241291364
"45","abbesses",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"55","abd",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"58","abdicates",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"60","abdication",6,6,5,5,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872
"61","abdomen",171,122,152,116,3.35294117647059,2.23552844690755,1.45445875059609,2.0899051114394,"Noun",171,1,"Noun","171",3.52736258905201
"62","abdomens",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242
"64","abdominals",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364
"67","abductee",20,11,20,11,0.392156862745098,1.32221929473392,0.131139723414402,1.07918124604762,"Noun",20,1,"Noun","20",2.61405343687838
"68","abductees",18,13,15,11,0.352941176470588,1.27875360095283,0.154983309489747,1.14612803567824,"Noun",18,1,"Noun","18",2.57058774309729
"70","abduction",185,111,179,109,3.62745098039216,2.26951294421792,1.32331902718169,2.04921802267018,"Noun",185,1,"Noun","185",3.56134708636238
"71","abductions",42,22,42,22,0.823529411764706,1.63346845557959,0.262279446828803,1.36172783601759,"Noun",41,1,"Noun","41",2.92530259772405
"73","abductors",11,8,11,8,0.215686274509804,1.07918124604762,0.0953743443013829,0.954242509439325,"Noun",11,1,"Noun","11",2.37101538819208
"78","abele",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"83","aberration",28,26,28,26,0.549019607843137,1.46239799789896,0.309966618979495,1.43136376415899,"Noun",28,1,"Noun","28",2.75423214004342
"88","abettor",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"89","abeyance",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"96","abiders",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"101","abilities",312,209,306,208,6.11764705882353,2.49554433754645,2.49165474487363,2.32221929473392,"Noun",308,1,"Noun","308",3.78737847969091
"102","ability",980,679,974,673,19.2156862745098,2.99166900737995,8.09489747257988,2.83250891270624,"Noun",975,1,"Noun","975",4.28350314952441
"103","abiogenist",3,1,0,0,0.0588235294117647,0.602059991327962,0.0119217930376729,0.301029995663981,"Noun",3,1,"Noun","3",1.89389413347242
"104","abit",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"110","ablation",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"116","ablution",3,2,2,1,0.0588235294117647,0.602059991327962,0.0238435860753457,0.477121254719662,"Noun",3,1,"Noun","3",1.89389413347242
"117","ablutions",4,3,4,3,0.0784313725490196,0.698970004336019,0.0357653791130186,0.602059991327962,"Noun",4,1,"Noun","4",1.99080414648048
"124","abnormity",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"125","abo",6,6,5,5,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872
"127","abode",33,31,33,31,0.647058823529412,1.53147891704226,0.369575584167859,1.50514997831991,"Noun",33,1,"Noun","33",2.82331305918672
"128","abogado",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
