"","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","syllables","cmu_syllss"
"16","aba",4,4,1,1,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",2,1,"Noun","2",1.99080414648048,NA,3
"35","abatement",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,3,3
"58","abdicates",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"61","abdomen",171,122,152,116,3.35294117647059,2.23552844690755,1.45445875059609,2.0899051114394,"Noun",171,1,"Noun","171",3.52736258905201,3,3
"67","abductee",20,11,20,11,0.392156862745098,1.32221929473392,0.131139723414402,1.07918124604762,"Noun",20,1,"Noun","20",2.61405343687838,NA,3
"68","abductees",18,13,15,11,0.352941176470588,1.27875360095283,0.154983309489747,1.14612803567824,"Noun",18,1,"Noun","18",2.57058774309729,NA,3
"70","abduction",185,111,179,109,3.62745098039216,2.26951294421792,1.32331902718169,2.04921802267018,"Noun",185,1,"Noun","185",3.56134708636238,3,3
"71","abductions",42,22,42,22,0.823529411764706,1.63346845557959,0.262279446828803,1.36172783601759,"Noun",41,1,"Noun","41",2.92530259772405,NA,3
"73","abductors",11,8,11,8,0.215686274509804,1.07918124604762,0.0953743443013829,0.954242509439325,"Noun",11,1,"Noun","11",2.37101538819208,NA,3
"89","abeyance",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3,3
"152","abortion",369,155,354,149,7.23529411764706,2.56820172406699,1.84787792083929,2.19312459835446,"Noun",370,1,"Noun","370",3.86003586621145,3,3
"155","abortions",35,28,34,27,0.686274509803922,1.55630250076729,0.33381020505484,1.46239799789896,"Noun",35,1,"Noun","35",2.84813664291175,3,3
"166","aboveboard",14,13,14,13,0.274509803921569,1.17609125905568,0.154983309489747,1.14612803567824,"Noun",14,1,"Noun","14",2.46792540120014,NA,3
"174","abrasion",18,15,15,13,0.352941176470588,1.27875360095283,0.178826895565093,1.20411998265592,"Noun",18,1,"Noun","18",2.57058774309729,NA,3
"175","abrasions",56,50,52,47,1.09803921568627,1.75587485567249,0.596089651883643,1.70757017609794,"Noun",56,1,"Noun","56",3.04770899781695,NA,3
"193","abruptness",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3,3
"206","absences",14,12,14,12,0.274509803921569,1.17609125905568,0.143061516452074,1.11394335230684,"Noun",14,1,"Noun","14",2.46792540120014,3,3
"208","absentee",18,18,18,18,0.352941176470588,1.27875360095283,0.214592274678112,1.27875360095283,"Noun",18,1,"Noun","18",2.57058774309729,3,3
"210","absentees",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3,3
"222","absolutes",21,16,20,15,0.411764705882353,1.34242268082221,0.190748688602766,1.23044892137827,"Noun",22,1,"Noun","22",2.63425682296667,NA,3
"233","absorber",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"234","absorbers",8,6,8,6,0.156862745098039,0.954242509439325,0.0715307582260372,0.845098040014257,"Noun",8,1,"Noun","8",2.24607665158378,NA,3
"238","absorption",18,17,16,15,0.352941176470588,1.27875360095283,0.202670481640439,1.25527250510331,"Noun",18,1,"Noun","18",2.57058774309729,3,3
"245","abstention",6,5,6,5,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872,3,3
"247","abstinence",45,28,34,25,0.882352941176471,1.66275783168157,0.33381020505484,1.46239799789896,"Noun",45,1,"Noun","45",2.95459197382603,3,3
"259","absurdist",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"266","abundance",45,41,45,41,0.882352941176471,1.66275783168157,0.488793514544588,1.6232492903979,"Noun",45,1,"Noun","45",2.95459197382603,3,3
"271","abuser",16,16,16,16,0.313725490196078,1.23044892137827,0.190748688602766,1.23044892137827,"Noun",16,1,"Noun","16",2.52228306352273,NA,3
"272","abusers",11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",11,1,"Noun","11",2.37101538819208,NA,3
"293","academe",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"327","acceptance",161,140,150,134,3.15686274509804,2.20951501454263,1.6690510252742,2.14921911265538,"Noun",162,1,"Noun","162",3.50134915668709,3,3
"339","accession",6,3,6,3,0.117647058823529,0.845098040014257,0.0357653791130186,0.602059991327962,"Noun",6,1,"Noun","6",2.13693218215872,3,3
"346","accident",4146,2180,4061,2166,81.2941176470588,3.61773403536402,25.9895088221269,3.3386556655787,"Noun",4138,1,"Noun","4138",4.90956817750848,3,3
"351","accidents",340,281,289,244,6.66666666666667,2.5327543789925,3.35002384358608,2.45024910831936,"Noun",340,1,"Noun","340",3.82458852113696,3,3
"363","accolade",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3,3
"364","accolades",9,9,9,9,0.176470588235294,1,0.107296137339056,1,"Noun",9,1,"Noun","9",2.29183414214446,NA,3
"381","accompli",8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,NA,3
"382","accomplice",216,147,210,145,4.23529411764706,2.33645973384853,1.75250357653791,2.17026171539496,"Noun",216,1,"Noun","216",3.62829387599299,3,3
"407","accountant",315,191,303,185,6.17647058823529,2.4996870826184,2.27706247019552,2.28330122870355,"Noun",315,1,"Noun","315",3.79152122476286,3,3
"422","accrual",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"444","accuser",15,12,15,12,0.294117647058824,1.20411998265592,0.143061516452074,1.11394335230684,"Noun",15,1,"Noun","15",2.49595412480038,3,3
"445","accusers",8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,3,3
"457","acetate",6,5,5,4,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872,3,3
"478","achievers",9,5,4,3,0.176470588235294,1,0.0596089651883643,0.778151250383644,"Noun",9,1,"Noun","9",2.29183414214446,NA,3
"513","acolyte",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,3,3
"514","acolytes",6,4,6,4,0.117647058823529,0.845098040014257,0.0476871721506915,0.698970004336019,"Noun",6,1,"Noun","6",2.13693218215872,3,3
"522","acoustics",22,22,22,22,0.431372549019608,1.36172783601759,0.262279446828803,1.36172783601759,"Noun",22,1,"Noun","22",2.65356197816205,3,3
"544","acquittal",37,33,36,32,0.725490196078431,1.57978359661681,0.393419170243205,1.53147891704226,"Noun",37,1,"Noun","37",2.87161773876127,3,3
"545","acquittals",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"549","acreage",22,19,22,19,0.431372549019608,1.36172783601759,0.226514067715784,1.30102999566398,"Noun",22,1,"Noun","22",2.65356197816205,3,3
"560","acronym",15,14,14,13,0.294117647058824,1.20411998265592,0.16690510252742,1.17609125905568,"Noun",15,1,"Noun","15",2.49595412480038,3,3
"561","acronyms",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,NA,3
"566","acrylics",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"589","activist",50,40,47,37,0.980392156862745,1.70757017609794,0.476871721506915,1.61278385671974,"Noun",50,1,"Noun","50",2.9994043182424,3,3
"590","activists",18,14,17,13,0.352941176470588,1.27875360095283,0.16690510252742,1.17609125905568,"Noun",18,1,"Noun","18",2.57058774309729,3,3
"598","actresses",115,91,108,87,2.25490196078431,2.06445798922692,1.08488316642823,1.96378782734556,"Noun",115,1,"Noun","115",3.35629213137138,3,3
"621","acumen",7,5,7,5,0.137254901960784,0.903089986991944,0.0596089651883643,0.778151250383644,"Noun",7,1,"Noun","7",2.1949241291364,3,3
"628","acuteness",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"647","adapter",11,7,11,7,0.215686274509804,1.07918124604762,0.0834525512637101,0.903089986991944,"Noun",11,1,"Noun","11",2.37101538819208,NA,3
"651","adaptor",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,NA,3
"652","adaptors",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"659","addendum",15,12,10,7,0.294117647058824,1.20411998265592,0.143061516452074,1.11394335230684,"Noun",15,1,"Noun","15",2.49595412480038,3,3
"660","addendums",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,NA,3
"666","addiction",199,130,192,126,3.90196078431373,2.30102999566398,1.54983309489747,2.11727129565576,"Noun",199,1,"Noun","199",3.59286413780844,3,3
"678","additions",11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",11,1,"Noun","11",2.37101538819208,3,3
"680","additives",10,8,10,8,0.196078431372549,1.04139268515823,0.0953743443013829,0.954242509439325,"Noun",10,1,"Noun","10",2.33322682730268,3,3
"688","addressee",6,6,6,6,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872,3,3
"704","adenoids",11,9,9,8,0.215686274509804,1.07918124604762,0.107296137339056,1,"Noun",11,1,"Noun","11",2.37101538819208,3,3
"717","adherence",9,9,8,8,0.176470588235294,1,0.107296137339056,1,"Noun",9,1,"Noun","9",2.29183414214446,3,3
"718","adherent",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"719","adherents",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3,3
"722","adhesion",6,6,6,6,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872,NA,3
"725","adhesives",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"735","adjective",25,21,23,20,0.490196078431373,1.41497334797082,0.25035765379113,1.34242268082221,"Noun",25,1,"Noun","25",2.70680749011528,3,3
"736","adjectives",25,23,24,22,0.490196078431373,1.41497334797082,0.274201239866476,1.38021124171161,"Noun",25,1,"Noun","25",2.70680749011528,3,3
"759","adjuster",20,17,19,16,0.392156862745098,1.32221929473392,0.202670481640439,1.25527250510331,"Noun",20,1,"Noun","20",2.61405343687838,NA,3
"760","adjusters",7,3,7,3,0.137254901960784,0.903089986991944,0.0357653791130186,0.602059991327962,"Noun",7,1,"Noun","7",2.1949241291364,NA,3
"762","adjustment",158,129,152,125,3.09803921568627,2.20139712432045,1.5379113018598,2.11394335230684,"Noun",157,1,"Noun","157",3.49323126646491,3,3
"766","adjutant",45,26,36,20,0.882352941176471,1.66275783168157,0.309966618979495,1.43136376415899,"Noun",45,1,"Noun","45",2.95459197382603,3,3
"787","admirals",29,21,19,15,0.568627450980392,1.47712125471966,0.25035765379113,1.34242268082221,"Noun",29,1,"Noun","29",2.76895539686412,3,3
"792","admirer",151,124,149,123,2.96078431372549,2.18184358794477,1.47830233667144,2.09691001300806,"Noun",151,1,"Noun","151",3.47367773008923,4,3
"793","admirers",49,44,48,44,0.96078431372549,1.69897000433602,0.524558893657606,1.65321251377534,"Noun",49,1,"Noun","49",2.99080414648048,4,3
"798","admission",181,164,167,153,3.54901960784314,2.26007138798507,1.95517405817835,2.21748394421391,"Noun",181,1,"Noun","181",3.55190553012953,3,3
"802","admittance",34,25,30,21,0.666666666666667,1.54406804435028,0.298044825941822,1.41497334797082,"Noun",34,1,"Noun","34",2.83590218649474,3,3
"819","adobe",24,14,8,8,0.470588235294118,1.39794000867204,0.16690510252742,1.17609125905568,"Noun",23,1,"Noun","23",2.6897741508165,3,3
"831","adopter",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"833","adoption",239,140,227,135,4.68627450980392,2.38021124171161,1.6690510252742,2.14921911265538,"Noun",239,1,"Noun","239",3.67204538385607,3,3
"834","adoptions",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,3,3
"851","adornment",4,3,4,3,0.0784313725490196,0.698970004336019,0.0357653791130186,0.602059991327962,"Noun",4,1,"Noun","4",1.99080414648048,3,3
"866","ads",258,180,242,173,5.05882352941176,2.41329976408125,2.14592274678112,2.25767857486918,"Noun",258,1,"Noun","258",3.70513390622571,1,1
"879","adulthood",37,33,37,33,0.725490196078431,1.57978359661681,0.393419170243205,1.53147891704226,"Noun",36,1,"Noun","36",2.87161773876127,3,3
"895","adventists",7,2,0,0,0.137254901960784,0.903089986991944,0.0238435860753457,0.477121254719662,"Noun",7,1,"Noun","7",2.1949241291364,NA,3
"899","adventures",184,142,150,124,3.6078431372549,2.26717172840301,1.69289461134955,2.15533603746506,"Noun",184,1,"Noun","184",3.55900587054747,3,3
"936","advisement",39,37,39,37,0.764705882352941,1.60205999132796,0.441106342393896,1.57978359661681,"Noun",39,1,"Noun","39",2.89389413347242,NA,3
"937","adviser",53,45,49,41,1.03921568627451,1.73239375982297,0.536480686695279,1.66275783168157,"Noun",53,1,"Noun","53",3.02422790196743,3,3
"938","advisers",13,11,13,11,0.254901960784314,1.14612803567824,0.131139723414402,1.07918124604762,"Noun",13,1,"Noun","13",2.4379621778227,3,3
"943","advisors",66,45,60,44,1.29411764705882,1.82607480270083,0.536480686695279,1.66275783168157,"Noun",66,1,"Noun","66",3.11790894484529,NA,3
"949","advocates",17,16,15,15,0.333333333333333,1.25527250510331,0.190748688602766,1.23044892137827,"Noun",17,1,"Noun","17",2.54710664724777,3,3
"966","aerials",9,7,8,6,0.176470588235294,1,0.0834525512637101,0.903089986991944,"Noun",9,1,"Noun","9",2.29183414214446,2,3
"974","aerodromes",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"986","aerosol",14,10,14,10,0.274509803921569,1.17609125905568,0.119217930376729,1.04139268515823,"Noun",14,1,"Noun","14",2.46792540120014,3,3
"988","aerosols",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3,3
"989","aerospace",55,34,33,24,1.07843137254902,1.7481880270062,0.405340963280877,1.54406804435028,"Noun",55,1,"Noun","55",3.04002216915066,3,3
"998","aesthetics",15,13,12,11,0.294117647058824,1.20411998265592,0.154983309489747,1.14612803567824,"Noun",15,1,"Noun","15",2.49595412480038,3,3
"1023","affection",431,334,419,330,8.45098039215686,2.63548374681491,3.98187887458274,2.52504480703685,"Noun",430,1,"Noun","430",3.92731788895937,3,3
"1026","affections",61,52,61,52,1.19607843137255,1.79239168949825,0.619933237958989,1.72427586960079,"Noun",61,1,"Noun","61",3.08422583164271,3,3
"1032","affiant",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1057","affliction",60,53,58,51,1.17647058823529,1.78532983501077,0.631855030996662,1.73239375982297,"Noun",60,1,"Noun","60",3.07716397715523,3,3
