"","X.1","X","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","cmu_sylls","BF_TK","BF_TP","LEN_L","N"
"1",3,16,"aba",4,4,1,1,0.078431373,0.698970004,0.047687172,0.698970004,"Noun",2,1,"Noun",2,1.990804146,3,0,0,3,1
"2",9,35,"abatement",3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,"Noun",3,1,"Noun",3,1.893894133,3,622.57,59.88,9,1
"3",13,58,"abdicates",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,647.23,110.38,9,1
"4",15,61,"abdomen",171,122,152,116,3.352941176,2.235528447,1.454458751,2.089905111,"Noun",171,1,"Noun",171,3.527362589,3,336.15,26.83,7,0
"5",18,67,"abductee",20,11,20,11,0.392156863,1.322219295,0.131139723,1.079181246,"Noun",20,1,"Noun",20,2.614053437,3,359.33,47.86,8,1
"6",19,68,"abductees",18,13,15,11,0.352941176,1.278753601,0.154983309,1.146128036,"Noun",18,1,"Noun",18,2.570587743,3,418.59,63.75,9,0
"7",20,70,"abduction",185,111,179,109,3.62745098,2.269512944,1.323319027,2.049218023,"Noun",185,1,"Noun",185,3.561347086,3,897.06,93.38,9,0
"8",26,89,"abeyance",2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,374.36,28.29,8,0
"9",41,152,"abortion",369,155,354,149,7.235294118,2.568201724,1.847877921,2.193124598,"Noun",370,1,"Noun",370,3.860035866,3,873.52,80,8,0
"10",43,166,"aboveboard",14,13,14,13,0.274509804,1.176091259,0.154983309,1.146128036,"Noun",14,1,"Noun",14,2.467925401,3,83.76,17.33,10,0
"11",44,174,"abrasion",18,15,15,13,0.352941176,1.278753601,0.178826896,1.204119983,"Noun",18,1,"Noun",18,2.570587743,3,650.82,56,8,0
"12",49,193,"abruptness",4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,"Noun",4,1,"Noun",4,1.990804146,3,90.32,35,10,0
"13",55,208,"absentee",18,18,18,18,0.352941176,1.278753601,0.214592275,1.278753601,"Noun",18,1,"Noun",18,2.570587743,3,495.28,72,8,0
"14",62,233,"absorber",3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,"Noun",3,1,"Noun",3,1.893894133,3,502.53,47.57,8,1
"15",65,238,"absorption",18,17,16,15,0.352941176,1.278753601,0.202670482,1.255272505,"Noun",18,1,"Noun",18,2.570587743,3,862.97,107.78,10,0
"16",67,245,"abstention",6,5,6,5,0.117647059,0.84509804,0.059608965,0.77815125,"Noun",6,1,"Noun",6,2.136932182,3,917.1,127.22,10,0
"17",68,247,"abstinence",45,28,34,25,0.882352941,1.662757832,0.333810205,1.462397998,"Noun",45,1,"Noun",45,2.954591974,3,453.89,56.33,10,0
"18",70,259,"absurdist",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,263.35,40.88,9,0
"19",73,266,"abundance",45,41,45,41,0.882352941,1.662757832,0.488793515,1.62324929,"Noun",45,1,"Noun",45,2.954591974,3,285.81,40.75,9,0
"20",74,271,"abuser",16,16,16,16,0.31372549,1.230448921,0.190748689,1.230448921,"Noun",16,1,"Noun",16,2.522283064,3,1725.23,108.2,6,2
"21",83,293,"academe",2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,285.4,26,7,1
"22",92,327,"acceptance",161,140,150,134,3.156862745,2.209515015,1.669051025,2.149219113,"Noun",162,1,"Noun",162,3.501349157,3,367.33,42.22,10,0
"23",94,339,"accession",6,3,6,3,0.117647059,0.84509804,0.035765379,0.602059991,"Noun",6,1,"Noun",6,2.136932182,3,743.15,71.75,9,0
