Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
figure	949	764	817	651	18.61	2.9777	9.11	2.8837	Noun	715	0.75	Noun.Verb	715.233	4.2696	2	
packing	698	574	650	541	13.69	2.8445	6.84	2.7597	Verb	472	0.68	Verb.Noun	472.226	4.1363	2	
creature	1092	657	1044	641	21.41	3.0386	7.83	2.8182	Noun	1092	1	Noun	1092	4.3305	2	
commit	984	724	965	717	19.29	2.9934	8.63	2.8603	Verb	984	1	Verb	984	4.2853	2	
drama	1028	480	555	394	20.16	3.0124	5.72	2.6821	Noun	1024	1	Noun	1024	4.3042	2	
modern	930	676	800	608	18.24	2.9689	8.06	2.8306	Adjective	928	1	Adjective	928	4.2608	2	
voice	793	515	730	492	15.55	2.8998	6.14	2.7126	Noun	778	0.98	Noun.Verb	778.13	4.1917	2	
ruined	1302	981	1257	964	25.53	3.1149	11.7	2.9921	Verb	1175	0.9	Verb.Adjective	1175.129	4.4068	2	
sale	1295	915	1270	907	25.39	3.1126	10.91	2.9619	Noun	1288	1	Noun.Name	1288.4	4.4044	1	
seek	934	632	874	602	18.31	2.9708	7.53	2.8014	Verb	934	1	Verb	934	4.2626	1	
